Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,8.9,8.95,8.6,8.8,8.697327,44320
2012-02-07,8.75,9.0,8.65,9.0,8.894993,45000
2012-02-08,8.95,9.0,8.7,8.9,8.796159,45760
2012-02-09,8.9,8.9,8.55,8.6,8.49966,25980
2012-02-10,8.55,8.9,8.5,8.55,8.450243,19640
2012-02-13,8.7,8.75,8.55,8.6,8.49966,13380
2012-02-14,8.55,8.85,8.4,8.7,8.598494,21160
2012-02-15,8.7,9.05,8.5,9.0,8.894993,40960
2012-02-16,9.0,9.4,8.7,9.35,9.24091,45940
2012-02-17,9.35,9.4,9.05,9.2,9.092658,83640
2012-02-21,9.2,9.35,9.0,9.2,9.092658,62740
2012-02-22,9.2,9.3,9.05,9.25,9.142076,24200
2012-02-23,9.25,9.6,9.15,9.4,9.290325,56140
2012-02-24,9.4,9.55,9.3,9.3,9.191493,29520
2012-02-27,9.2,9.65,9.1,9.45,9.339742,18180
2012-02-28,9.5,9.6,9.25,9.3,9.191493,24080
2012-02-29,9.35,9.5,9.05,9.25,9.142076,69140
2012-03-01,9.3,9.35,9.05,9.1,8.993827,35260
2012-03-02,9.15,9.15,8.75,8.8,8.697327,44960
2012-03-05,8.75,9.0,8.45,9.0,8.894993,16420
2012-03-06,8.85,8.95,8.65,8.7,8.598494,38000
2012-03-07,8.95,8.95,8.5,8.8,8.697327,20500
2012-03-08,8.85,8.95,8.6,8.8,8.697327,15860
2012-03-09,8.8,9.0,8.75,8.9,8.796159,21600
2012-03-12,8.95,9.0,8.75,8.9,8.796159,17340
2012-03-13,9.0,9.65,8.9,9.4,9.290325,50740
2012-03-14,9.35,9.4,9.0,9.05,8.944409,19060
2012-03-15,9.1,9.4,8.95,9.3,9.191493,22080
2012-03-16,9.35,9.5,9.15,9.35,9.24091,71200
2012-03-19,9.3,9.7,9.3,9.6,9.487992,41480
2012-03-20,9.5,9.6,9.3,9.5,9.389158,25560
2012-03-21,9.55,9.7,9.35,9.45,9.339742,14100
2012-03-22,9.35,9.45,9.05,9.1,8.993827,33460
2012-03-23,9.1,9.65,9.0,9.65,9.537408,36960
2012-03-26,9.6,9.6,9.4,9.5,9.389158,46780
2012-03-27,9.5,9.55,9.3,9.45,9.339742,47720
2012-03-28,9.45,9.45,9.25,9.35,9.24091,21080
2012-03-29,9.3,9.7,9.05,9.2,9.092658,38740
2012-03-30,9.25,9.3,8.7,8.8,8.697327,86600
2012-04-02,8.8,9.5,8.7,9.45,9.339742,40260
2012-04-03,9.35,9.55,8.95,9.0,8.894993,61380
2012-04-04,8.95,9.0,8.7,8.75,8.647909,40820
2012-04-05,8.7,8.95,8.65,8.65,8.549075,9060
2012-04-09,8.5,8.7,8.0,8.2,8.104326,50220
2012-04-10,8.2,8.65,8.05,8.05,7.956077,45420
2012-04-11,8.25,8.75,8.25,8.5,8.400826,35440
2012-04-12,8.5,8.6,8.05,8.25,8.153744,28200
2012-04-13,8.2,8.35,8.05,8.05,7.956077,22580
2012-04-16,8.1,8.4,8.0,8.25,8.153744,9260
2012-04-17,8.35,8.65,8.3,8.45,8.35141,30340
2012-04-18,8.45,8.65,8.05,8.05,7.956077,37560
2012-04-19,8.05,8.25,7.8,7.8,7.708994,41340
2012-04-20,8.15,8.15,7.85,8.0,7.90666,53960
2012-04-23,7.8,8.2,7.5,8.0,7.90666,41100
2012-04-24,8.0,8.2,7.9,7.95,7.857244,56280
2012-04-25,8.05,8.3,7.65,7.95,7.857244,78180
2012-04-26,8.1,8.35,7.9,8.25,8.153744,109660
2012-04-27,8.3,8.4,7.8,7.95,7.857244,51340
2012-04-30,7.95,8.25,7.95,8.1,8.005494,37600
2012-05-01,8.1,8.35,8.05,8.05,7.956077,41600
2012-05-02,8.05,8.2,7.95,8.0,7.90666,26580
2012-05-03,8.0,8.0,7.55,7.7,7.61016,63440
2012-05-04,7.65,7.8,7.45,7.55,7.461911,54160
2012-05-07,7.55,7.75,7.55,7.6,7.511327,38600
2012-05-08,7.55,7.75,7.5,7.6,7.511327,43460
2012-05-09,7.5,7.6,7.45,7.5,7.412494,56400
2012-05-10,7.45,7.65,7.35,7.5,7.412494,28200
2012-05-11,7.4,7.75,7.4,7.7,7.61016,49840
2012-05-14,7.6,7.75,7.5,7.55,7.461911,13560
2012-05-15,7.55,7.7,7.5,7.5,7.412494,11600
2012-05-16,7.5,7.75,7.5,7.6,7.511327,35660
2012-05-17,7.55,7.75,7.5,7.55,7.461911,45600
2012-05-18,7.5,7.9,7.45,7.7,7.61016,47980
2012-05-21,7.75,7.75,7.5,7.75,7.659577,21380
2012-05-22,7.1,7.85,7.1,7.45,7.363077,73380
2012-05-23,7.35,7.75,7.15,7.45,7.363077,43200
2012-05-24,7.45,7.8,7.3,7.55,7.461911,11580
2012-05-25,7.6,7.6,7.3,7.5,7.412494,26480
2012-05-29,7.5,7.55,7.4,7.5,7.412494,11440
2012-05-30,7.45,7.5,7.2,7.35,7.264244,15600
2012-05-31,7.35,7.7,7.0,7.55,7.461911,127900
2012-06-01,7.35,7.4,7.0,7.0,6.918328,37960
2012-06-04,7.1,7.35,7.1,7.3,7.214828,25980
2012-06-05,7.2,7.35,7.0,7.05,6.967744,50620
2012-06-06,7.1,7.15,6.9,7.05,6.967744,106920
2012-06-07,7.15,7.25,6.9,7.0,6.918328,49880
2012-06-08,6.95,7.4,6.95,7.25,7.165411,43020
2012-06-11,7.35,7.35,7.05,7.1,7.01716,57920
2012-06-12,7.1,7.4,7.1,7.4,7.313661,44860
2012-06-13,7.35,7.4,7.1,7.2,7.115994,58540
2012-06-14,7.15,7.35,7.15,7.2,7.115994,71400
2012-06-15,7.15,7.25,7.05,7.05,6.967744,45400
