Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,12.64,12.73,12.46,12.49,8.812387,258200
2012-02-07,12.43,12.59,12.31,12.44,8.777111,313100
2012-02-08,12.29,12.48,12.0,12.15,8.572498,538500
2012-02-09,12.24,12.47,12.06,12.17,8.586611,426400
2012-02-10,12.09,12.3,12.0,12.26,8.65011,386200
2012-02-13,12.31,12.65,12.11,12.18,8.593665,508200
2012-02-14,12.11,12.34,11.79,12.03,8.487832,254800
2012-02-15,12.14,12.18,11.72,11.76,8.29733,353800
2012-02-16,11.82,12.0,11.53,11.56,8.156222,562800
2012-02-17,11.64,11.91,11.64,11.7,8.254998,505700
2012-02-21,11.7,11.72,11.43,11.69,8.247945,806600
2012-02-22,11.72,11.93,11.61,11.7,8.254998,350600
2012-02-23,11.73,12.09,11.55,12.04,8.494885,286200
2012-02-24,12.1,12.31,11.92,11.98,8.452554,277300
2012-02-27,11.96,12.0,11.51,11.8,8.325554,542600
2012-02-28,11.72,11.95,11.63,11.76,8.382579,420400
2012-02-29,11.83,11.85,11.4,11.42,8.140225,538100
2012-03-01,11.56,11.66,11.15,11.16,7.954897,791400
2012-03-02,11.18,11.51,11.16,11.5,8.19725,725600
2012-03-05,11.4,11.55,11.3,11.39,8.118841,509900
2012-03-06,11.25,11.34,11.01,11.23,8.004791,466200
2012-03-07,11.31,11.5,11.23,11.33,8.076073,235900
2012-03-08,11.46,11.54,11.25,11.37,8.104582,393700
2012-03-09,11.41,11.71,11.21,11.68,8.325553,507500
2012-03-12,11.71,11.71,11.4,11.49,8.190123,313200
2012-03-13,11.6,11.89,11.47,11.81,8.41822,434900
2012-03-14,11.84,11.99,11.64,11.75,8.375451,278600
2012-03-15,11.73,11.95,11.61,11.85,8.446732,279900
2012-03-16,11.88,11.97,11.61,11.66,8.311297,453700
2012-03-19,11.61,11.82,11.44,11.48,8.182992,419300
2012-03-20,11.41,11.53,11.25,11.3,8.054688,453000
2012-03-21,11.4,11.44,11.16,11.33,8.076073,426800
2012-03-22,11.27,11.38,11.19,11.22,7.997662,297300
2012-03-23,11.28,11.7,11.23,11.68,8.325553,357700
2012-03-26,11.84,11.95,11.65,11.89,8.475245,405000
2012-03-27,11.93,11.99,11.57,11.58,8.254276,373400
2012-03-28,11.58,11.58,11.09,11.28,8.040433,396200
2012-03-29,11.23,11.28,11.02,11.28,8.040433,308900
2012-03-30,11.39,11.5,11.06,11.06,7.883615,350800
2012-04-02,11.07,11.37,11.03,11.33,8.076073,316300
2012-04-03,11.38,11.5,10.98,11.06,7.883615,302500
2012-04-04,10.97,10.97,10.63,10.7,7.627004,459800
2012-04-05,10.63,10.81,10.59,10.8,7.698286,303900
2012-04-09,10.59,10.75,10.42,10.43,7.434551,398300
2012-04-10,10.44,10.48,9.84,10.0,7.128043,828500
2012-04-11,10.14,10.2,9.87,10.01,7.13517,335100
2012-04-12,9.99,10.09,9.85,10.02,7.1423,408300
2012-04-13,10.01,10.13,9.81,9.88,7.042506,180900
2012-04-16,9.97,9.97,9.68,9.73,6.935586,182000
2012-04-17,9.84,9.91,9.7,9.84,7.013995,496600
2012-04-18,9.75,9.84,9.6,9.73,6.935586,360100
2012-04-19,9.77,9.78,9.43,9.56,6.814409,270400
2012-04-20,9.67,9.67,9.35,9.5,6.771639,453500
2012-04-23,9.36,9.46,9.23,9.31,6.636209,302300
2012-04-24,9.34,9.55,9.21,9.48,6.757383,270500
2012-04-25,9.65,10.1,9.5,10.05,7.163682,420600
2012-04-26,10.04,10.27,9.77,10.03,7.149428,308400
2012-04-27,10.11,10.47,10.08,10.4,7.413164,577900
2012-04-30,10.37,10.51,10.15,10.28,7.327626,414700
2012-05-01,10.35,10.58,10.24,10.32,7.35614,455300
2012-05-02,10.55,10.74,10.23,10.62,7.569981,475300
2012-05-03,10.59,10.68,10.17,10.24,7.299117,599200
