Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,14.45,14.61,14.35,14.45,6.873932,140400
2012-02-07,14.44,14.63,14.34,14.55,6.921503,158800
2012-02-08,14.73,14.81,14.43,14.68,6.983345,156500
2012-02-09,14.77,14.78,14.41,14.42,6.859661,173800
2012-02-10,14.36,14.46,14.29,14.29,6.797821,90500
2012-02-13,14.46,14.56,14.28,14.49,6.892962,139600
2012-02-14,14.44,14.57,14.31,14.42,6.859661,147000
2012-02-15,14.5,14.73,14.4,14.43,6.864419,173600
2012-02-16,14.4,14.77,14.34,14.4,6.850147,221100
2012-02-17,14.44,14.51,14.38,14.48,6.888204,150300
2012-02-21,14.58,14.63,14.17,14.35,6.826363,186700
2012-02-22,14.34,14.4,14.05,14.23,6.769279,142500
2012-02-23,14.3,14.65,14.3,14.55,6.921503,204000
2012-02-24,14.58,14.84,14.4,14.43,6.864419,137200
2012-02-27,14.37,14.5,14.09,14.39,6.845392,195100
2012-02-28,14.41,14.56,14.23,14.44,6.869177,242000
2012-02-29,14.46,14.77,14.21,14.34,6.821603,266700
2012-03-01,14.84,15.08,14.48,14.78,7.030914,319200
2012-03-02,14.86,15.22,14.86,15.07,7.168869,315800
2012-03-05,15.1,15.47,14.99,15.46,7.354393,297600
2012-03-06,15.39,15.59,15.25,15.35,7.302067,276800
2012-03-07,15.4,15.9,15.3,15.62,7.430506,591100
2012-03-08,15.74,15.78,15.47,15.7,7.468566,193400
2012-03-09,15.72,16.08,15.63,15.99,7.606517,235000
2012-03-12,16.1,16.43,15.99,16.33,7.768258,390700
2012-03-13,16.049999,16.299999,15.89,16.02,7.777968,297400
2012-03-14,15.96,16.129999,15.89,15.98,7.758547,184600
2012-03-15,15.93,16.27,15.87,16.24,7.884778,224900
2012-03-16,16.25,16.9,16.1,16.85,8.180946,1078100
2012-03-19,16.940001,16.99,16.52,16.57,8.045003,304000
2012-03-20,16.51,16.690001,16.35,16.43,7.977029,251300
2012-03-21,16.02,16.09,15.25,15.95,7.743979,426800
2012-03-22,15.78,15.97,15.64,15.96,7.748837,228900
2012-03-23,15.97,16.08,15.74,16.08,7.807098,249900
2012-03-26,16.200001,16.43,16.01,16.32,7.923622,163400
2012-03-27,16.309999,16.549999,16.290001,16.290001,7.909057,159600
2012-03-28,16.290001,16.49,16.110001,16.309999,7.918765,136900
2012-03-29,16.18,16.49,16.0,16.42,7.972174,148500
2012-03-30,16.51,16.52,16.26,16.440001,7.981883,181800
2012-04-02,16.440001,16.959999,16.41,16.84,8.176091,247600
2012-04-03,16.809999,16.92,16.559999,16.620001,8.069277,116700
2012-04-04,16.530001,16.629999,16.389999,16.4,7.962464,125200
2012-04-05,16.379999,16.58,16.290001,16.4,7.962464,136100
2012-04-09,16.190001,16.209999,15.86,15.89,7.714851,194300
2012-04-10,15.92,15.98,15.48,15.5,7.525501,186400
2012-04-11,15.62,15.9,15.51,15.66,7.603181,288100
2012-04-12,15.7,16.1,15.58,16.049999,7.792531,178800
2012-04-13,16.0,16.0,15.67,15.68,7.612893,208600
2012-04-16,15.72,15.86,15.66,15.76,7.651731,160800
2012-04-17,15.82,16.48,15.82,16.25,7.889637,198000
2012-04-18,16.17,16.299999,16.09,16.1,7.816808,202300
2012-04-19,16.110001,16.25,15.8,15.94,7.739126,301600
2012-04-20,16.27,16.450001,16.059999,16.110001,7.821664,244000
2012-04-23,15.97,16.17,15.76,15.96,7.748837,215200
2012-04-24,16.0,16.41,15.86,16.41,7.967319,203200
2012-04-25,16.66,16.85,16.48,16.709999,8.112973,221900
2012-04-26,16.73,16.969999,16.67,16.790001,8.151816,283200
2012-04-27,16.889999,16.889999,16.57,16.76,8.137248,203700
2012-04-30,16.809999,16.940001,16.610001,16.74,8.127542,201000
2012-05-01,16.799999,16.969999,16.5,16.51,8.015873,288000
2012-05-02,16.379999,16.59,16.23,16.57,8.045003,194600
2012-05-03,16.530001,16.620001,16.34,16.389999,7.957608,157900
2012-05-04,16.290001,16.34,16.02,16.120001,7.826519,195900
2012-05-07,16.09,16.23,16.030001,16.219999,7.875071,148000
2012-05-08,16.0,16.07,15.24,15.77,7.656587,466300
2012-05-09,15.58,15.92,15.42,15.48,7.515788,434700
2012-05-10,15.59,15.6,15.3,15.55,7.549778,222000
2012-05-11,15.09,15.24,14.83,14.94,7.410882,239200
2012-05-14,14.75,14.95,14.67,14.77,7.326556,157100
2012-05-15,14.72,14.78,14.41,14.44,7.162863,237000
2012-05-16,14.45,14.8,14.41,14.41,7.147978,223500
2012-05-17,14.38,14.58,13.86,13.9,6.894999,447400
2012-05-18,13.87,14.1,13.62,13.73,6.81067,226100
2012-05-21,13.73,13.87,13.69,13.73,6.81067,349800
2012-05-22,13.73,13.78,13.55,13.68,6.78587,227000
2012-05-23,13.57,13.72,13.37,13.65,6.770986,300000
2012-05-24,13.7,13.88,13.47,13.76,6.825553,368200
2012-05-25,13.81,14.28,13.7,14.21,7.048773,157400
2012-05-29,14.36,14.79,14.31,14.66,7.271993,195400
2012-05-30,14.55,14.72,14.21,14.21,7.048773,133100
2012-05-31,14.3,14.55,14.06,14.38,7.133099,205300
2012-06-01,14.09,14.41,14.03,14.04,6.964444,206700
2012-06-04,14.05,14.46,14.0,14.3,7.093415,217900
