Date,Open,High,Low,Close,Adj Close,Volume
2021-07-15,15.01,15.5,11.38,11.9,11.9,3303800
2021-07-16,11.42,11.95,10.5,11.0,11.0,552800
2021-07-19,10.75,11.2,9.84,9.85,9.85,212900
2021-07-20,9.75,10.09,9.51,9.65,9.65,241400
2021-07-21,9.65,10.13,9.65,9.95,9.95,119400
2021-07-22,9.87,10.48,9.7,10.08,10.08,149800
2021-07-23,10.03,10.41,9.525,10.0,10.0,125500
2021-07-26,9.82,10.41,9.82,9.86,9.86,45300
2021-07-27,9.9,9.9,8.91,9.15,9.15,127800
2021-07-28,9.09,10.45,8.76,10.12,10.12,73500
2021-07-29,10.23,11.39,9.468,11.39,11.39,56700
2021-07-30,11.3,11.5,11.01,11.23,11.23,30100
2021-08-02,11.2,12.82,11.2,12.75,12.75,86100
2021-08-03,13.0,13.25,11.33,11.73,11.73,139800
2021-08-04,11.35,12.63,11.35,12.43,12.43,43200
2021-08-05,12.35,12.92,12.15,12.85,12.85,109800
2021-08-06,12.52,13.4,11.91,12.89,12.89,54300
2021-08-09,12.74,13.51,12.57,13.04,13.04,49800
2021-08-10,13.0,13.26,12.25,12.55,12.55,94900
2021-08-11,12.58,12.9,11.35,12.33,12.33,70200
2021-08-12,12.22,12.5,11.27,11.7,11.7,107900
2021-08-13,11.51,11.9,10.01,10.77,10.77,154700
2021-08-16,10.53,11.04,9.065,9.88,9.88,162400
2021-08-17,9.97,10.65,9.75,9.79,9.79,65900
2021-08-18,9.99,10.94,9.71,10.4,10.4,121600
2021-08-19,10.11,11.06,10.1,10.67,10.67,87700
2021-08-20,10.82,11.29,10.6,10.91,10.91,51600
2021-08-23,11.18,11.25,10.02,11.25,11.25,77200
2021-08-24,11.43,11.465,10.52,10.85,10.85,57000
2021-08-25,10.63,10.7,10.3,10.41,10.41,56000
2021-08-26,10.38,10.6,9.6,9.95,9.95,108600
2021-08-27,10.26,10.58,9.595,10.45,10.45,62600
2021-08-30,10.6,10.6,9.75,9.76,9.76,88700
2021-08-31,9.89,10.16,9.1,9.95,9.95,82100
2021-09-01,9.68,9.95,9.31,9.41,9.41,85400
2021-09-02,9.3,9.68,8.37,8.59,8.59,136700
2021-09-03,8.55,9.46,7.81,9.42,9.42,141100
2021-09-07,9.62,10.49,9.03,10.4,10.4,93600
2021-09-08,10.36,10.45,9.51,9.91,9.91,66400
2021-09-09,9.96,10.09,9.645,9.99,9.99,40700
2021-09-10,9.89,10.19,9.755,9.87,9.87,42800
2021-09-13,10.01,10.09,9.23,9.65,9.65,43600
2021-09-14,9.85,9.99,9.21,9.8,9.8,55300
2021-09-15,9.7,9.7,8.86,9.14,9.14,50100
2021-09-16,9.19,9.48,8.93,8.98,8.98,28500
2021-09-17,8.95,9.575,8.29,8.3,8.3,476300
2021-09-20,8.42,8.531,7.61,8.18,8.18,106200
