Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,12.11,12.27,12.04,12.27,4.717934,295000
2012-02-07,12.22,12.35,12.06,12.07,4.641031,312900
2012-02-08,12.06,12.21,11.9,12.2,4.691018,281100
2012-02-09,12.28,12.33,11.82,12.02,4.621806,379500
2012-02-10,11.84,11.94,11.44,11.65,4.479537,434400
2012-02-13,11.84,12.26,11.69,12.2,4.691018,354000
2012-02-14,12.18,12.46,12.05,12.29,4.725623,432400
2012-02-15,12.35,12.42,12.06,12.19,4.687173,273600
2012-02-16,12.19,12.55,12.12,12.4,4.76792,388000
2012-02-17,12.35,13.16,12.26,13.05,5.017851,699400
2012-02-21,13.3,13.83,13.15,13.63,5.240867,721800
2012-02-22,13.25,13.52,13.25,13.33,5.125513,436900
2012-02-23,13.33,13.5,13.18,13.36,5.137048,384100
2012-02-24,13.33,13.72,13.27,13.61,5.233176,221700
2012-02-27,13.51,13.88,13.38,13.65,5.248556,268300
2012-02-28,13.67,13.81,13.5,13.55,5.210106,299100
2012-02-29,13.53,13.78,13.5,13.73,5.279316,600100
2012-03-01,13.73,13.95,13.7,13.78,5.298542,519600
2012-03-02,13.76,13.89,13.35,13.36,5.137048,319700
2012-03-05,13.39,13.48,13.02,13.27,5.102444,485000
2012-03-06,12.88,13.2,12.83,13.03,5.01016,499200
2012-03-07,12.97,12.99,12.68,12.94,5.092812,353600
2012-03-08,12.99,13.1,12.63,12.88,5.069197,339200
2012-03-09,12.9,13.35,12.83,13.27,5.222689,336900
2012-03-12,13.5,13.75,13.3,13.72,5.399797,576700
2012-03-13,13.77,14.0,13.73,14.0,5.509995,536200
2012-03-14,13.99,13.99,13.61,13.68,5.384052,402300
2012-03-15,13.74,14.28,13.57,14.21,5.592646,481500
2012-03-16,14.37,15.7,14.34,15.66,6.163323,1579700
2012-03-19,15.59,15.91,15.27,15.62,6.14758,882100
2012-03-20,15.41,15.43,14.93,14.98,5.895695,642000
2012-03-21,14.93,15.37,14.93,15.23,5.994089,352400
2012-03-22,14.97,15.17,14.6,14.78,5.816982,478400
2012-03-23,14.73,15.17,14.69,15.07,5.931117,361700
2012-03-26,15.25,15.35,14.91,15.13,5.954731,307200
2012-03-27,15.07,15.37,15.07,15.18,5.974411,335500
2012-03-28,15.27,15.54,15.23,15.47,6.088544,428500
2012-03-29,15.33,15.43,15.02,15.32,6.02951,446700
2012-03-30,15.48,15.48,15.02,15.3,6.021637,341000
2012-04-02,15.24,15.26,15.1,15.25,6.00196,410600
2012-04-03,15.18,15.33,15.0,15.09,5.938989,332200
2012-04-04,14.84,14.99,14.7,14.83,5.836658,297400
2012-04-05,14.75,14.9,14.68,14.78,5.816982,187200
2012-04-09,14.52,14.52,14.06,14.09,5.545417,342100
2012-04-10,14.06,14.14,13.04,13.05,5.136104,821400
2012-04-11,13.21,13.52,13.13,13.38,5.265981,325100
2012-04-12,13.51,13.78,13.34,13.72,5.399797,315900
2012-04-13,13.73,13.82,13.41,13.61,5.356503,236100
2012-04-16,13.64,13.72,13.4,13.62,5.360438,245500
2012-04-17,13.74,14.27,13.72,13.78,5.42341,333000
2012-04-18,13.67,13.67,13.41,13.48,5.305338,249100
2012-04-19,13.45,13.89,13.36,13.54,5.328953,232200
2012-04-20,13.77,13.96,13.49,13.53,5.325016,223300
2012-04-23,13.31,13.42,13.01,13.27,5.222689,272900
2012-04-24,13.24,13.78,13.22,13.67,5.380118,151700
2012-04-25,13.84,13.96,13.74,13.88,5.462767,234900
2012-04-26,13.78,13.97,13.71,13.89,5.466703,163600
2012-04-27,13.89,14.12,13.7,14.06,5.533609,225300
2012-04-30,14.08,14.17,13.84,13.85,5.45096,269000
2012-05-01,13.83,13.95,13.56,13.56,5.336824,403800
2012-05-02,13.49,13.65,13.28,13.53,5.325016,358100
2012-05-03,13.54,13.54,13.02,13.09,5.151845,321600
2012-05-04,13.03,13.1,12.5,12.67,4.986546,547300
2012-05-07,12.56,12.87,12.5,12.61,4.962931,393000
2012-05-08,12.52,12.87,12.51,12.87,5.065259,281300
2012-05-09,12.65,12.77,12.41,12.65,4.978675,280000
2012-05-10,12.79,13.13,12.64,12.91,5.081002,450400
2012-05-11,12.77,13.25,12.75,12.96,5.100682,370800
2012-05-14,12.75,13.2,12.75,12.87,5.065259,460000
2012-05-15,12.82,13.17,12.79,12.86,5.061325,423500
2012-05-16,12.9,13.29,12.88,12.93,5.088874,372000
2012-05-17,12.91,13.1,12.76,12.95,5.096747,502600
2012-05-18,12.93,13.07,12.39,12.45,4.899961,715200
2012-05-21,12.69,13.29,12.45,13.27,5.222689,639800
2012-05-22,13.27,13.8,13.22,13.57,5.34076,628800
2012-05-23,13.47,13.89,13.14,13.83,5.443089,600000
2012-05-24,14.0,15.01,13.95,15.01,5.907503,783300
2012-05-25,15.1,16.5,15.01,16.450001,6.474247,1337600
2012-05-29,16.549999,16.549999,15.38,15.94,6.273524,903400
2012-05-30,15.67,15.75,15.23,15.26,6.005896,481400
2012-05-31,15.23,15.67,14.91,15.49,6.096417,367600
2012-06-01,15.07,15.54,15.01,15.18,5.974411,307900
2012-06-04,15.24,15.35,14.45,14.61,5.750074,585600
2012-06-05,14.56,15.55,14.56,15.5,6.100352,581400
2012-06-06,15.75,16.059999,15.63,15.98,6.289266,427900
2012-06-07,16.200001,16.290001,15.74,16.01,6.301074,380600
2012-06-08,15.9,15.96,15.44,15.82,6.226294,524600
2012-06-11,16.0,16.0,15.18,15.2,5.982283,593600
2012-06-12,15.31,15.62,15.17,15.52,6.108226,623000
2012-06-13,15.17,15.37,14.82,15.07,6.083999,377000
2012-06-14,15.07,15.12,14.66,14.92,6.023442,352400
2012-06-15,15.0,15.32,14.91,15.1,6.096111,484700
2012-06-18,15.04,15.06,14.46,14.85,5.995185,379500
2012-06-19,14.88,15.58,14.88,15.33,6.188967,499900
2012-06-20,15.3,15.52,15.02,15.3,6.176856,287900
2012-06-21,15.33,15.4,14.58,14.64,5.910403,417900
2012-06-22,14.62,14.93,14.52,14.92,6.023442,370400
2012-06-25,14.72,14.88,14.35,14.46,5.837735,305400
2012-06-26,14.53,14.7,14.37,14.64,5.910403,230500
2012-06-27,14.6,15.15,14.6,15.12,6.104188,239900
2012-06-28,15.05,15.45,15.0,15.34,6.193003,319200
2012-06-29,15.69,15.82,15.51,15.63,6.310081,434900
2012-07-02,15.72,15.75,15.35,15.75,6.358529,261800
2012-07-03,15.82,16.1,15.75,15.93,6.431198,158400
2012-07-05,15.86,15.96,15.56,15.81,6.382751,175100
2012-07-06,15.59,15.85,15.53,15.8,6.378713,263700
2012-07-09,15.77,15.8,15.51,15.61,6.302008,326800
2012-07-10,15.67,15.8,15.21,15.43,6.229341,331400
2012-07-11,15.47,15.61,15.28,15.49,6.253561,235600
2012-07-12,15.32,15.36,14.83,15.09,6.092075,338900
2012-07-13,15.15,15.42,15.15,15.35,6.197043,230300
2012-07-16,15.23,15.24,14.9,15.11,6.10015,242800
2012-07-17,15.17,15.5,14.99,15.3,6.176856,288300
2012-07-18,15.36,15.55,15.21,15.41,6.221265,247200
2012-07-19,15.44,15.52,15.15,15.24,6.152633,167400
2012-07-20,15.13,15.3,15.05,15.17,6.124371,216900
2012-07-23,14.84,14.98,14.64,14.83,5.987109,289000
2012-07-24,14.89,14.91,14.1,14.36,5.797362,449200
2012-07-25,14.51,14.58,13.85,14.04,5.668173,447000
2012-07-26,14.31,14.41,14.13,14.29,5.769104,226700
2012-07-27,14.38,15.02,14.31,14.69,5.930589,387700
2012-07-30,14.69,14.84,14.36,14.52,5.861957,318200
2012-07-31,14.47,14.69,14.25,14.48,5.845809,367300
2012-08-01,14.63,14.69,14.21,14.22,5.740842,326800
2012-08-02,14.12,14.6,14.12,14.54,5.87003,261900
2012-08-03,14.83,15.17,14.66,14.95,6.035556,314200
2012-08-06,15.01,15.16,14.85,14.88,6.007294,245200
2012-08-07,15.01,15.27,14.94,15.21,6.140521,355400
2012-08-08,15.07,15.34,15.02,15.15,6.116296,200900
2012-08-09,15.19,15.53,15.19,15.38,6.209152,214500
2012-08-10,15.24,15.36,15.1,15.13,6.108225,221300
2012-08-13,15.15,15.15,14.82,15.06,6.079965,236700
2012-08-14,15.08,15.2,14.95,15.02,6.063815,241700
2012-08-15,14.95,15.15,14.83,15.13,6.108225,200600
2012-08-16,15.08,15.31,15.05,15.26,6.160707,190100
2012-08-17,15.4,15.48,15.3,15.4,6.217227,311300
2012-08-20,15.59,16.190001,15.53,15.99,6.45542,520000
2012-08-21,16.0,16.33,16.0,16.290001,6.576534,440000
2012-08-22,16.209999,16.4,16.08,16.35,6.600759,400800
2012-08-23,16.33,16.33,15.75,15.91,6.423123,343800
2012-08-24,15.85,16.01,15.7,15.91,6.423123,284700
2012-08-27,16.09,16.09,15.75,15.78,6.37064,267600
2012-08-28,15.97,16.25,15.65,16.07,6.487717,668200
2012-08-29,16.190001,16.190001,16.0,16.049999,6.479642,308200
2012-08-30,16.0,16.08,15.89,15.93,6.431198,241500
2012-08-31,16.059999,16.27,15.8,16.139999,6.515975,459900
2012-09-04,16.24,16.91,16.24,16.9,6.822801,888700
2012-09-05,16.9,16.950001,16.620001,16.65,6.721872,592700
2012-09-06,16.82,17.48,16.700001,17.25,6.964102,953400
2012-09-07,17.35,17.4,17.190001,17.370001,7.01255,410700
2012-09-10,17.4,17.4,17.17,17.26,6.968139,410900
2012-09-11,17.24,17.5,17.18,17.360001,7.00851,547300
2012-09-12,17.23,17.23,16.91,17.059999,7.04568,446800
2012-09-13,16.66,17.709999,16.290001,17.559999,7.252176,922100
2012-09-14,17.639999,17.940001,17.379999,17.440001,7.202617,437400
2012-09-17,17.41,17.49,17.120001,17.27,7.13241,351000
2012-09-18,17.1,17.23,16.6,16.879999,6.97134,510400
2012-09-19,16.91,17.07,16.52,16.559999,6.839182,596500
2012-09-20,16.370001,16.459999,15.94,16.139999,6.665723,696000
2012-09-21,16.370001,16.469999,15.57,15.57,6.430316,1480300
2012-09-24,15.73,16.030001,15.55,15.86,6.550087,566500
2012-09-25,15.96,16.25,15.64,15.67,6.471618,579000
2012-09-26,15.67,15.84,15.6,15.69,6.479877,634900
2012-09-27,15.76,15.9,15.65,15.82,6.533568,404300
2012-09-28,15.82,15.97,15.7,15.72,6.492268,456700
2012-10-01,16.0,16.219999,15.84,16.0,6.607906,478800
2012-10-02,15.1,15.15,14.84,14.98,6.186652,4195300
2012-10-03,15.02,15.32,14.9,15.27,6.30642,1618800
2012-10-04,15.25,15.37,15.13,15.32,6.327071,819800
2012-10-05,15.34,15.39,15.06,15.07,6.223822,789100
2012-10-08,15.04,15.09,14.81,14.99,6.190784,682600
2012-10-09,14.99,15.18,14.76,14.91,6.157744,601300
2012-10-10,14.92,15.25,14.92,15.23,6.2899,1003800
2012-10-11,15.26,15.32,15.13,15.27,6.30642,679000
