Date,Open,High,Low,Close,Adj Close,Volume
2020-12-04,22.0,36.650002,22.0,34.779999,34.779999,2785000
2020-12-07,32.16,33.0,28.309999,30.6,30.6,322900
2020-12-08,32.900002,32.900002,28.700001,31.65,31.65,315100
2020-12-09,31.629999,32.240002,27.113001,28.120001,28.120001,239700
2020-12-10,27.66,29.309999,27.15,27.940001,27.940001,99500
2020-12-11,28.290001,29.450001,26.584999,27.6,27.6,91100
2020-12-14,27.709999,28.290001,26.0,28.01,28.01,225800
2020-12-15,28.35,28.35,27.0,27.795,27.795,28500
2020-12-16,27.639999,31.15,26.299999,29.860001,29.860001,75800
2020-12-17,29.969999,33.035,29.969999,32.75,32.75,58800
2020-12-18,31.51,33.945,30.33,33.110001,33.110001,48900
2020-12-21,32.700001,41.599998,32.290001,41.540001,41.540001,128600
2020-12-22,41.110001,54.317001,37.009998,45.349998,45.349998,250100
2020-12-23,45.240002,47.18,39.23,40.240002,40.240002,193500
2020-12-24,39.299999,41.369999,38.168999,41.200001,41.200001,30700
2020-12-28,41.799999,43.0,35.5,39.799999,39.799999,152600
2020-12-29,39.860001,40.869999,36.689999,37.400002,37.400002,113300
2020-12-30,37.25,37.424999,32.450001,37.34,37.34,184600
2020-12-31,37.349998,50.990002,37.349998,48.029999,48.029999,240700
2021-01-04,49.990002,51.419998,38.599998,39.25,39.25,168400
2021-01-05,39.549999,39.599998,37.040001,37.91,37.91,76200
2021-01-06,37.599998,37.599998,33.32,33.599998,33.599998,153200
2021-01-07,34.049999,36.75,33.830002,36.25,36.25,146400
2021-01-08,36.299999,37.009998,34.470001,35.189999,35.189999,107900
2021-01-11,35.169998,36.0,34.169998,34.740002,34.740002,88200
2021-01-12,34.799999,35.716999,34.040001,34.68,34.68,104700
2021-01-13,35.040001,35.220001,33.700001,33.709999,33.709999,136000
2021-01-14,34.220001,34.869999,33.630001,34.16,34.16,110000
2021-01-15,34.549999,36.889999,34.32,35.459999,35.459999,100200
2021-01-19,35.889999,36.32,33.380001,34.970001,34.970001,89000
2021-01-20,34.959999,35.630001,33.330002,34.59,34.59,63400
2021-01-21,35.040001,35.040001,33.91,34.5,34.5,58100
2021-01-22,34.029999,34.890999,33.5,34.860001,34.860001,64700
2021-01-25,35.0,35.049999,32.299999,32.66,32.66,66200
2021-01-26,33.029999,34.240002,33.029999,33.380001,33.380001,46900
2021-01-27,33.790001,34.380001,31.4,31.73,31.73,66700
2021-01-28,31.530001,33.98,30.5,30.74,30.74,80700
2021-01-29,31.0,31.645,28.51,30.610001,30.610001,104500
2021-02-01,31.120001,31.709999,29.65,30.129999,30.129999,104500
2021-02-02,30.309999,32.189999,30.0,31.57,31.57,97000
2021-02-03,31.58,32.25,30.209999,31.559999,31.559999,141400
2021-02-04,31.76,35.0,31.27,34.25,34.25,116000
