Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,7.6,7.6,7.6,7.6,7.411694,3600
2012-02-07,7.6,7.6,7.6,7.6,7.411694,0
2012-02-08,7.84,7.84,7.84,7.84,7.645747,3000
2012-02-09,7.84,7.84,7.84,7.84,7.645747,0
2012-02-10,7.84,7.84,7.84,7.84,7.645747,0
2012-02-13,7.0,8.0,7.0,8.0,7.801783,200
2012-02-14,8.0,8.0,7.84,7.84,7.645747,2625
2012-02-15,7.84,7.84,7.84,7.84,7.645747,0
2012-02-16,8.4,8.4,8.4,8.4,8.191873,750
2012-02-17,8.4,8.4,8.4,8.4,8.191873,0
2012-02-21,7.0,7.0,7.0,7.0,6.82656,250
2012-02-22,7.4,7.4,7.4,7.4,7.216649,225
2012-02-23,7.4,7.4,7.4,7.4,7.216649,0
2012-02-24,7.4,7.4,7.4,7.4,7.216649,0
2012-02-27,7.4,7.8,7.4,7.8,7.606738,175
2012-02-28,6.6,6.6,6.6,6.6,6.436471,75
2012-02-29,7.4,7.4,7.4,7.4,7.216649,1250
2012-03-01,7.4,9.24,7.4,9.24,9.011058,1800
2012-03-02,9.0,9.24,8.8,9.24,9.011058,2700
2012-03-05,8.8,8.8,8.4,8.4,8.191873,475
2012-03-06,8.4,8.4,8.4,8.4,8.191873,0
2012-03-07,8.4,8.4,8.4,8.4,8.191873,0
2012-03-08,8.4,8.4,8.4,8.4,8.191873,0
2012-03-09,8.4,8.4,8.4,8.4,8.191873,0
2012-03-12,9.0,9.0,9.0,9.0,8.777006,375
2012-03-13,9.0,9.0,9.0,9.0,8.777006,325
2012-03-14,9.0,9.0,9.0,9.0,8.777006,0
2012-03-15,8.84,8.84,8.84,8.84,8.620971,425
2012-03-16,8.84,8.84,8.84,8.84,8.620971,0
2012-03-19,8.84,8.84,8.84,8.84,8.620971,0
2012-03-20,8.84,8.84,8.84,8.84,8.620971,0
2012-03-21,8.84,8.84,8.84,8.84,8.620971,0
2012-03-22,9.2,9.2,9.2,9.2,8.972051,425
2012-03-23,9.0,9.0,9.0,9.0,8.777006,125
2012-03-26,9.0,9.0,9.0,9.0,8.777006,350
2012-03-27,9.8,9.8,9.8,9.8,9.557183,300
2012-03-28,9.0,9.0,9.0,9.0,8.777006,125
2012-03-29,9.0,9.0,9.0,9.0,8.777006,125
2012-03-30,10.0,10.0,10.0,10.0,9.752228,25
2012-04-02,10.0,10.0,10.0,10.0,9.752228,0
2012-04-03,9.0,9.0,9.0,9.0,8.777006,125
2012-04-04,9.0,9.0,9.0,9.0,8.777006,0
2012-04-05,9.0,9.0,9.0,9.0,8.777006,0
2012-04-09,9.0,9.0,9.0,9.0,8.777006,0
2012-04-10,9.0,9.0,9.0,9.0,8.777006,0
2012-04-11,10.0,10.0,10.0,10.0,9.752228,75
2012-04-12,9.0,9.0,9.0,9.0,8.777006,225
2012-04-13,9.0,9.0,9.0,9.0,8.777006,875
2012-04-16,9.0,9.0,9.0,9.0,8.777006,0
2012-04-17,9.0,9.0,9.0,9.0,8.777006,125
2012-04-18,9.0,9.0,9.0,9.0,8.777006,0
2012-04-19,9.0,9.0,9.0,9.0,8.777006,0
2012-04-20,9.0,9.0,9.0,9.0,8.777006,0
2012-04-23,9.0,9.0,9.0,9.0,8.777006,0
2012-04-24,9.0,9.0,9.0,9.0,8.777006,225
2012-04-25,9.0,9.0,9.0,9.0,8.777006,0
2012-04-26,9.0,9.0,9.0,9.0,8.777006,0
2012-04-27,9.0,9.0,9.0,9.0,8.777006,0
2012-04-30,9.0,9.0,9.0,9.0,8.777006,0
2012-05-01,9.8,9.8,9.8,9.8,9.557183,125
2012-05-02,9.8,9.8,9.8,9.8,9.557183,500
2012-05-03,9.8,9.8,7.0,7.0,6.82656,1450
2012-05-04,7.0,7.0,7.0,7.0,6.82656,0
2012-05-07,7.0,7.0,7.0,7.0,6.82656,0
2012-05-08,7.0,7.0,7.0,7.0,6.82656,0
2012-05-09,8.0,8.0,8.0,8.0,7.801783,1075
2012-05-10,8.0,8.0,8.0,8.0,7.801783,0
2012-05-11,8.0,8.0,8.0,8.0,7.801783,0
2012-05-14,8.0,8.0,8.0,8.0,7.801783,0
2012-05-15,8.0,8.0,8.0,8.0,7.801783,0
2012-05-16,8.0,8.0,8.0,8.0,7.801783,0
2012-05-17,8.8,8.8,8.8,8.8,8.581962,100
2012-05-18,8.8,8.8,8.8,8.8,8.581962,50
2012-05-21,8.8,8.8,8.8,8.8,8.581962,0
2012-05-22,8.0,8.0,8.0,8.0,7.801783,725
2012-05-23,8.0,8.0,8.0,8.0,7.801783,0
2012-05-24,8.0,8.0,8.0,8.0,7.801783,0
2012-05-25,8.0,8.0,8.0,8.0,7.801783,0
2012-05-29,8.0,8.0,8.0,8.0,7.801783,0
2012-05-30,7.0,7.2,6.8,7.2,7.021604,2125
2012-05-31,7.2,7.2,7.2,7.2,7.021604,0
2012-06-01,8.8,8.8,7.8,7.8,7.606738,475
2012-06-04,7.0,7.0,6.6,6.6,6.436471,1075
2012-06-05,6.6,6.6,6.6,6.6,6.436471,0
2012-06-06,6.6,6.6,6.6,6.6,6.436471,0
2012-06-07,6.6,6.6,6.6,6.6,6.436471,0
2012-06-08,6.6,6.6,6.6,6.6,6.436471,0
2012-06-11,6.6,6.6,6.6,6.6,6.436471,0
2012-06-12,6.6,6.6,6.6,6.6,6.436471,0
2012-06-13,6.6,6.6,6.6,6.6,6.436471,0
2012-06-14,6.6,6.6,6.6,6.6,6.436471,0
2012-06-15,6.6,6.6,6.6,6.6,6.436471,0
2012-06-18,6.6,6.6,6.6,6.6,6.436471,0
2012-06-19,6.6,6.6,6.6,6.6,6.436471,0
2012-06-20,7.0,7.0,7.0,7.0,6.82656,275
2012-06-21,7.0,7.0,7.0,7.0,6.82656,0
2012-06-22,7.0,7.0,7.0,7.0,6.82656,0
2012-06-25,7.0,7.0,7.0,7.0,6.82656,0
2012-06-26,7.0,7.0,7.0,7.0,6.82656,0
2012-06-27,7.0,7.0,7.0,7.0,6.82656,0
2012-06-28,7.0,7.0,7.0,7.0,6.82656,0
2012-06-29,7.0,7.0,7.0,7.0,6.82656,0
2012-07-02,7.0,7.0,7.0,7.0,6.82656,0
2012-07-03,7.0,7.0,7.0,7.0,6.82656,0
2012-07-05,7.0,7.0,7.0,7.0,6.82656,0
2012-07-06,7.0,7.0,7.0,7.0,6.82656,0
2012-07-09,7.0,7.0,7.0,7.0,6.82656,0
2012-07-10,7.0,7.0,7.0,7.0,6.82656,0
2012-07-11,7.0,7.0,7.0,7.0,6.82656,0
2012-07-12,7.0,7.0,7.0,7.0,6.82656,0
2012-07-13,7.0,7.0,7.0,7.0,6.82656,0
2012-07-16,7.0,7.0,7.0,7.0,6.82656,0
2012-07-17,7.0,7.0,7.0,7.0,6.82656,225
2012-07-18,7.6,7.6,7.56,7.56,7.372685,150
2012-07-19,7.56,7.56,7.56,7.56,7.372685,0
2012-07-20,7.56,7.56,7.56,7.56,7.372685,0
2012-07-23,7.56,7.56,7.56,7.56,7.372685,0
2012-07-24,7.4,7.4,7.4,7.4,7.216649,125
2012-07-25,7.4,7.4,7.4,7.4,7.216649,0
2012-07-26,7.4,7.4,7.4,7.4,7.216649,0
2012-07-27,6.68,6.68,5.2,5.6,5.461248,4000
2012-07-30,5.6,5.6,5.6,5.6,5.461248,0
2012-07-31,5.6,5.6,5.6,5.6,5.461248,0
2012-08-01,6.0,6.0,6.0,6.0,5.851337,375
2012-08-02,6.0,6.0,6.0,6.0,5.851337,0
2012-08-03,6.0,6.0,6.0,6.0,5.851337,0
2012-08-06,5.6,5.6,5.6,5.6,5.461248,175
2012-08-07,5.64,5.64,5.64,5.64,5.500257,500
2012-08-08,5.64,5.64,5.64,5.64,5.500257,0
2012-08-09,5.6,5.6,5.6,5.6,5.461248,100
2012-08-10,5.6,5.6,5.6,5.6,5.461248,0
2012-08-13,5.6,5.6,5.6,5.6,5.461248,0
2012-08-14,5.24,5.24,5.24,5.24,5.110168,375
2012-08-15,5.24,5.24,5.24,5.24,5.110168,0
2012-08-16,6.0,6.2,6.0,6.2,6.046381,1075
