Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,3.78,3.88,3.77,3.84,3.84,7300
2012-02-07,3.83,3.91,3.71,3.72,3.72,16200
2012-02-08,3.71,3.77,3.45,3.65,3.65,77000
2012-02-09,3.62,3.69,3.58,3.69,3.69,34200
2012-02-10,3.67,3.77,3.65,3.77,3.77,14000
2012-02-13,3.76,3.85,3.7,3.7,3.7,47700
2012-02-14,3.7,3.84,3.67,3.73,3.73,40800
2012-02-15,3.73,3.75,3.65,3.7,3.7,12900
2012-02-16,3.69,3.75,3.4,3.47,3.47,58000
2012-02-17,3.47,3.83,3.47,3.83,3.83,45900
2012-02-21,3.8,3.85,3.71,3.75,3.75,32600
2012-02-22,3.75,3.76,3.42,3.53,3.53,231200
2012-02-23,3.56,3.63,3.51,3.63,3.63,23200
2012-02-24,3.93,3.93,3.75,3.8,3.8,100200
2012-02-27,3.84,3.85,3.77,3.83,3.83,35500
2012-02-28,3.87,3.95,3.8,3.88,3.88,56000
2012-02-29,3.86,4.0,3.86,3.91,3.91,64600
2012-03-01,3.92,4.04,3.86,3.97,3.97,59300
2012-03-02,3.99,4.15,3.91,4.06,4.06,61300
2012-03-05,4.01,4.07,3.97,4.03,4.03,28100
2012-03-06,4.03,4.03,3.81,3.94,3.94,34900
2012-03-07,4.0,4.0,3.9,3.92,3.92,23400
2012-03-08,3.86,3.97,3.75,3.8,3.8,70000
2012-03-09,3.8,3.91,3.77,3.91,3.91,21500
2012-03-12,3.87,3.99,3.85,3.93,3.93,13900
2012-03-13,3.92,3.93,3.84,3.88,3.88,21500
2012-03-14,3.8,3.95,3.8,3.95,3.95,12100
2012-03-15,3.95,3.95,3.78,3.84,3.84,24400
2012-03-16,3.81,3.88,3.76,3.85,3.85,45200
2012-03-19,3.85,3.94,3.79,3.79,3.79,17900
2012-03-20,3.8,3.84,3.63,3.72,3.72,43700
2012-03-21,3.74,3.79,3.63,3.74,3.74,12900
2012-03-22,3.72,3.77,3.67,3.75,3.75,51600
2012-03-23,3.73,3.75,3.62,3.69,3.69,34200
2012-03-26,3.68,3.7,3.65,3.66,3.66,12800
2012-03-27,3.63,3.68,3.45,3.5,3.5,67400
2012-03-28,3.46,3.61,3.38,3.51,3.51,83200
2012-03-29,3.53,3.7,3.33,3.49,3.49,38300
2012-03-30,3.45,3.72,3.45,3.72,3.72,97500
2012-04-02,3.67,3.75,3.5,3.73,3.73,41000
2012-04-03,3.71,3.72,3.65,3.68,3.68,10500
2012-04-04,3.5,3.7,3.5,3.6,3.6,19500
2012-04-05,3.63,3.81,3.62,3.75,3.75,27800
2012-04-09,3.7,3.83,3.7,3.72,3.72,13900
2012-04-10,3.84,3.9,3.76,3.82,3.82,20700
2012-04-11,3.82,3.86,3.75,3.8,3.8,18200
2012-04-12,3.82,3.86,3.75,3.77,3.77,41200
2012-04-13,3.76,3.85,3.76,3.79,3.79,63100
2012-04-16,3.77,3.85,3.75,3.77,3.77,22900
2012-04-17,3.77,3.77,3.65,3.68,3.68,11500
2012-04-18,3.64,3.73,3.64,3.65,3.65,4700
2012-04-19,3.63,3.68,3.63,3.63,3.63,9900
2012-04-20,3.62,3.62,3.52,3.58,3.58,23200
2012-04-23,3.56,3.68,3.5,3.6,3.6,34800
2012-04-24,3.59,3.8,3.59,3.8,3.8,28700
2012-04-25,3.71,3.84,3.66,3.82,3.82,20600
2012-04-26,3.76,3.9,3.76,3.9,3.9,22600
2012-04-27,3.88,3.92,3.85,3.86,3.86,11700
2012-04-30,3.85,3.85,3.77,3.85,3.85,4600
2012-05-01,3.82,3.99,3.78,3.82,3.82,45000
2012-05-02,3.88,4.15,3.88,4.14,4.14,83300
2012-05-03,4.09,4.15,4.0,4.05,4.05,23000
2012-05-04,4.03,4.04,3.96,3.99,3.99,12600
2012-05-07,4.01,4.01,3.85,3.88,3.88,27000
2012-05-08,3.99,4.02,3.8,3.93,3.93,32900
2012-05-09,3.93,3.93,3.86,3.93,3.93,7000
2012-05-10,3.95,4.08,3.92,4.02,4.02,19000
2012-05-11,4.02,4.02,3.9,3.95,3.95,4400
2012-05-14,3.9,4.0,3.84,3.94,3.94,9100
2012-05-15,3.8,3.88,3.76,3.8,3.8,9400
2012-05-16,3.79,3.87,3.76,3.83,3.83,7300
2012-05-17,3.76,3.84,3.51,3.61,3.61,43800
2012-05-18,3.53,3.66,3.5,3.6,3.6,15100
2012-05-21,3.59,3.7,3.59,3.62,3.62,7000
2012-05-22,3.64,3.66,3.51,3.62,3.62,19000
2012-05-23,3.6,3.68,3.52,3.6,3.6,1500
2012-05-24,3.57,3.65,3.52,3.61,3.61,6100
2012-05-25,3.61,3.65,3.37,3.43,3.43,56400
2012-05-29,3.4,3.64,3.33,3.34,3.34,21000
2012-05-30,3.32,3.43,3.28,3.34,3.34,21300
2012-05-31,3.25,3.4,3.2,3.2,3.2,63000
2012-06-01,3.19,3.43,3.15,3.2,3.2,30200
2012-06-04,3.25,3.28,3.03,3.07,3.07,40300
2012-06-05,2.98,3.08,2.86,2.97,2.97,73700
2012-06-06,3.0,3.13,2.96,3.08,3.08,23600
2012-06-07,3.1,3.1,2.96,3.02,3.02,13300
2012-06-08,3.02,3.07,2.95,3.02,3.02,50000
2012-06-11,3.02,3.14,3.02,3.02,3.02,19900
2012-06-12,3.08,3.15,3.05,3.11,3.11,15400
2012-06-13,3.08,3.11,3.05,3.05,3.05,3800
2012-06-14,3.09,3.15,3.01,3.05,3.05,4300
2012-06-15,3.01,3.07,3.01,3.06,3.06,7900
2012-06-18,3.01,3.08,3.0,3.02,3.02,21400
2012-06-19,3.05,3.15,3.01,3.07,3.07,19500
2012-06-20,3.02,3.26,3.01,3.25,3.25,43900
2012-06-21,3.26,3.26,3.06,3.12,3.12,6600
2012-06-22,3.12,3.21,3.11,3.18,3.18,18800
2012-06-25,3.13,3.3,3.13,3.26,3.26,13200
2012-06-26,3.3,3.41,3.25,3.25,3.25,4500
2012-06-27,3.23,3.4,3.22,3.26,3.26,24700
2012-06-28,3.25,3.37,3.25,3.29,3.29,10600
2012-06-29,3.26,3.4,3.24,3.38,3.38,20100
2012-07-02,3.35,3.37,3.15,3.35,3.35,13700
2012-07-03,3.3,3.74,3.3,3.74,3.74,11200
2012-07-05,3.67,3.67,3.3,3.4,3.4,7000
2012-07-06,3.4,3.41,3.3,3.35,3.35,7100
