Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,3.11,3.11,3.07,3.1,3.1,17000
2012-02-07,3.08,3.08,2.96,2.96,2.96,15500
2012-02-08,2.99,3.0,2.8,2.85,2.85,27200
2012-02-09,2.83,2.87,2.8,2.8,2.8,6800
2012-02-10,2.81,2.85,2.81,2.85,2.85,600
2012-02-13,2.8,2.85,2.39,2.46,2.46,82400
2012-02-14,2.38,2.38,2.01,2.12,2.12,447500
2012-02-15,2.1,2.13,2.06,2.06,2.06,42700
2012-02-16,2.09,2.12,1.95,2.03,2.03,577200
2012-02-17,2.04,2.05,1.95,2.04,2.04,55800
2012-02-21,2.05,2.09,2.04,2.04,2.04,53500
2012-02-22,2.04,2.05,2.0,2.01,2.01,17700
2012-02-23,2.05,2.2,1.97,2.18,2.18,182000
2012-02-24,2.2,2.2,2.1,2.1,2.1,16800
2012-02-27,2.1,2.11,2.01,2.1,2.1,80600
2012-02-28,2.05,2.09,1.99,2.06,2.06,128100
2012-02-29,2.1,2.14,2.01,2.03,2.03,83800
2012-03-01,2.02,2.1,2.02,2.08,2.08,113000
2012-03-02,2.08,2.29,2.04,2.27,2.27,210600
2012-03-05,2.25,2.35,2.15,2.25,2.25,52600
2012-03-06,2.25,2.29,2.19,2.19,2.19,9700
2012-03-07,2.2,2.22,2.2,2.2,2.2,16600
2012-03-08,2.2,2.31,2.16,2.3,2.3,33900
2012-03-09,2.31,2.39,2.15,2.23,2.23,34200
2012-03-12,2.25,2.45,2.18,2.24,2.24,65200
2012-03-13,2.35,2.37,2.2,2.2,2.2,72400
2012-03-14,2.25,2.48,2.24,2.46,2.46,80800
2012-03-15,2.45,2.45,2.36,2.38,2.38,37800
2012-03-16,2.43,2.47,2.36,2.4,2.4,51100
2012-03-19,2.36,2.46,2.34,2.35,2.35,42000
2012-03-20,2.4,2.45,2.27,2.38,2.38,58800
2012-03-21,2.37,2.37,2.29,2.32,2.32,16800
2012-03-22,2.28,2.36,2.28,2.31,2.31,21400
2012-03-23,2.33,2.35,2.21,2.25,2.25,42800
2012-03-26,2.26,2.28,2.15,2.19,2.19,46200
2012-03-27,2.15,2.22,2.15,2.21,2.21,31300
2012-03-28,2.2,2.22,2.19,2.2,2.2,9600
2012-03-29,2.21,2.23,2.1,2.15,2.15,34800
2012-03-30,2.19,2.24,2.15,2.19,2.19,114300
2012-04-02,2.21,2.21,2.15,2.17,2.17,22100
2012-04-03,2.2,2.2,2.1,2.17,2.17,30500
2012-04-04,2.15,2.15,2.06,2.12,2.12,30000
2012-04-05,2.09,2.12,2.06,2.09,2.09,11300
2012-04-09,2.1,2.1,1.98,2.01,2.01,26800
2012-04-10,2.04,2.04,1.9,1.92,1.92,20200
2012-04-11,1.92,1.97,1.92,1.97,1.97,11100
2012-04-12,1.93,1.99,1.8,1.87,1.87,39100
2012-04-13,1.9,1.95,1.88,1.94,1.94,16400
2012-04-16,1.99,1.99,1.88,1.9,1.9,32200
2012-04-17,1.92,1.93,1.91,1.92,1.92,6800
2012-04-18,1.89,1.93,1.88,1.9,1.9,1500
2012-04-19,1.94,1.94,1.9,1.93,1.93,4700
2012-04-20,1.94,1.94,1.88,1.88,1.88,3300
2012-04-23,1.89,1.92,1.88,1.89,1.89,11700
2012-04-24,1.88,1.92,1.85,1.85,1.85,26000
2012-04-25,1.85,1.85,1.84,1.84,1.84,8200
2012-04-26,1.85,1.85,1.83,1.83,1.83,1600
2012-04-27,1.83,1.85,1.8,1.83,1.83,9200
2012-04-30,1.85,1.85,1.81,1.83,1.83,10000
2012-05-01,1.83,1.85,1.8,1.84,1.84,18100
2012-05-02,1.82,1.85,1.82,1.84,1.84,8500
2012-05-03,1.85,1.92,1.8,1.8,1.8,39000
2012-05-04,1.8,1.87,1.8,1.82,1.82,4600
2012-05-07,1.83,1.9,1.83,1.84,1.84,18000
2012-05-08,1.89,1.92,1.89,1.9,1.9,18400
2012-05-09,1.86,1.88,1.77,1.82,1.82,42000
2012-05-10,2.05,3.02,2.05,2.67,2.67,683500
2012-05-11,2.55,2.6,2.3,2.48,2.48,78000
2012-05-14,2.44,2.61,2.44,2.59,2.59,28100
