Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,33.060001,33.380001,32.52,32.700001,27.114113,34300
2012-02-07,32.709999,33.139999,32.560001,32.59,27.022907,22700
2012-02-08,32.619999,33.07,32.549999,32.91,27.288244,10900
2012-02-09,33.0,33.130001,32.599998,32.950001,27.321419,30700
2012-02-10,32.5,32.93,32.5,32.860001,27.246784,36100
2012-02-13,33.25,33.290001,32.77,33.290001,27.603336,15000
2012-02-14,33.029999,33.189999,32.25,32.459999,26.915115,16200
2012-02-15,32.5,32.5,31.6,31.709999,26.431662,26600
2012-02-16,31.58,33.07,31.58,33.049999,27.548611,18500
2012-02-17,33.23,33.25,32.84,33.240002,27.706987,17100
2012-02-21,33.139999,33.25,32.48,32.580002,27.156849,25500
2012-02-22,31.610001,32.720001,31.610001,31.860001,26.556692,22400
2012-02-23,32.360001,32.75,31.74,32.700001,27.256863,30000
2012-02-24,32.790001,33.189999,32.080002,32.560001,27.140167,40100
2012-02-27,32.189999,32.189999,31.379999,31.719999,26.439993,34700
2012-02-28,31.74,31.74,31.18,31.459999,26.223278,51800
2012-02-29,31.629999,31.629999,30.76,30.969999,25.814831,48300
2012-03-01,31.01,31.33,30.540001,30.57,25.481422,31100
2012-03-02,30.73,30.73,29.35,29.74,24.789577,52600
2012-03-05,29.74,30.379999,29.74,30.370001,25.314705,22000
2012-03-06,30.09,30.379999,29.26,29.459999,24.556189,27700
2012-03-07,30.059999,30.059999,29.450001,29.92,24.939615,20500
2012-03-08,30.08,30.34,29.5,30.049999,25.047977,13300
2012-03-09,30.09,31.0,30.09,30.719999,25.606455,19600
2012-03-12,30.6,30.860001,30.24,30.52,25.439743,12500
2012-03-13,30.91,31.879999,30.52,31.83,26.531681,30000
2012-03-14,31.620001,31.92,31.219999,31.360001,26.139919,15900
2012-03-15,31.5,31.73,31.32,31.57,26.314964,13800
2012-03-16,31.67,32.02,31.24,31.709999,26.431662,43700
2012-03-19,31.530001,32.790001,31.530001,32.610001,27.181847,18300
2012-03-20,32.220001,32.75,31.700001,32.709999,27.265203,18900
2012-03-21,32.639999,32.970001,32.130001,32.66,27.223522,26800
2012-03-22,32.09,32.09,31.42,31.969999,26.648378,24000
2012-03-23,31.879999,32.799999,31.85,32.790001,27.331881,27000
2012-03-26,33.009998,33.549999,32.75,33.529999,27.948702,38700
2012-03-27,33.459999,33.48,32.970001,33.189999,27.665297,27700
2012-03-28,33.18,33.810001,33.139999,33.759998,28.140419,35100
2012-03-29,33.380001,33.380001,32.490002,33.110001,27.598627,73000
2012-03-30,33.5,33.5,32.689999,32.709999,27.265203,31300
2012-04-02,32.720001,33.490002,32.490002,33.48,27.907022,29700
2012-04-03,33.470001,33.549999,32.630001,32.700001,27.256863,24300
2012-04-04,32.330002,32.73,32.07,32.16,26.806753,34000
2012-04-05,31.92,32.310001,31.620001,32.209999,26.848429,26300
2012-04-09,31.459999,32.16,31.0,31.040001,25.873184,31200
2012-04-10,31.030001,31.27,30.27,30.33,25.281364,50100
2012-04-11,30.559999,31.559999,30.459999,31.530001,26.28162,42000
2012-04-12,31.629999,31.92,31.25,31.75,26.465002,23600
2012-04-13,31.5,31.75,30.93,31.120001,25.939867,47900
2012-04-16,31.23,32.029999,31.040001,31.719999,26.439993,32100
2012-04-17,32.119999,32.68,31.700001,32.380001,26.990137,37300
2012-04-18,32.27,32.290001,31.26,31.290001,26.08157,15500
2012-04-19,31.459999,31.620001,31.0,31.07,25.898188,47000
2012-04-20,32.34,32.349998,31.59,31.77,26.481668,33800
2012-04-23,31.190001,31.35,31.0,31.059999,25.889854,24800
2012-04-24,30.99,31.709999,30.99,31.690001,26.414986,14300
2012-04-25,32.0,32.279999,31.57,31.780001,26.490005,28500
2012-04-26,31.610001,31.969999,31.58,31.9,26.590034,21700
2012-04-27,31.9,33.610001,31.34,33.209999,27.681973,64200
2012-04-30,33.220001,34.669998,32.709999,34.389999,28.665556,64000
2012-05-01,34.25,34.889999,32.57,33.25,27.715319,56000
2012-05-02,32.57,34.16,32.32,34.02,28.357138,50100
2012-05-03,33.830002,34.009998,33.040001,33.23,27.698647,29000
2012-05-04,33.02,33.150002,32.200001,32.59,27.165176,52600
2012-05-07,32.400002,33.220001,32.400002,32.91,27.431908,19000
2012-05-08,32.5,33.389999,32.5,33.169998,27.64863,36600
2012-05-09,32.639999,33.029999,32.18,32.630001,27.198524,36000
2012-05-10,32.810001,32.810001,32.27,32.700001,27.256863,58000
2012-05-11,32.299999,32.860001,31.940001,32.09,26.748407,27200
2012-05-14,31.73,32.189999,31.67,32.049999,26.715067,45100
2012-05-15,31.950001,32.689999,31.950001,32.23,26.865095,22000
2012-05-16,32.349998,32.880001,32.119999,32.349998,27.108105,22200
2012-05-17,32.299999,32.860001,32.040001,32.349998,27.108105,23100
2012-05-18,32.240002,32.59,31.76,32.040001,26.848343,49900
2012-05-21,31.98,32.599998,31.870001,32.470001,27.208664,26800
2012-05-22,32.52,32.810001,31.549999,31.85,26.689129,30000
2012-05-23,31.5,32.75,31.5,32.549999,27.275702,38000
2012-05-24,32.549999,32.950001,31.9,32.950001,27.610895,26800
2012-05-25,32.98,32.990002,32.419998,32.990002,27.644403,19800
2012-05-29,33.57,34.360001,33.150002,33.880001,28.390194,50500
2012-05-30,33.5,33.73,33.0,33.630001,28.180706,81000
2012-05-31,33.57,34.470001,33.310001,33.889999,28.398571,123000
2012-06-01,33.07,33.82,32.860001,33.060001,27.703064,62300
2012-06-04,33.07,33.860001,33.07,33.73,28.264509,42900
2012-06-05,33.400002,33.82,33.049999,33.73,28.264509,44000
2012-06-06,33.869999,34.349998,33.619999,34.290001,28.733759,37300
2012-06-07,34.5,34.970001,33.779999,34.619999,29.010277,51200
2012-06-08,34.540001,35.75,34.540001,35.380001,29.647139,80600
2012-06-11,35.880001,35.880001,34.779999,34.82,29.177881,72300
2012-06-12,35.009998,35.130001,34.73,35.07,29.387369,72200
2012-06-13,34.919998,35.330002,34.560001,34.93,29.270075,49000
2012-06-14,34.860001,35.16,33.98,34.970001,29.303577,56300
2012-06-15,34.82,35.099998,34.68,35.0,29.328714,113900
2012-06-18,34.610001,34.880001,34.389999,34.709999,29.085709,44100
2012-06-19,34.75,35.130001,34.540001,35.0,29.328714,61300
2012-06-20,34.900002,35.080002,34.630001,34.849998,29.203011,30100
2012-06-21,34.790001,35.009998,33.82,33.91,28.415329,43300
2012-06-22,34.07,35.080002,33.889999,34.990002,29.320324,152400
2012-06-25,34.330002,35.0,34.0,34.860001,29.211399,20300
2012-06-26,34.77,35.189999,34.52,34.830002,29.186262,16900
2012-06-27,34.900002,35.220001,34.689999,35.080002,29.395754,59900
2012-06-28,34.68,35.0,34.439999,35.0,29.328714,19600
2012-06-29,35.0,35.5,35.0,35.25,29.538204,78200
2012-07-02,35.25,35.25,34.799999,35.25,29.538204,52100
2012-07-03,35.150002,35.349998,35.130001,35.240002,29.529829,29000
2012-07-05,35.209999,35.68,34.93,35.349998,29.621996,28700
2012-07-06,34.900002,35.299999,34.900002,35.16,29.462782,13100
2012-07-09,34.82,35.360001,34.709999,35.259998,29.546583,20400
