Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,33.57,34.130001,33.360001,33.919998,29.266439,133100
2012-02-07,33.68,33.849998,32.459999,32.529999,28.067144,412500
2012-02-08,32.66,32.91,32.290001,32.580002,28.110291,162100
2012-02-09,32.57,32.82,31.93,32.240002,27.816935,150800
2012-02-10,31.9,32.029999,31.49,31.73,27.376894,186000
2012-02-13,32.110001,32.77,32.040001,32.709999,28.222448,138400
2012-02-14,32.459999,32.630001,31.82,32.16,27.747911,233900
2012-02-15,32.34,32.34,31.16,31.26,26.971376,175100
2012-02-16,31.27,32.52,31.26,32.259998,27.834187,223200
2012-02-17,32.419998,32.610001,32.200001,32.349998,27.91184,125000
2012-02-21,32.459999,32.790001,31.610001,31.82,27.454556,178000
2012-02-22,31.620001,31.780001,31.09,31.379999,27.074923,209400
2012-02-23,31.43,32.080002,31.139999,32.02,27.627108,102900
2012-02-24,32.02,32.02,30.870001,30.940001,26.69528,123000
2012-02-27,30.709999,31.129999,29.969999,30.91,26.669394,331600
2012-02-28,30.860001,31.09,30.25,30.43,26.255247,245000
2012-02-29,30.549999,30.91,29.82,29.82,25.728933,334900
2012-03-01,30.059999,30.59,29.99,30.280001,26.12583,322400
2012-03-02,30.27,30.27,29.25,29.549999,25.495977,229700
2012-03-05,29.530001,29.889999,29.34,29.82,25.728933,144800
2012-03-06,29.4,29.549999,28.58,28.690001,24.753962,255500
2012-03-07,28.879999,29.51,28.84,29.32,25.297535,345200
2012-03-08,29.620001,30.690001,29.620001,30.639999,26.436434,339900
2012-03-09,30.65,31.889999,30.610001,31.209999,26.928234,245200
2012-03-12,31.200001,31.92,31.059999,31.799999,27.4373,291700
2012-03-13,32.02,32.669998,31.860001,32.580002,28.110291,342500
2012-03-14,32.5,32.669998,32.0,32.419998,27.972242,304600
2012-03-15,32.439999,32.82,31.870001,32.77,28.274218,231300
2012-03-16,32.860001,32.860001,31.84,32.16,27.747911,748400
2012-03-19,32.18,32.860001,31.9,32.369999,27.929096,193300
2012-03-20,32.049999,32.18,31.57,31.950001,27.566717,202200
2012-03-21,32.080002,32.279999,31.799999,31.99,27.601231,118100
2012-03-22,31.6,31.68,31.190001,31.6,27.264736,150200
2012-03-23,31.49,31.969999,30.73,31.76,27.402786,185300
2012-03-26,32.220001,33.009998,31.799999,32.849998,28.343241,389200
2012-03-27,32.82,33.34,32.650002,32.66,28.179316,175300
2012-03-28,32.689999,33.130001,32.23,32.84,28.334616,199500
2012-03-29,32.509998,32.709999,32.040001,32.57,28.101648,168700
