Date,Open,High,Low,Close,Adj Close,Volume
2012-10-11,22.5,22.9,21.280001,21.66,19.960197,5873700
2012-10-12,21.5,22.059999,21.0,22.0,20.273514,402400
2012-10-15,22.25,23.209999,22.0,22.950001,21.148962,114300
2012-10-16,23.1,23.49,22.620001,23.040001,21.231897,122300
2012-10-17,23.1,23.18,22.969999,23.08,21.268757,60800
2012-10-18,23.08,25.219999,22.99,24.360001,22.448311,202000
2012-10-19,24.01,24.450001,22.83,22.83,21.038378,162800
2012-10-22,22.9,23.73,22.85,23.42,21.582075,72200
2012-10-23,23.0,23.0,22.34,22.6,20.826426,42600
2012-10-24,22.65,22.74,22.360001,22.68,20.900148,29700
2012-10-25,22.75,23.950001,22.540001,22.690001,20.909365,169600
2012-10-26,22.389999,23.48,22.27,23.209999,21.388557,62200
2012-10-31,23.0,25.0,22.610001,23.75,21.886179,74000
2012-11-01,23.75,24.77,23.75,24.690001,22.752413,80900
2012-11-02,25.01,25.200001,24.74,24.82,22.872211,47300
2012-11-05,24.120001,24.76,23.950001,24.110001,22.21793,105000
2012-11-06,23.5,23.700001,22.65,22.67,20.890934,138400
2012-11-07,22.02,23.379999,21.799999,23.35,21.51757,102400
2012-11-08,23.129999,24.01,22.77,24.0,22.116558,12600
2012-11-09,23.690001,23.950001,22.5,23.85,21.978329,23000
2012-11-12,23.85,24.0,23.290001,23.940001,22.06127,23100
2012-11-13,24.08,24.1,23.84,23.969999,22.088915,27800
2012-11-14,23.49,23.65,22.77,22.870001,21.075237,64800
2012-11-15,22.280001,22.93,21.4,21.790001,20.079994,56800
2012-11-16,23.27,24.639999,23.1,23.370001,21.536003,91300
2012-11-19,23.639999,26.690001,23.639999,26.02,23.978037,110400
2012-11-20,26.27,28.629999,25.99,27.5,25.341892,101800
2012-11-21,27.6,28.0,27.08,27.639999,25.470903,32200
2012-11-23,27.629999,28.129999,26.969999,27.51,25.351107,20100
2012-11-26,27.120001,27.5,26.950001,26.98,24.862698,16900
2012-11-27,27.219999,27.219999,25.58,25.9,23.867456,28800
2012-11-28,25.58,26.049999,25.58,25.93,23.8951,56800
2012-11-29,26.35,26.83,25.51,25.860001,23.830593,22300
2012-11-30,25.68,25.700001,25.299999,25.6,23.590998,17800
2012-12-03,26.379999,27.27,25.719999,25.940001,23.904314,147500
2012-12-04,26.450001,26.450001,25.0,25.219999,23.240818,372900
2012-12-05,25.58,25.58,23.67,24.65,22.715548,191400
2012-12-06,24.290001,24.799999,24.1,24.4,22.48517,40000
2012-12-07,24.76,25.700001,24.459999,25.639999,23.627855,25200
2012-12-10,25.18,27.27,25.07,26.18,24.125483,62900
2012-12-11,26.040001,26.68,25.5,25.57,23.563349,36400
2012-12-12,25.719999,26.32,25.5,25.690001,23.673937,61100
2012-12-13,25.780001,26.27,24.879999,25.65,23.637072,33500
2012-12-14,25.73,25.9,25.27,25.790001,23.766085,12800
2012-12-17,25.68,25.68,24.52,24.799999,22.853777,85100
2012-12-18,24.74,25.959999,24.67,25.5,23.498846,66200
2012-12-19,25.33,25.99,24.799999,25.09,23.121021,112100
2012-12-20,24.969999,25.35,24.129999,24.25,22.346943,125000
2012-12-21,24.040001,24.33,23.120001,23.91,22.033621,594000
2012-12-24,23.780001,23.790001,23.299999,23.58,21.729517,29600
2012-12-26,23.67,23.799999,23.0,23.34,21.508352,41900
2012-12-27,23.4,24.98,23.129999,24.549999,22.623396,65000
2012-12-28,24.51,25.49,24.51,25.299999,23.314537,38600
2012-12-31,25.15,26.08,24.9,26.0,23.959606,103600
