Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,13.94,13.94,13.7,13.79,11.259291,60800
2012-02-07,13.73,13.92,13.58,13.75,11.22663,74400
2012-02-08,13.77,13.79,13.51,13.75,11.22663,98900
2012-02-09,13.81,13.81,13.59,13.66,11.153149,48100
2012-02-10,13.59,13.75,13.46,13.5,11.022511,47200
2012-02-13,13.64,13.83,13.47,13.82,11.283787,74600
2012-02-14,13.77,13.88,13.69,13.8,11.267454,82900
2012-02-15,13.82,13.88,13.26,13.28,10.842884,148100
2012-02-16,13.22,13.93,13.0,13.76,11.234798,380600
2012-02-17,13.84,13.99,13.63,13.89,11.340939,63500
2012-02-21,13.91,14.1,13.65,13.7,11.185805,70800
2012-02-22,13.76,13.97,13.38,13.86,11.316442,196300
2012-02-23,13.87,13.96,13.84,13.87,11.324609,107600
2012-02-24,13.89,13.89,13.65,13.86,11.316442,41500
2012-02-27,13.81,13.95,13.56,13.72,11.202137,78300
2012-02-28,13.69,13.74,13.39,13.4,10.940863,55700
2012-02-29,13.47,13.52,13.12,13.14,10.728577,63800
2012-03-01,13.23,13.5,13.23,13.28,10.842884,78000
2012-03-02,13.31,13.38,12.77,12.8,10.450974,88400
2012-03-05,12.74,13.08,12.67,12.92,10.548949,110900
2012-03-06,12.84,12.85,12.4,12.53,10.230523,95600
2012-03-07,12.61,12.83,12.5,12.79,10.442808,53700
2012-03-08,12.87,13.01,12.51,12.99,10.606104,63400
2012-03-09,12.97,13.38,12.95,13.27,10.834722,70400
2012-03-12,13.24,13.28,13.11,13.21,10.78573,24700
2012-03-13,13.32,13.83,13.12,13.79,11.259291,89200
2012-03-14,13.76,13.86,13.54,13.65,11.14498,52400
2012-03-15,13.69,13.97,13.63,13.93,11.373597,81900
2012-03-16,13.89,13.91,13.54,13.67,11.161312,112100
2012-03-19,13.66,13.89,13.6,13.87,11.324609,66000
2012-03-20,13.79,13.87,13.58,13.59,11.095992,66900
2012-03-21,13.67,13.69,13.51,13.58,11.08783,86000
2012-03-22,13.46,13.74,13.46,13.64,11.136817,43900
2012-03-23,13.67,13.95,13.67,13.77,11.24296,631100
2012-03-26,13.93,13.95,13.58,13.81,11.275618,123700
2012-03-27,13.78,13.84,13.34,13.35,10.900037,582100
2012-03-28,13.39,13.86,13.39,13.8,11.267454,360200
2012-03-29,13.72,13.84,13.72,13.79,11.259291,124400
2012-03-30,13.88,14.27,13.72,14.21,11.602211,204600
2012-04-02,14.16,14.78,14.12,14.71,12.010453,185200
2012-04-03,14.71,14.9,14.48,14.54,11.871653,181600
2012-04-04,14.37,14.43,14.06,14.39,11.749179,118200
2012-04-05,14.31,14.57,14.27,14.42,11.773673,134700
2012-04-09,14.38,14.58,14.24,14.44,11.790003,168900
2012-04-10,14.42,14.55,14.29,14.34,11.708356,179400
2012-04-11,14.48,14.58,14.29,14.51,11.847158,69000
2012-04-12,14.49,14.98,14.49,14.84,12.116593,96300
2012-04-13,14.77,15.26,14.7,15.2,12.410529,124000
2012-04-16,15.29,15.95,14.95,15.74,12.851429,208800
2012-04-17,15.87,16.280001,15.85,16.02,13.080042,241800
2012-04-18,15.9,16.01,15.5,15.63,12.76162,121500
2012-04-19,15.67,15.78,15.32,15.45,12.614649,132100
2012-04-20,15.61,15.79,15.5,15.73,12.843264,141300
2012-04-23,15.64,15.7,15.2,15.37,12.549333,136800
2012-04-24,15.37,15.91,15.27,15.74,12.851429,172400
2012-04-25,15.9,15.98,15.59,15.74,12.851429,84200
2012-04-26,15.4,15.4,14.59,14.9,12.165585,373400
2012-04-27,14.99,15.18,14.59,15.02,12.263562,191100
2012-04-30,15.02,15.02,14.67,14.72,12.01862,182000
2012-05-01,14.71,15.21,14.5,14.51,11.847158,207400
2012-05-02,14.43,15.24,14.32,15.17,12.386035,113000
2012-05-03,15.16,15.38,14.94,15.05,12.288059,610300
2012-05-04,14.97,15.07,14.66,15.0,12.247232,166000
2012-05-07,14.9,14.93,14.45,14.5,11.838991,120000
2012-05-08,14.42,14.76,14.38,14.72,12.01862,117500
2012-05-09,14.55,14.77,14.48,14.67,11.977795,96000
2012-05-10,14.7,14.79,14.45,14.71,12.010453,80900
2012-05-11,14.7,14.84,14.45,14.63,11.945136,90000
2012-05-14,14.37,14.54,14.22,14.34,11.708356,119300
2012-05-15,14.25,14.25,13.72,13.9,11.349103,205000
2012-05-16,13.96,14.13,13.82,14.02,11.447082,82800
2012-05-17,13.98,13.98,13.65,13.67,11.161312,105000
2012-05-18,13.75,13.87,13.5,13.74,11.218464,148500
2012-05-21,13.79,13.96,13.6,13.8,11.267454,102100
2012-05-22,13.83,13.83,13.19,13.31,10.867378,133000
2012-05-23,13.24,13.38,12.98,13.3,10.859212,117000
2012-05-24,13.32,13.4,13.1,13.25,10.818389,95900
2012-05-25,13.28,13.53,13.24,13.46,10.989851,85900
2012-05-29,13.53,13.76,13.46,13.76,11.234798,66300
2012-05-30,13.65,13.84,13.62,13.74,11.218464,88000
2012-05-31,13.75,13.91,13.44,13.83,11.291947,140000
2012-06-01,13.58,13.75,13.34,13.37,10.916367,81900
2012-06-04,13.41,13.55,13.25,13.37,10.916367,65200
2012-06-05,13.28,13.62,13.28,13.55,11.063334,56500
2012-06-06,13.66,13.96,13.66,13.94,11.381761,57000
2012-06-07,13.97,14.05,13.89,13.99,11.422585,101100
2012-06-08,13.97,14.15,13.85,14.14,11.54506,68800
2012-06-11,14.3,14.3,13.86,13.91,11.357265,85800
2012-06-12,13.94,14.15,13.77,14.02,11.447082,49800
2012-06-13,14.04,14.2,13.93,14.13,11.536895,95200
2012-06-14,14.15,14.74,14.15,14.71,12.010453,93400
2012-06-15,14.71,14.9,14.6,14.8,12.083939,122800
2012-06-18,14.67,14.97,14.64,14.88,12.149256,72600
2012-06-19,14.96,15.44,14.86,15.06,12.296221,165200
2012-06-20,15.01,15.18,14.71,14.78,12.067607,40700
2012-06-21,14.8,14.92,14.34,14.46,11.806332,72600
2012-06-22,14.56,14.86,14.49,14.71,12.010453,118300
2012-06-25,14.5,14.66,14.42,14.58,11.904309,52200
2012-06-26,14.69,15.1,14.52,15.03,12.271728,84800
2012-06-27,15.12,15.3,14.87,14.98,12.230904,42300
2012-06-28,14.83,14.83,14.38,14.72,12.01862,63100
2012-06-29,15.02,15.37,14.93,15.35,12.533002,67300
2012-07-02,15.26,15.62,14.93,15.59,12.728957,103500
2012-07-03,15.52,15.93,15.52,15.86,12.949407,36100
2012-07-05,15.85,16.1,15.52,15.62,12.753454,88300
2012-07-06,15.44,15.66,15.27,15.29,12.484013,50100
2012-07-09,15.25,15.35,15.03,15.28,12.475848,92800
2012-07-10,15.4,15.46,15.17,15.35,12.533002,45100
2012-07-11,15.31,15.31,15.02,15.13,12.353375,49600
2012-07-12,15.03,15.1,14.92,14.97,12.222739,278700
2012-07-13,15.06,15.12,14.97,15.0,12.247232,78300
2012-07-16,14.92,15.04,14.86,14.94,12.198244,90200
2012-07-17,15.0,15.03,14.67,14.9,12.165585,84700
2012-07-18,14.92,15.11,14.69,14.83,12.108432,59900
2012-07-19,14.86,14.91,14.4,14.72,12.01862,88600
2012-07-20,14.59,14.63,14.13,14.23,11.618541,81400
2012-07-23,13.99,13.99,13.73,13.75,11.22663,37300
2012-07-24,13.73,13.88,13.29,13.5,11.022511,156500
2012-07-25,13.6,13.64,13.19,13.27,10.834722,87800
2012-07-26,15.85,15.98,14.94,15.4,12.573825,835400
2012-07-27,15.42,16.82,15.42,16.389999,13.382143,424300
2012-07-30,16.360001,16.879999,16.360001,16.530001,13.496453,242100
2012-07-31,16.530001,17.190001,16.389999,17.07,13.937352,270500
2012-08-01,17.0,17.389999,16.870001,16.879999,13.782219,188300
2012-08-02,16.799999,17.309999,16.620001,17.030001,13.904694,114600
2012-08-03,17.299999,17.68,17.27,17.540001,14.321099,156200
2012-08-06,17.610001,18.07,17.57,17.959999,14.664021,151700
2012-08-07,18.030001,18.65,18.01,18.290001,14.93346,145300
2012-08-08,18.190001,18.84,17.84,18.25,14.900799,98900
2012-08-09,18.290001,18.4,18.030001,18.08,14.762003,166000
2012-08-10,17.969999,18.139999,17.9,18.110001,14.786496,107800
2012-08-13,18.030001,18.139999,18.0,18.139999,14.810986,473800
2012-08-14,18.200001,18.299999,17.92,18.059999,14.745669,175000
2012-08-15,18.030001,18.18,17.809999,18.0,14.69668,155000
2012-08-16,18.02,18.34,17.870001,18.190001,14.851814,196500
2012-08-17,18.5,18.629999,18.280001,18.4,15.023271,168800
2012-08-20,18.450001,18.5,18.299999,18.440001,15.05593,197700
2012-08-21,18.5,18.84,18.34,18.469999,15.080425,167100
2012-08-22,18.48,19.49,18.48,19.23,15.700953,182500
2012-08-23,19.18,19.34,18.93,18.950001,15.472341,164700
2012-08-24,18.950001,19.65,18.93,19.07,15.570315,363900
2012-08-27,19.18,19.51,19.07,19.32,15.774434,288300
2012-08-28,19.370001,19.57,19.200001,19.549999,15.962228,151400
2012-08-29,19.639999,19.82,19.48,19.809999,16.174513,236000
2012-08-30,19.67,19.75,19.559999,19.6,16.003048,91200
2012-08-31,19.77,19.860001,19.48,19.77,16.14185,173300
2012-09-04,19.809999,20.219999,19.76,20.02,16.345972,213900
2012-09-05,20.120001,20.18,19.84,19.959999,16.29698,177500
2012-09-06,20.08,20.27,19.98,20.190001,16.484774,199200
2012-09-07,20.309999,20.33,20.120001,20.25,16.533768,123600
2012-09-10,20.24,20.549999,20.02,20.17,16.468449,179700
2012-09-11,20.24,20.52,20.24,20.4,16.656237,149200
2012-09-12,20.5,20.530001,20.209999,20.450001,16.697058,88600
2012-09-13,20.440001,20.559999,20.24,20.469999,16.71339,125000
2012-09-14,20.540001,20.780001,20.34,20.51,16.74605,110600
2012-09-17,20.49,20.530001,20.200001,20.35,16.615412,55900
2012-09-18,20.370001,20.43,20.030001,20.209999,16.501102,116500
2012-09-19,20.25,20.709999,20.25,20.610001,16.827702,160800
2012-09-20,20.57,20.75,20.389999,20.629999,16.844025,102700
2012-09-21,20.809999,20.860001,20.18,20.25,16.533768,331100
2012-09-24,20.139999,20.549999,19.860001,20.379999,16.639908,113700
2012-09-25,20.469999,20.65,20.01,20.139999,16.443956,97800
2012-09-26,20.219999,20.530001,20.1,20.33,16.599083,92700
2012-09-27,20.389999,20.65,20.120001,20.58,16.803205,86900
2012-09-28,20.450001,20.52,20.129999,20.139999,16.443956,84400
2012-10-01,20.34,20.629999,20.17,20.35,16.615412,92100
2012-10-02,20.459999,20.459999,20.02,20.35,16.615412,79300
2012-10-03,20.35,20.91,20.280001,20.639999,16.852192,152800
2012-10-04,20.74,20.76,20.360001,20.700001,16.901184,112200
2012-10-05,20.75,20.969999,20.66,20.860001,17.03182,146900
2012-10-08,21.139999,21.459999,21.059999,21.35,17.431896,203300
2012-10-09,21.4,21.66,21.030001,21.059999,17.195118,95900
2012-10-10,21.15,21.299999,21.07,21.15,17.2686,133900
2012-10-11,21.299999,21.43,21.17,21.299999,17.391071,92200
2012-10-12,21.35,21.41,21.0,21.0,17.146128,87700
2012-10-15,21.1,21.25,21.0,21.23,17.33392,72700
2012-10-16,21.42,21.75,21.24,21.700001,17.717665,205000
2012-10-17,21.790001,22.219999,21.75,22.110001,18.052425,173600
2012-10-18,22.129999,22.280001,21.360001,21.389999,17.464556,90800
2012-10-19,21.27,21.290001,20.59,20.719999,16.917515,115200
2012-10-22,20.719999,20.780001,20.35,20.58,16.803205,114300
2012-10-23,20.360001,20.58,19.879999,20.32,16.590916,134600
2012-10-24,20.379999,20.450001,20.1,20.27,16.550097,197900
2012-10-25,22.24,22.93,21.49,21.780001,17.782986,1748600
2012-10-26,21.690001,21.9,20.450001,20.67,16.876688,286000
2012-10-31,20.790001,23.59,20.719999,23.32,19.040363,542400
2012-11-01,23.450001,26.139999,23.299999,23.43,19.130175,431300
2012-11-02,23.440001,24.01,23.370001,23.5,19.187332,308600
2012-11-05,23.58,24.290001,23.5,23.82,19.448603,364700
2012-11-06,24.0,24.66,23.870001,24.52,20.02014,374400
2012-11-07,24.5,24.809999,24.299999,24.309999,19.848682,308800
2012-11-08,24.33,25.0,24.209999,24.219999,19.775204,228200
2012-11-09,24.07,24.49,23.969999,24.26,19.807854,260700
2012-11-12,24.24,24.75,24.129999,24.49,19.995649,175000
2012-11-13,24.440001,24.75,24.25,24.530001,20.028313,176100
2012-11-14,24.66,24.860001,24.32,24.33,19.865013,212300
2012-11-15,24.299999,24.58,23.59,24.040001,19.628235,219800
2012-11-16,23.93,24.41,23.58,24.110001,19.685387,169000
2012-11-19,24.6,25.370001,24.379999,25.26,20.624344,312600
2012-11-20,25.27,26.43,25.0,25.860001,21.114231,383600
2012-11-21,25.860001,26.08,25.26,25.620001,20.918276,91900
2012-11-23,25.639999,26.190001,25.58,26.16,21.359175,57300
2012-11-26,26.43,26.469999,25.629999,26.01,21.236704,193100
2012-11-27,25.99,26.969999,25.780001,26.52,21.653107,302600
2012-11-28,26.5,26.790001,25.85,26.35,21.514311,304000
2012-11-29,26.6,27.75,26.530001,27.57,22.51041,398800
2012-11-30,27.639999,27.65,26.889999,27.299999,22.289961,260900
2012-12-03,27.34,27.74,27.25,27.540001,22.48592,167800
2012-12-04,27.969999,27.969999,27.41,27.790001,22.690044,251900
2012-12-05,28.0,28.01,27.49,27.610001,22.543077,167500
2012-12-06,27.59,27.77,27.24,27.73,22.641052,202000
2012-12-07,28.0,28.0,27.610001,27.860001,22.747194,185500
2012-12-10,27.860001,27.940001,27.610001,27.780001,22.681877,150300
2012-12-11,28.110001,28.35,27.4,27.58,22.518581,150700
2012-12-12,27.57,27.6,26.75,26.91,22.051491,160600
2012-12-13,26.950001,27.120001,26.530001,26.780001,21.944963,167700
2012-12-14,26.780001,26.9,26.58,26.879999,22.026903,112300
2012-12-17,26.389999,27.0,26.34,26.6,21.797459,233500
2012-12-18,26.6,26.77,26.280001,26.67,21.854822,240400
2012-12-19,26.67,26.68,26.299999,26.299999,21.551622,139900
2012-12-20,26.299999,26.33,25.75,26.120001,21.404123,190600
2012-12-21,25.959999,26.190001,25.43,25.48,20.879675,343200
2012-12-24,25.51,26.030001,25.27,25.700001,21.059948,77200
2012-12-26,25.73,25.73,25.209999,25.299999,20.73217,74800
2012-12-27,25.26,25.549999,24.75,25.040001,20.519114,124800
2012-12-28,24.91,25.34,24.610001,25.139999,20.601068,149500
2012-12-31,25.17,26.07,25.110001,26.0,21.305788,276100
2013-01-02,26.790001,27.92,26.610001,27.91,22.870947,364500
2013-01-03,27.940001,28.290001,27.6,27.99,22.936502,315700
2013-01-04,28.120001,28.120001,27.450001,27.559999,22.584137,192000
2013-01-07,27.5,27.75,26.360001,26.73,21.903994,339600
2013-01-08,26.84,27.92,26.77,27.870001,22.838171,392700
2013-01-09,28.0,28.469999,27.42,27.59,22.608723,243100
2013-01-10,27.719999,27.99,27.15,27.299999,22.371078,206200
2013-01-11,27.35,27.49,26.450001,26.559999,21.764677,301400
2013-01-14,26.559999,27.469999,26.389999,26.85,22.002327,328800
2013-01-15,26.74,26.92,26.610001,26.790001,21.953156,130000
2013-01-16,26.709999,27.27,26.5,26.629999,21.822046,179100
2013-01-17,26.6,27.290001,26.51,27.049999,22.16621,381200
2013-01-18,27.1,27.809999,27.0,27.73,22.723446,333100
2013-01-22,27.84,28.280001,27.75,28.219999,23.124973,274700
2013-01-23,28.290001,29.73,28.129999,29.690001,24.329575,636800
