Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,25.5,25.57,25.200001,25.209999,15.363378,103600
2012-02-07,25.209999,25.299999,24.559999,24.6,14.991638,159400
2012-02-08,24.59,24.620001,23.33,23.629999,14.400504,343200
2012-02-09,23.629999,24.030001,23.27,24.0,14.625987,211200
2012-02-10,23.99,24.25,23.700001,24.040001,14.650364,86600
2012-02-13,24.120001,24.52,23.860001,24.440001,14.894132,132600
2012-02-14,24.5,24.73,24.309999,24.73,15.070863,97600
2012-02-15,24.98,24.99,24.75,24.75,15.083048,98400
2012-02-16,24.85,25.110001,24.77,24.98,15.223215,101100
2012-02-17,25.030001,25.24,24.790001,24.92,15.18665,109700
2012-02-21,25.18,25.18,24.799999,24.82,15.125707,91100
2012-02-22,24.82,24.950001,24.629999,24.870001,15.156179,68200
2012-02-23,24.92,24.950001,24.75,24.84,15.137898,94300
2012-02-24,24.85,25.0,24.85,24.93,15.192744,46000
2012-02-27,24.790001,24.9,24.709999,24.83,15.1318,70100
2012-02-28,24.870001,24.9,24.610001,24.65,15.022107,66900
2012-02-29,24.610001,24.92,24.440001,24.75,15.083048,100900
2012-03-01,24.059999,24.75,24.02,24.219999,14.760059,202000
2012-03-02,24.15,24.4,24.0,24.02,14.638177,79000
2012-03-05,23.540001,24.26,23.540001,24.15,14.7174,55500
2012-03-06,24.030001,24.27,24.01,24.129999,14.705212,77500
2012-03-07,24.18,24.309999,24.049999,24.120001,14.699119,67300
2012-03-08,24.209999,24.48,24.120001,24.43,14.888038,66100
2012-03-09,24.57,24.809999,24.530001,24.76,15.089145,62300
2012-03-12,24.77,24.98,24.77,24.889999,15.168368,59000
2012-03-13,24.969999,25.219999,24.809999,24.99,15.229311,75500
2012-03-14,24.93,25.059999,24.83,24.85,15.143992,46500
2012-03-15,24.780001,25.01,24.43,24.51,14.93679,62100
2012-03-16,24.549999,25.110001,24.549999,25.0,15.235405,72600
2012-03-19,25.0,25.33,24.82,25.129999,15.314629,81200
2012-03-20,25.120001,25.42,25.0,25.139999,15.320724,63800
2012-03-21,25.23,25.49,25.139999,25.280001,15.406041,61900
2012-03-22,25.32,25.459999,24.85,25.030001,15.253686,50500
2012-03-23,25.01,25.07,24.799999,24.93,15.192744,72000
2012-03-26,25.049999,25.049999,24.85,25.040001,15.259778,79800
2012-03-27,25.040001,25.040001,24.809999,24.85,15.143992,49700
2012-03-28,24.77,24.84,24.42,24.49,14.924602,80400
2012-03-29,24.5,24.5,24.32,24.4,14.86975,51100
2012-03-30,24.440001,24.49,24.32,24.360001,14.84538,51100
2012-04-02,24.25,24.43,24.15,24.200001,14.747871,94200
2012-04-03,24.139999,24.25,24.120001,24.200001,14.747871,57700
2012-04-04,24.049999,24.48,24.049999,24.43,14.888038,80600
2012-04-05,24.43,24.440001,24.34,24.360001,14.84538,57700
2012-04-09,24.219999,24.52,24.219999,24.5,14.9307,133500
2012-04-10,24.459999,24.559999,24.049999,24.290001,14.802721,134900
2012-04-11,24.299999,24.42,24.25,24.309999,14.814909,90300
2012-04-12,24.280001,24.34,24.139999,24.17,14.72959,70800
2012-04-13,24.120001,24.299999,24.1,24.1,14.686931,91400
2012-04-16,24.26,24.549999,24.1,24.549999,14.961169,55400
2012-04-17,24.74,24.84,24.540001,24.709999,15.058675,109800
2012-04-18,24.719999,24.84,24.66,24.75,15.083048,62900
2012-04-19,24.9,25.0,24.73,24.91,15.180555,80000
2012-04-20,24.99,25.049999,24.91,25.0,15.235405,98000
2012-04-23,25.049999,25.16,24.950001,25.059999,15.271967,69500
2012-04-24,25.200001,25.4,25.17,25.34,15.442605,64900
2012-04-25,25.41,26.0,25.370001,25.85,15.753407,160500
2012-04-26,25.93,26.26,25.76,26.1,15.905764,97700
2012-04-27,26.190001,26.49,26.08,26.450001,16.119059,200300
2012-04-30,26.51,26.66,26.370001,26.42,16.100773,146000
2012-05-01,26.4,26.66,26.139999,26.15,15.936233,107400
2012-05-02,25.559999,25.58,25.09,25.27,15.752342,101000
2012-05-03,25.43,26.700001,25.32,26.24,16.357,136800
2012-05-04,26.23,26.43,25.959999,26.0,16.207397,76100
2012-05-07,25.77,25.77,23.91,24.92,15.534163,467000
2012-05-08,24.860001,25.059999,24.379999,24.780001,15.446893,111900
2012-05-09,24.799999,24.98,24.74,24.9,15.521701,61000
2012-05-10,24.940001,25.77,24.940001,25.209999,15.714936,120900
2012-05-11,25.25,25.450001,25.139999,25.389999,15.827146,48000
2012-05-14,25.459999,25.51,25.26,25.4,15.833377,67200
2012-05-15,25.5,26.24,25.5,25.91,16.151289,135000
2012-05-16,25.860001,26.16,25.4,25.52,15.908182,76300
2012-05-17,25.469999,25.51,25.01,25.1,15.646371,71600
2012-05-18,25.129999,25.129999,24.5,24.639999,15.359622,68200
2012-05-21,25.190001,25.43,24.620001,25.040001,15.608966,50800
2012-05-22,25.110001,25.219999,25.02,25.15,15.677535,47100
2012-05-23,25.120001,25.15,24.85,25.0,15.584035,39000
2012-05-24,25.030001,25.280001,24.9,25.0,15.584035,37900
2012-05-25,24.98,25.18,24.9,24.969999,15.565331,40500
2012-05-29,25.92,25.92,24.92,24.969999,15.565331,40800
2012-05-30,24.9,25.450001,24.75,25.209999,15.714936,74900
2012-05-31,25.190001,25.219999,24.809999,25.1,15.646371,40800
2012-06-01,24.51,24.719999,24.5,24.639999,15.359622,71300
2012-06-04,24.629999,24.629999,24.139999,24.26,15.122746,64300
2012-06-05,24.219999,24.68,24.219999,24.540001,15.297288,71900
2012-06-06,24.66,24.719999,24.49,24.6,15.33469,47600
2012-06-07,24.639999,24.82,24.51,24.549999,15.303525,43300
2012-06-08,24.639999,24.950001,24.58,24.73,15.415728,26800
2012-06-11,25.25,25.25,24.83,24.950001,15.552866,67000
2012-06-12,24.84,25.200001,24.780001,25.18,15.696239,29900
2012-06-13,25.15,25.389999,25.110001,25.190001,15.702475,50000
2012-06-14,25.25,25.52,25.17,25.469999,15.877015,35200
2012-06-15,25.469999,25.74,25.35,25.709999,16.026619,38100
2012-06-18,25.709999,25.98,25.620001,25.799999,16.082722,45200
2012-06-19,25.799999,26.110001,25.799999,26.049999,16.238562,46400
2012-06-20,26.139999,26.139999,25.9,26.02,16.21986,66900
2012-06-21,25.91,26.01,25.549999,25.559999,15.933115,51500
2012-06-22,25.66,25.93,25.6,25.889999,16.138823,42200
2012-06-25,25.92,25.92,25.75,25.799999,16.082722,15300
2012-06-26,26.0,26.0,25.83,25.91,16.151289,29100
2012-06-27,25.9,25.950001,25.77,25.799999,16.082722,23600
2012-06-28,25.75,25.84,25.66,25.790001,16.07649,16700
2012-06-29,26.02,26.02,25.84,25.92,16.157526,35200
2012-07-02,25.98,26.07,25.85,26.0,16.207397,44100
2012-07-03,26.07,26.09,25.98,26.08,16.257267,22700
2012-07-05,26.129999,26.24,26.110001,26.24,16.357,47100
2012-07-06,26.18,26.6,26.18,26.35,16.42557,91100
2012-07-09,26.49,27.0,26.41,26.9,16.768419,93800
2012-07-10,26.9,27.1,26.549999,26.709999,16.649984,55000
2012-07-11,26.700001,26.99,26.540001,26.620001,16.59388,91300
2012-07-12,26.57,27.059999,26.57,26.85,16.737253,79100
2012-07-13,26.889999,27.1,26.610001,26.65,16.612577,62200
2012-07-16,26.879999,27.620001,26.690001,27.42,17.092567,173900
2012-07-17,27.5,27.870001,27.5,27.780001,17.316977,86600
2012-07-18,27.790001,28.26,27.73,28.049999,17.485281,85700
2012-07-19,28.200001,28.68,27.0,27.35,17.048933,153800
2012-07-20,27.440001,28.190001,27.26,27.83,17.34815,108600
2012-07-23,27.74,27.99,27.35,27.4,17.080099,94900
2012-07-24,27.43,27.48,24.66,25.940001,16.169992,356500
2012-07-25,26.0,26.74,26.0,26.33,16.413105,154900
2012-07-26,26.41,26.77,25.440001,25.540001,15.92065,223000
2012-07-27,24.67,24.82,20.629999,23.940001,14.923273,1539600
2012-07-30,24.049999,24.299999,23.0,23.950001,14.929505,432000
2012-07-31,24.16,25.959999,24.16,25.41,15.839611,321800
2012-08-01,25.540001,25.84,24.889999,25.139999,15.671306,206000
2012-08-02,24.41,25.1,23.110001,23.360001,14.908641,316500
2012-08-03,23.66,24.5,23.52,24.33,15.527708,146500
2012-08-06,24.440001,24.74,23.799999,23.85,15.221363,107400
2012-08-07,23.25,23.940001,22.82,23.15,14.774613,304400
2012-08-08,23.15,23.200001,22.4,23.07,14.723557,197200
2012-08-09,23.059999,23.75,23.040001,23.459999,14.972461,105600
2012-08-10,23.43,24.0,23.309999,23.629999,15.080958,96500
2012-08-13,23.549999,23.549999,22.5,22.99,14.672504,254500
2012-08-14,23.09,23.34,22.809999,23.15,14.774613,189300
2012-08-15,23.24,23.27,22.790001,22.889999,14.608682,183400
2012-08-16,22.92,23.18,22.82,23.15,14.774613,114300
2012-08-17,23.18,23.549999,23.129999,23.450001,14.966077,84900
2012-08-20,23.440001,23.540001,23.049999,23.110001,14.749085,97100
2012-08-21,23.26,23.27,22.5,22.620001,14.436363,159100
2012-08-22,22.75,22.879999,22.559999,22.66,14.461897,82500
2012-08-23,22.65,22.67,22.5,22.549999,14.391688,83000
2012-08-24,22.549999,22.700001,22.35,22.41,14.30234,92700
2012-08-27,22.42,22.83,22.41,22.83,14.570388,60100
2012-08-28,22.799999,23.299999,22.790001,23.25,14.838437,84500
2012-08-29,23.48,23.48,22.91,23.01,14.685268,80900
2012-08-30,22.99,23.200001,22.98,23.1,14.742706,34600
2012-08-31,23.389999,23.98,23.18,23.940001,15.278807,106300
2012-09-04,23.99,24.02,23.51,23.76,15.163927,80800
2012-09-05,23.950001,23.950001,23.02,23.030001,14.698029,67000
2012-09-06,23.049999,23.58,23.049999,23.379999,14.921404,69100
2012-09-07,23.450001,23.450001,23.059999,23.17,14.787379,70300
2012-09-10,23.25,23.540001,23.25,23.35,14.902256,72600
2012-09-11,23.370001,23.559999,23.309999,23.52,15.010756,68100
