Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,14.9,15.14,14.81,15.14,12.767975,950600
2012-02-07,15.03,15.78,14.83,15.59,13.147472,1436200
2012-02-08,15.58,16.0,15.58,15.65,13.198071,1116500
2012-02-09,15.74,15.74,15.15,15.26,12.869173,844900
2012-02-10,15.11,15.11,14.7,15.1,12.734242,650600
2012-02-13,15.17,15.2,14.72,14.88,12.54871,611100
2012-02-14,14.84,14.89,14.56,14.74,12.430643,438500
2012-02-15,14.79,14.82,14.05,14.28,12.042712,726300
2012-02-16,14.23,14.86,14.07,14.66,12.363177,568000
2012-02-17,14.73,14.73,14.37,14.45,12.186078,394900
2012-02-21,14.52,14.52,14.07,14.34,12.093312,504400
2012-02-22,14.34,14.47,13.96,13.97,11.781281,792900
2012-02-23,14.04,14.54,13.93,14.39,12.135478,684300
2012-02-24,14.36,14.53,14.14,14.43,12.169211,363700
2012-02-27,14.31,14.65,14.0,14.43,12.169211,431100
2012-02-28,14.49,14.75,14.45,14.59,12.304145,797600
2012-02-29,14.57,14.85,14.12,14.33,12.08488,879400
2012-03-01,14.39,14.75,14.36,14.69,12.388476,730800
2012-03-02,14.65,14.77,14.12,14.17,11.949946,819400
2012-03-05,14.1,14.24,13.78,13.85,11.680083,710600
2012-03-06,13.68,13.68,13.25,13.34,11.249983,1225800
2012-03-07,13.39,13.88,13.3,13.81,11.64635,701400
2012-03-08,13.93,13.98,13.68,13.89,11.713815,438300
2012-03-09,13.87,14.4,13.83,14.29,12.051147,667100
2012-03-12,14.32,14.74,14.13,14.35,12.101748,914000
2012-03-13,14.41,14.55,14.15,14.54,12.261976,721900
2012-03-14,14.49,14.58,14.24,14.4,12.143911,655100
2012-03-15,14.38,14.41,13.89,13.98,11.789716,916500
2012-03-16,13.98,14.15,13.8,13.88,11.705381,4462900
2012-03-19,14.39,15.13,14.39,14.55,12.270411,1851100
2012-03-20,14.56,14.67,14.16,14.4,12.143911,818100
2012-03-21,14.51,14.59,14.19,14.34,12.093312,472000
2012-03-22,14.2,14.2,13.74,14.01,11.815014,619800
2012-03-23,13.96,14.29,13.67,14.11,11.899346,807500
2012-03-26,14.23,14.42,14.08,14.32,12.076446,580000
2012-03-27,14.32,14.63,14.21,14.24,12.008978,422800
2012-03-28,14.21,14.21,13.74,13.9,11.722249,646600
2012-03-29,13.75,14.32,13.65,14.26,12.025845,568000
2012-03-30,14.41,14.48,13.98,14.21,11.983681,372300
2012-04-02,14.17,14.78,14.05,14.5,12.228244,960700
2012-04-03,14.45,14.83,14.28,14.4,12.143911,595600
2012-04-04,14.2,14.35,13.87,14.0,11.806581,430700
2012-04-05,13.1,14.89,13.1,14.55,12.270411,656600
2012-04-09,14.27,14.55,14.11,14.33,12.08488,549300
2012-04-10,14.26,14.46,13.81,14.0,11.806581,745100
