Date,Open,High,Low,Close,Adj Close,Volume
2014-01-08,9.4,10.34,9.4,9.42,9.257261,3200
2014-01-09,10.49,10.49,10.49,10.49,10.308776,100
2014-01-10,10.47,10.47,9.5,9.6,9.434152,10300
2014-01-13,9.4,9.7,9.4,9.7,9.532423,1100
2014-01-14,10.37,10.37,9.7,9.7,9.532423,2400
2014-01-15,9.7,9.7,9.7,9.7,9.532423,0
2014-01-16,9.56,9.63,9.56,9.6,9.434152,400
2014-01-17,9.64,9.64,9.4,9.4,9.237607,1700
2014-01-21,9.68,9.88,9.52,9.75,9.58156,5700
2014-01-22,9.7,9.7,9.52,9.65,9.483287,3500
2014-01-23,9.65,9.65,9.65,9.65,9.483287,0
2014-01-24,9.57,9.7,9.55,9.58,9.414496,15800
2014-01-27,9.75,9.75,9.5,9.6,9.434152,11600
2014-01-28,9.58,9.72,9.58,9.67,9.502942,9100
2014-01-29,9.66,9.7,9.6,9.6,9.434152,4500
2014-01-30,9.6,9.6,9.6,9.6,9.434152,0
2014-01-31,9.7,9.7,9.61,9.61,9.443977,1400
2014-02-03,9.65,9.7,9.63,9.65,9.483287,483900
2014-02-04,9.8,9.8,9.6,9.68,9.51277,27200
2014-02-05,9.82,9.82,9.65,9.65,9.483287,6900
2014-02-06,9.65,9.67,9.65,9.65,9.483287,700
2014-02-07,9.6,9.6,9.6,9.6,9.434152,2200
2014-02-10,9.65,9.65,9.65,9.65,9.483287,100
2014-02-11,9.65,9.65,9.65,9.65,9.483287,0
2014-02-12,9.71,9.74,9.67,9.69,9.522596,32300
2014-02-13,9.69,9.72,9.61,9.7,9.532423,25700
2014-02-14,9.8,9.8,9.8,9.8,9.630695,300
2014-02-18,9.81,9.82,9.62,9.73,9.561904,65600
2014-02-19,9.79,9.79,9.65,9.7,9.532423,110800
2014-02-20,9.68,9.82,9.63,9.63,9.463633,95600
2014-02-21,9.68,9.73,9.62,9.67,9.502942,61000
2014-02-24,9.63,9.69,9.63,9.67,9.502942,8000
2014-02-25,9.64,9.71,9.64,9.7,9.532423,13100
2014-02-26,9.7,9.7,9.61,9.63,9.463633,8200
2014-02-27,9.65,9.65,9.65,9.65,9.483287,700
2014-02-28,9.65,9.65,9.65,9.65,9.483287,0
2014-03-03,9.65,9.65,9.65,9.65,9.483287,0
2014-03-04,9.71,9.81,9.65,9.65,9.483287,9200
2014-03-05,9.65,9.65,9.65,9.65,9.483287,0
2014-03-06,9.65,9.65,9.65,9.65,9.483287,0
2014-03-07,9.64,9.64,9.64,9.64,9.473461,2000
2014-03-10,9.71,9.71,9.67,9.67,9.502942,1000
2014-03-11,9.69,9.69,9.69,9.69,9.522596,2500
2014-03-12,9.69,9.69,9.69,9.69,9.522596,0
2014-03-13,9.64,9.72,9.64,9.67,9.502942,6700
2014-03-14,9.64,9.64,9.64,9.64,9.473461,300
2014-03-17,9.64,9.64,9.64,9.64,9.473461,0
2014-03-18,9.64,9.72,9.64,9.68,9.51277,700
2014-03-19,9.65,9.65,9.64,9.64,9.473461,2000
2014-03-20,9.71,9.71,9.64,9.64,9.473461,200
2014-03-21,9.64,9.64,9.64,9.64,9.473461,0
2014-03-24,9.64,9.64,9.64,9.64,9.473461,0
2014-03-25,9.64,9.65,9.64,9.64,9.473461,4000
2014-03-26,9.64,9.64,9.64,9.64,9.473461,9000
2014-03-27,9.64,9.64,9.64,9.64,9.473461,4000
2014-03-28,9.66,9.75,9.64,9.64,9.473461,59600
2014-03-31,9.67,9.83,9.65,9.69,9.522596,9200
2014-04-01,9.68,9.69,9.68,9.69,9.522596,5200
2014-04-02,9.69,9.69,9.69,9.69,9.522596,0
2014-04-03,9.69,9.69,9.69,9.69,9.522596,0
2014-04-04,9.7,9.75,9.65,9.65,9.483287,48700
2014-04-07,9.66,9.69,9.64,9.69,9.522596,2000
2014-04-08,9.69,9.69,9.69,9.69,9.522596,0
2014-04-09,9.62,9.62,9.62,9.62,9.453805,1500
2014-04-10,9.64,9.64,9.64,9.64,9.473461,300
2014-04-11,9.67,9.7,9.65,9.65,9.483287,61700
2014-04-14,9.67,9.69,9.64,9.64,9.473461,10100
2014-04-15,9.64,9.64,9.64,9.64,9.473461,600
2014-04-16,9.64,9.64,9.64,9.64,9.473461,0
2014-04-17,9.69,9.74,9.69,9.74,9.571733,2700
2014-04-21,9.74,9.74,9.74,9.74,9.571733,0
2014-04-22,9.65,9.65,9.64,9.64,9.473461,1700
2014-04-23,9.64,9.64,9.64,9.64,9.473461,0
2014-04-24,9.64,9.64,9.64,9.64,9.473461,0
2014-04-25,9.7,9.72,9.7,9.72,9.552079,800
2014-04-28,9.72,9.72,9.72,9.72,9.552079,0
2014-04-29,9.65,9.69,9.65,9.68,9.51277,1500
2014-04-30,9.68,9.68,9.68,9.68,9.51277,1200
2014-05-01,9.68,9.68,9.68,9.68,9.51277,0
2014-05-02,9.68,9.73,9.65,9.65,9.483287,145700
2014-05-05,9.65,9.65,9.65,9.65,9.483287,0
2014-05-06,9.65,9.7,9.64,9.68,9.51277,14400
2014-05-07,9.68,9.68,9.68,9.68,9.51277,0
2014-05-08,9.65,9.72,9.65,9.72,9.552079,2500
2014-05-09,9.72,9.72,9.72,9.72,9.552079,0
2014-05-12,9.64,9.71,9.64,9.64,9.473461,7900
2014-05-13,9.64,9.64,9.64,9.64,9.473461,0
2014-05-14,9.64,9.64,9.64,9.64,9.473461,0
2014-05-15,9.64,9.64,9.64,9.64,9.473461,0
2014-05-16,9.72,9.74,9.65,9.65,9.483287,15200
2014-05-19,9.65,9.65,9.65,9.65,9.483287,0
2014-05-20,9.69,9.72,9.66,9.69,9.522596,600
2014-05-21,9.69,9.69,9.69,9.69,9.522596,0
2014-05-22,9.69,9.69,9.69,9.69,9.522596,0
2014-05-23,9.73,9.73,9.7,9.7,9.532423,800
2014-05-27,9.7,9.7,9.7,9.7,9.532423,10000
2014-05-28,9.69,9.69,9.69,9.69,9.522596,2000
2014-05-29,9.69,9.69,9.69,9.69,9.522596,0
2014-05-30,9.7,9.7,9.7,9.7,9.532423,300
2014-06-02,9.7,9.7,9.7,9.7,9.532423,0
2014-06-03,9.74,9.74,9.73,9.73,9.561904,601000
2014-06-04,9.73,9.73,9.73,9.73,9.561904,0
2014-06-05,9.73,9.73,9.73,9.73,9.561904,0
2014-06-06,9.73,9.73,9.73,9.73,9.561904,0
2014-06-09,9.95,9.95,9.67,9.71,9.542251,28500
2014-06-10,9.73,9.73,9.68,9.68,9.51277,10600
2014-06-11,9.72,9.72,9.68,9.7,9.532423,22700
2014-06-12,9.72,9.74,9.68,9.68,9.51277,7600
2014-06-13,9.72,9.73,9.68,9.7,9.532423,6800
2014-06-16,9.7,9.7,9.7,9.7,9.532423,0
2014-06-17,9.7,9.7,9.7,9.7,9.532423,0
2014-06-18,9.68,9.68,9.68,9.68,9.51277,600
2014-06-19,9.68,9.68,9.68,9.68,9.51277,0
2014-06-20,9.68,9.68,9.68,9.68,9.51277,0
2014-06-23,9.68,9.68,9.68,9.68,9.51277,0
2014-06-24,9.68,9.68,9.68,9.68,9.51277,500
2014-06-25,9.69,9.69,9.68,9.68,9.51277,1900
2014-06-26,9.68,9.73,9.68,9.73,9.561904,14400
2014-06-27,9.73,9.73,9.73,9.73,9.561904,0
2014-06-30,9.69,9.76,9.68,9.74,9.571733,12300
2014-07-01,9.74,9.74,9.74,9.74,9.571733,0
2014-07-02,9.68,9.75,9.68,9.7,9.532423,10900
2014-07-03,9.7,9.7,9.7,9.7,9.532423,0
2014-07-07,9.7,9.7,9.7,9.7,9.532423,0
2014-07-08,9.7,9.7,9.7,9.7,9.532423,0
2014-07-09,9.7,9.7,9.7,9.7,9.532423,0
2014-07-10,9.7,9.7,9.7,9.7,9.532423,0
2014-07-11,9.7,9.72,9.7,9.7,9.532423,8700
2014-07-14,9.71,9.77,9.71,9.76,9.591387,8100
2014-07-15,9.7,9.74,9.68,9.74,9.571733,5900
2014-07-16,9.74,9.74,9.74,9.74,9.571733,0
2014-07-17,9.69,9.73,9.69,9.73,9.561904,15800
2014-07-18,9.72,9.75,9.71,9.72,9.552079,17300
2014-07-21,9.72,9.72,9.72,9.72,9.552079,0
2014-07-22,9.72,9.72,9.72,9.72,9.552079,0
2014-07-23,9.72,9.72,9.72,9.72,9.552079,0
2014-07-24,9.73,9.75,9.73,9.73,9.561904,6500
2014-07-25,9.72,9.74,9.72,9.74,9.571733,4600
2014-07-28,9.72,9.75,9.71,9.74,9.571733,9600
2014-07-29,9.69,9.75,9.68,9.72,9.552079,7000
2014-07-30,9.68,9.68,9.68,9.68,9.51277,100
2014-07-31,9.66,9.66,9.66,9.66,9.493114,710000
2014-08-01,9.71,9.75,9.69,9.69,9.522596,7500
2014-08-04,9.69,9.69,9.69,9.69,9.522596,0
2014-08-05,9.69,9.69,9.69,9.69,9.522596,0
2014-08-06,9.78,9.8,9.75,9.75,9.58156,4200
2014-08-07,9.79,9.8,9.78,9.78,9.611041,9900
2014-08-08,9.7,9.79,9.7,9.79,9.62087,700
2014-08-11,9.79,9.79,9.79,9.79,9.62087,0
2014-08-12,9.71,9.71,9.7,9.7,9.532423,200
2014-08-13,9.7,9.7,9.7,9.7,9.532423,0
2014-08-14,9.7,9.7,9.64,9.68,9.51277,400
2014-08-15,9.68,9.68,9.68,9.68,9.51277,0
2014-08-18,9.67,9.69,9.64,9.65,9.483287,4500
2014-08-19,9.65,9.65,9.65,9.65,9.483287,0
2014-08-20,9.74,9.74,9.66,9.66,9.493114,2000
2014-08-21,9.66,9.66,9.66,9.66,9.493114,0
2014-08-22,9.66,9.68,9.64,9.64,9.473461,2100
2014-08-25,9.69,9.69,9.69,9.69,9.522596,400
2014-08-26,9.69,9.69,9.69,9.69,9.522596,0
