Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,7.84,8.0,7.84,8.0,8.0,23588
2012-02-07,8.0,9.44,8.0,9.36,9.36,50850
2012-02-08,9.44,9.84,8.88,9.28,9.28,35175
2012-02-09,9.36,9.36,9.04,9.36,9.36,33575
2012-02-10,9.36,9.36,8.64,9.04,9.04,21200
2012-02-13,8.96,10.32,8.96,9.84,9.84,61275
2012-02-14,9.84,9.84,9.12,9.52,9.52,26750
2012-02-15,9.44,11.92,8.96,9.68,9.68,85025
2012-02-16,9.84,10.4,9.52,10.16,10.16,27100
2012-02-17,10.32,11.04,10.32,11.04,11.04,41988
2012-02-21,11.04,11.36,10.56,11.36,11.36,35000
2012-02-22,11.12,11.44,10.8,11.28,11.28,13588
2012-02-23,11.28,11.28,10.8,11.04,11.04,18363
2012-02-24,11.36,11.36,10.72,10.88,10.88,20550
2012-02-27,10.88,11.36,10.72,10.88,10.88,20613
2012-02-28,10.96,10.96,10.48,10.88,10.88,4513
2012-02-29,11.12,11.12,9.92,10.16,10.16,17088
2012-03-01,10.24,10.48,9.28,10.24,10.24,15538
2012-03-02,10.48,10.48,9.92,10.16,10.16,11125
2012-03-05,10.16,10.16,9.68,9.76,9.76,7338
2012-03-06,9.52,9.6,9.12,9.6,9.6,14700
2012-03-07,9.12,9.68,9.12,9.36,9.36,8588
2012-03-08,9.36,9.6,9.2,9.6,9.6,7000
2012-03-09,9.52,10.0,9.44,9.52,9.52,4900
2012-03-12,9.52,9.76,8.96,9.28,9.28,11200
2012-03-13,9.6,9.76,9.28,9.36,9.36,11413
2012-03-14,9.52,9.6,9.28,9.52,9.52,5550
2012-03-15,10.16,10.8,10.0,10.32,10.32,31313
2012-03-16,10.4,10.4,10.0,10.16,10.16,15775
2012-03-19,10.16,11.36,10.16,10.72,10.72,16475
2012-03-20,10.48,11.12,10.48,10.96,10.96,20513
2012-03-21,11.04,11.04,9.44,10.64,10.64,24738
2012-03-22,10.56,10.8,10.16,10.72,10.72,10150
2012-03-23,10.48,11.44,10.32,11.2,11.2,26013
2012-03-26,11.2,11.44,10.8,10.8,10.8,18988
2012-03-27,10.8,11.04,10.64,10.96,10.96,11613
2012-03-28,10.96,10.96,10.64,10.8,10.8,11150
2012-03-29,10.72,10.8,10.0,10.16,10.16,14925
2012-03-30,10.32,10.4,10.0,10.24,10.24,5513
2012-04-02,10.88,10.88,10.32,10.64,10.64,11250
2012-04-03,10.4,11.12,10.24,10.48,10.48,19563
2012-04-04,10.24,10.8,9.76,10.4,10.4,13950
2012-04-05,10.24,10.96,10.08,10.8,10.8,14213
2012-04-09,10.88,11.12,10.64,10.64,10.64,15063
2012-04-10,10.64,10.88,10.32,10.4,10.4,7288
2012-04-11,10.8,10.8,10.0,10.16,10.16,9450
2012-04-12,10.08,10.4,9.92,10.32,10.32,9200
2012-04-13,10.32,10.4,10.0,10.24,10.24,11500
2012-04-16,10.16,10.16,9.36,9.84,9.84,11338
2012-04-17,9.76,9.76,9.04,9.36,9.36,13338
2012-04-18,9.36,10.0,9.36,9.92,9.92,5775
2012-04-19,9.6,10.4,9.6,10.0,10.0,6513
2012-04-20,9.92,10.08,9.28,9.44,9.44,17100
2012-04-23,9.52,10.0,9.12,9.68,9.68,8875
2012-04-24,9.44,10.0,9.2,10.0,10.0,5788
2012-04-25,10.0,10.08,9.44,10.0,10.0,20388
2012-04-26,10.4,10.8,9.84,10.8,10.8,19613
2012-04-27,10.64,10.64,10.0,10.64,10.64,21075
2012-04-30,10.48,10.56,10.08,10.56,10.56,4625
2012-05-01,10.4,10.8,10.24,10.72,10.72,24625
2012-05-02,10.48,10.8,9.76,10.8,10.8,14700
2012-05-03,10.72,10.88,10.16,10.24,10.24,20425
2012-05-04,10.24,10.4,10.0,10.16,10.16,7575
2012-05-07,9.92,10.32,9.6,10.0,10.0,3625
2012-05-08,10.16,10.24,9.6,9.84,9.84,9813
2012-05-09,9.76,10.16,9.6,9.76,9.76,9375
2012-05-10,10.08,10.24,9.2,9.36,9.36,20500
2012-05-11,9.52,9.68,8.8,9.36,9.36,40100
2012-05-14,9.2,9.52,8.8,9.2,9.2,11300
2012-05-15,9.28,9.28,8.8,8.88,8.88,6125
2012-05-16,8.72,8.8,8.4,8.48,8.48,24350
2012-05-17,8.4,8.4,8.08,8.32,8.32,17413
2012-05-18,8.4,8.48,8.16,8.32,8.32,2838
2012-05-21,8.8,10.0,8.24,8.4,8.4,6825
2012-05-22,8.56,8.72,8.24,8.64,8.64,4375
2012-05-23,8.4,9.2,8.16,8.88,8.88,6375
2012-05-24,8.72,9.04,8.56,9.04,9.04,3213
2012-05-25,8.8,8.96,8.72,8.8,8.8,5138
2012-05-29,8.72,9.04,8.64,8.88,8.88,7388
2012-05-30,8.8,9.6,8.72,9.12,9.12,18225
2012-05-31,8.88,9.12,8.72,8.96,8.96,10063
2012-06-01,8.72,9.2,8.72,9.12,9.12,8013
2012-06-04,9.12,9.12,8.64,9.12,9.12,2550
2012-06-05,9.12,9.12,8.64,9.12,9.12,5113
2012-06-06,9.04,9.2,8.8,9.04,9.04,9538
2012-06-07,8.88,9.44,8.88,9.2,9.2,4975
2012-06-08,8.8,9.36,8.8,9.36,9.36,2063
2012-06-11,9.2,9.52,8.96,9.2,9.2,14375
2012-06-12,9.2,9.44,8.96,9.28,9.28,6575
2012-06-13,9.04,9.52,8.96,9.36,9.36,9813
2012-06-14,9.28,9.44,8.96,9.36,9.36,7575
2012-06-15,9.12,9.52,9.04,9.44,9.44,7750
2012-06-18,9.2,10.0,9.2,9.84,9.84,11225
2012-06-19,10.0,10.0,9.2,9.44,9.44,17238
2012-06-20,9.36,9.52,8.8,9.2,9.2,9575
2012-06-21,9.44,9.44,8.8,8.96,8.96,8313
2012-06-22,9.12,9.12,8.4,8.64,8.64,30700
2012-06-25,8.48,8.8,8.24,8.4,8.4,6325
2012-06-26,8.48,8.56,8.16,8.32,8.32,3875
2012-06-27,8.56,8.64,8.24,8.4,8.4,3113
2012-06-28,8.48,8.56,8.16,8.4,8.4,1575
2012-06-29,8.56,8.8,8.48,8.8,8.8,3875
2012-07-02,8.64,8.64,8.16,8.16,8.16,11300
2012-07-03,8.24,8.48,8.24,8.4,8.4,7075
2012-07-05,8.32,8.64,8.24,8.56,8.56,12363
2012-07-06,8.48,8.48,8.16,8.4,8.4,3450
2012-07-09,8.48,8.64,8.24,8.48,8.48,9775
2012-07-10,8.4,8.64,8.32,8.64,8.64,13325
2012-07-11,8.64,8.72,8.48,8.48,8.48,3750
2012-07-12,8.4,8.64,8.32,8.32,8.32,7013
2012-07-13,8.4,8.72,8.32,8.56,8.56,5688
2012-07-16,8.72,8.72,8.4,8.72,8.72,9125
2012-07-17,8.72,9.36,8.72,9.04,9.04,6788
2012-07-18,8.72,9.04,8.64,8.8,8.8,6550
2012-07-19,8.8,9.2,8.64,9.04,9.04,9600
2012-07-20,8.8,9.2,8.8,9.2,9.2,6113
2012-07-23,8.8,9.04,8.64,8.72,8.72,18275
2012-07-24,8.8,9.12,8.8,9.12,9.12,4188
2012-07-25,8.96,9.04,8.72,8.72,8.72,4950
2012-07-26,8.64,8.88,8.48,8.48,8.48,15050
2012-07-27,8.4,8.72,8.4,8.72,8.72,17700
2012-07-30,8.64,8.64,8.24,8.56,8.56,4525
2012-07-31,8.8,8.8,8.24,8.4,8.4,8200
2012-08-01,8.24,8.4,8.08,8.16,8.16,19375
2012-08-02,8.08,8.08,7.6,7.92,7.92,19338
2012-08-03,8.0,8.0,7.6,7.68,7.68,34400
2012-08-06,7.76,7.76,7.28,7.68,7.68,24100
2012-08-07,7.68,7.92,7.36,7.76,7.76,6825
2012-08-08,8.0,8.0,7.68,7.76,7.76,10250
2012-08-09,8.08,8.08,7.68,7.84,7.84,14025
2012-08-10,7.76,8.08,7.68,7.92,7.92,7325
2012-08-13,7.92,8.16,7.68,8.08,8.08,7338
2012-08-14,8.16,8.16,7.76,7.76,7.76,6675
2012-08-15,7.68,8.16,7.68,8.0,8.0,3288
2012-08-16,7.84,8.08,7.68,8.0,8.0,6888
2012-08-17,7.84,8.24,7.68,7.92,7.92,12375
2012-08-20,7.92,7.92,7.36,7.6,7.6,8888
2012-08-21,7.76,7.92,7.36,7.36,7.36,33663
2012-08-22,7.44,7.84,7.44,7.76,7.76,13938
2012-08-23,7.84,7.92,7.68,7.68,7.68,4400
2012-08-24,7.44,7.84,7.44,7.76,7.76,7875
2012-08-27,7.6,7.84,7.52,7.84,7.84,4738
2012-08-28,11.2,13.04,9.6,10.16,10.16,672488
2012-08-29,10.88,11.2,10.24,10.48,10.48,178563
2012-08-30,10.48,10.48,9.36,10.08,10.08,50125
2012-08-31,9.92,10.0,9.04,9.68,9.68,33838
2012-09-04,9.76,9.76,8.64,9.36,9.36,79138
