Date,Open,High,Low,Close,Adj Close,Volume
2021-04-23,24.5,28.545,24.25,25.530001,25.530001,5214500
2021-04-26,26.200001,30.93,26.042,28.940001,28.940001,1119500
2021-04-27,28.75,34.470001,28.0,31.27,31.27,985200
2021-04-28,31.74,32.709999,28.465,29.0,29.0,459800
2021-04-29,29.6,31.039,28.792999,29.32,29.32,206300
2021-04-30,29.530001,32.02,28.4,31.360001,31.360001,204900
2021-05-03,30.65,32.389999,29.309999,30.16,30.16,113500
2021-05-04,30.370001,30.969999,28.1,28.48,28.48,155200
2021-05-05,28.92,33.07,28.305,30.370001,30.370001,226400
2021-05-06,30.790001,31.684999,29.07,30.1,30.1,216100
2021-05-07,30.549999,32.849998,29.610001,32.57,32.57,206100
2021-05-10,33.02,34.432999,32.080002,32.970001,32.970001,254600
2021-05-11,32.349998,33.470001,30.75,32.990002,32.990002,212800
2021-05-12,32.470001,33.0,30.709999,31.02,31.02,244100
2021-05-13,30.959999,31.99,27.004999,27.059999,27.059999,426500
2021-05-14,27.42,30.23,24.311001,29.440001,29.440001,300500
2021-05-17,28.25,30.85,28.200001,29.360001,29.360001,169900
2021-05-18,29.07,32.700001,29.07,30.370001,30.370001,284400
2021-05-19,30.219999,30.219999,28.290001,29.84,29.84,143500
2021-05-20,30.0,32.0,29.219999,29.459999,29.459999,203000
2021-05-21,29.83,30.5,28.34,28.77,28.77,175400
2021-05-24,29.09,30.0,28.040001,28.24,28.24,224900
2021-05-25,28.530001,29.1,27.93,28.09,28.09,167400
2021-05-26,29.209999,31.49,28.0,29.57,29.57,292100
2021-05-27,29.780001,32.540001,28.530001,32.330002,32.330002,119800
2021-05-28,31.15,32.5,30.724001,32.450001,32.450001,182200
2021-06-01,32.900002,34.0,32.285,33.959999,33.959999,135900
2021-06-02,33.900002,36.060001,33.154999,35.650002,35.650002,338500
2021-06-03,36.02,36.724998,35.18,35.990002,35.990002,178200
2021-06-04,35.549999,36.095001,33.5,36.02,36.02,218000
2021-06-07,36.549999,36.665001,34.68,34.860001,34.860001,285500
2021-06-08,35.07,36.459999,34.310001,35.950001,35.950001,210500
2021-06-09,35.57,36.419998,35.349998,35.610001,35.610001,188700
2021-06-10,35.34,36.23,34.669998,35.610001,35.610001,234100
2021-06-11,35.75,36.169998,35.610001,36.110001,36.110001,229400
2021-06-14,36.099998,37.169998,34.139999,34.389999,34.389999,385500
