Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,34.689999,35.5,34.560001,35.130001,17.798212,303700
2012-02-07,35.09,36.18,35.049999,35.860001,18.168066,398400
2012-02-08,36.450001,36.720001,35.5,35.900002,18.188326,330200
2012-02-09,36.09,36.130001,34.900002,35.32,17.894482,313600
2012-02-10,34.990002,34.990002,34.060001,34.200001,17.327044,399900
2012-02-13,34.540001,34.82,34.23,34.82,17.641155,417500
2012-02-14,35.970001,38.630001,35.34,38.299999,19.404263,1416100
2012-02-15,38.009998,38.240002,36.75,36.98,18.735497,689300
2012-02-16,37.080002,37.889999,36.959999,37.509998,19.004011,318200
2012-02-17,37.509998,37.540001,36.939999,37.220001,18.857092,229300
2012-02-21,37.18,37.57,36.959999,37.099998,18.796293,254200
2012-02-22,37.0,37.869999,37.0,37.57,19.034414,363600
2012-02-23,37.970001,39.59,37.509998,39.220001,19.870375,639100
2012-02-24,39.400002,39.419998,38.810001,39.040001,19.779175,335100
2012-02-27,39.0,40.169998,38.599998,39.529999,20.027426,479500
2012-02-28,39.34,39.59,38.549999,38.950001,19.733578,378400
2012-02-29,36.939999,37.490002,36.029999,36.040001,18.259258,2020400
2012-03-01,36.240002,37.0,36.049999,36.66,18.573372,1024900
2012-03-02,36.740002,36.830002,36.07,36.470001,18.477112,374200
2012-03-05,36.57,36.830002,36.5,36.59,18.537907,664700
2012-03-06,35.700001,35.84,34.709999,34.810001,17.905235,501700
2012-03-07,35.650002,35.990002,34.82,35.75,18.388741,385700
2012-03-08,35.939999,36.59,35.919998,36.16,18.59963,317000
2012-03-09,36.299999,36.700001,36.23,36.380001,18.712791,241800
2012-03-12,36.490002,36.75,36.439999,36.700001,18.87739,303300
2012-03-13,36.880001,36.950001,36.169998,36.779999,18.918541,366300
2012-03-14,36.790001,36.889999,36.509998,36.779999,18.918541,291900
2012-03-15,36.869999,37.18,36.349998,37.099998,19.083141,280600
2012-03-16,37.23,37.23,36.669998,36.959999,19.011127,363000
