Date,Open,High,Low,Close,Adj Close,Volume
2014-06-12,20.65,20.75,20.18,20.25,17.096115,5453900
2014-06-13,20.26,20.370001,20.0,20.200001,17.053907,545900
2014-06-16,20.0,20.57,20.0,20.27,17.112999,245600
2014-06-17,20.24,21.940001,20.24,21.25,17.940367,536100
2014-06-18,21.25,22.83,21.068001,21.790001,18.396265,517300
2014-06-19,21.709999,22.59,21.299999,22.030001,18.598886,438500
2014-06-20,22.0,22.639999,21.934,22.450001,18.953468,326900
2014-06-23,22.629999,22.99,21.92,21.959999,18.539785,158000
2014-06-24,21.870001,22.610001,21.870001,22.190001,18.733969,83400
2014-06-25,22.09,22.940001,21.495001,22.4,18.911259,117000
2014-06-26,22.219999,22.49,21.4,22.1,18.657984,171000
2014-06-27,21.790001,21.98,21.049999,21.690001,18.31184,193200
2014-06-30,21.6,22.18,20.41,20.799999,17.560455,316400
2014-07-01,20.85,20.99,20.299999,20.43,17.248081,184600
2014-07-02,20.5,21.0,20.219999,20.73,17.501358,298200
2014-07-03,20.700001,20.9,20.610001,20.809999,17.568897,33200
2014-07-07,20.940001,20.940001,20.440001,20.67,17.450701,77500
2014-07-08,20.51,20.98,20.190001,20.559999,17.357836,80600
2014-07-09,20.530001,21.780001,20.530001,21.200001,17.898153,99800
2014-07-10,20.860001,21.549999,20.629999,21.27,17.957254,91700
2014-07-11,21.41,21.5,21.15,21.23,17.923485,133900
2014-07-14,21.190001,21.190001,20.219999,20.459999,17.273405,120800
2014-07-15,20.41,21.389999,19.860001,19.950001,16.842836,106900
2014-07-16,20.0,21.43,19.559999,19.59,16.538908,126400
2014-07-17,19.549999,20.200001,19.549999,19.719999,16.648661,132600
2014-07-18,19.700001,20.299999,19.700001,19.959999,16.85128,46500
2014-07-21,20.0,20.299999,19.75,19.83,16.741529,105200
2014-07-22,19.9,20.24,19.26,19.83,16.741529,468800
2014-07-23,19.855,19.915001,18.440001,18.799999,15.87195,529300
2014-07-24,18.85,19.25,18.66,18.870001,15.93105,302700
2014-07-25,18.879999,19.299999,18.709999,18.74,15.821293,124000
2014-07-28,18.940001,18.940001,17.610001,17.940001,15.145888,92300
2014-07-29,17.99,18.23,17.0,17.030001,14.377622,227800
2014-07-30,17.07,17.4,15.66,16.48,13.913281,297000
2014-07-31,16.219999,17.110001,16.1,16.67,14.07369,77700
2014-08-01,16.540001,16.92,16.26,16.74,14.13279,88100
2014-08-04,16.709999,16.889999,16.25,16.68,14.08213,85500
2014-08-05,16.639999,16.790001,16.23,16.540001,13.963938,163800
2014-08-06,16.629999,16.68,15.98,16.52,13.947054,490700
2014-08-07,16.370001,17.43,16.370001,16.940001,14.301638,108200
2014-08-08,16.9,17.98,16.82,17.780001,15.010813,17800
2014-08-11,17.700001,18.18,17.530001,17.870001,15.086796,36700
2014-08-12,17.77,18.18,17.5,18.15,15.323182,107300
2014-08-13,18.17,18.92,18.15,18.68,15.77064,103200
2014-08-14,18.719999,19.42,18.57,19.32,16.310957,94300
2014-08-15,19.49,20.259001,19.07,19.18,16.192762,83000
2014-08-18,19.43,20.1,19.290001,19.84,16.749975,63600
2014-08-19,20.0,20.049999,19.77,19.93,16.825958,81700
2014-08-20,20.07,20.07,19.67,19.82,16.733088,175300
2014-08-21,19.799999,19.905001,19.360001,19.77,16.690876,163100
2014-08-22,19.799999,19.91,19.68,19.790001,16.707758,94100
2014-08-25,19.969999,20.049999,19.85,19.9,16.800625,23200
2014-08-26,20.0,20.0,19.639999,19.74,16.66555,119300
2014-08-27,19.709999,19.799999,19.5,19.6,16.54735,197700
2014-08-28,19.6,19.75,19.406,19.639999,16.581123,121500
2014-08-29,19.65,19.77,19.458,19.66,16.598009,42200
2014-09-02,19.66,19.700001,19.34,19.4,16.378498,71600
2014-09-03,19.495001,19.6,19.09,19.370001,16.353172,42400
2014-09-04,19.34,19.51,18.959999,19.030001,16.066128,76600
2014-09-05,18.950001,19.1,18.645,18.889999,15.947933,131100
2014-09-08,18.75,18.77,18.309999,18.610001,15.71154,117300
2014-09-09,18.6,19.0,18.462999,18.719999,15.804411,86700
2014-09-10,18.629999,18.629999,18.17,18.219999,15.382282,179800
2014-09-11,18.049999,18.129999,17.23,17.73,14.968596,271000
2014-09-12,17.620001,17.99,17.440001,17.57,14.833518,219600
2014-09-15,17.5,17.559999,17.254,17.33,14.630897,105600
2014-09-16,17.299999,17.58,17.299999,17.42,14.706882,166200
2014-09-17,17.5,17.610001,17.33,17.469999,14.749091,114600
2014-09-18,17.545,17.99,17.4,17.809999,15.036135,139400
2014-09-19,17.9,18.049999,16.370001,17.540001,14.808188,316100
2014-09-22,17.6,17.700001,17.26,17.33,14.630897,101500
2014-09-23,17.290001,17.32,17.089001,17.200001,14.521146,133300
2014-09-24,17.16,17.6,17.1,17.5,14.774421,68900
2014-09-25,17.48,17.49,16.801001,16.93,14.293196,128800
2014-09-26,17.0,17.08,16.85,16.969999,14.326968,126400
2014-09-29,16.84,16.99,16.5,16.67,14.07369,207900
2014-09-30,16.530001,16.785,15.54,15.73,13.280092,987300
2014-10-01,15.8,15.8,14.11,14.63,12.351415,375600
2014-10-02,14.64,14.64,13.92,14.42,12.174122,327700
2014-10-03,14.5,14.74,14.28,14.6,12.326088,475600
2014-10-06,14.82,15.49,14.55,15.27,12.891739,304600
2014-10-07,15.21,15.21,14.94,14.96,12.630017,141500
2014-10-08,14.99,15.225,14.63,15.2,12.832641,239900
