Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,10.25,10.53,10.16,10.53,10.035468,297400
2012-02-07,10.46,10.53,10.28,10.46,9.968755,340100
2012-02-08,10.5,10.66,10.29,10.55,10.054528,342000
2012-02-09,10.59,10.61,10.21,10.22,9.740027,279900
2012-02-10,10.07,10.32,9.99,10.0,9.530359,306700
2012-02-13,10.18,10.28,9.94,10.17,9.692374,374800
2012-02-14,10.13,10.2,9.96,10.1,9.625663,264100
2012-02-15,10.2,10.2,9.85,9.94,9.473177,359900
2012-02-16,9.96,10.22,9.84,10.15,9.673314,322500
2012-02-17,10.22,10.49,10.22,10.42,9.930634,356800
2012-02-21,10.41,10.59,10.27,10.35,9.863922,285900
2012-02-22,10.32,10.45,10.24,10.34,9.854391,242200
2012-02-23,10.38,10.51,10.15,10.49,9.997346,426000
2012-02-24,10.53,10.59,10.44,10.49,9.997346,317100
2012-02-27,10.36,10.36,10.01,10.07,9.597072,628600
2012-02-28,10.11,10.23,9.8,9.84,9.377873,543800
2012-02-29,9.82,9.84,9.08,9.09,8.663096,904800
2012-03-01,9.17,9.3,9.12,9.2,8.76793,702700
2012-03-02,9.16,9.26,8.97,9.07,8.644034,686400
2012-03-05,9.01,9.09,8.89,8.99,8.567793,714700
2012-03-06,8.85,8.88,8.69,8.81,8.396247,596600
2012-03-07,8.88,9.03,8.75,9.02,8.596384,361000
2012-03-08,9.07,9.24,8.95,9.2,8.76793,437300
2012-03-09,9.18,9.61,9.12,9.61,9.158674,827500
2012-03-12,9.59,9.68,9.29,9.39,8.949007,835200
2012-03-13,9.48,9.79,9.48,9.77,9.311161,586400
2012-03-14,9.75,9.81,9.36,9.42,8.977598,576200
2012-03-15,9.45,9.48,9.26,9.36,8.920415,376000
2012-03-16,9.35,9.51,9.33,9.38,8.939477,1352200
2012-03-19,9.41,9.8,9.33,9.6,9.149144,676700
2012-03-20,9.48,9.55,9.33,9.35,8.910886,619800
2012-03-21,9.36,9.38,9.16,9.26,8.825112,608900
2012-03-22,9.09,9.18,8.82,8.87,8.453428,793000
2012-03-23,8.88,9.45,8.88,9.42,8.977598,640400
2012-03-26,9.59,9.6,9.4,9.49,9.044311,503000
2012-03-27,9.53,9.63,9.37,9.55,9.101493,777200
2012-03-28,9.5,9.57,9.23,9.38,8.939477,717100
2012-03-29,9.28,9.47,9.22,9.44,8.996658,511600
2012-03-30,9.56,9.57,9.32,9.42,8.977598,338400
2012-04-02,9.39,9.8,9.29,9.77,9.311161,695300
2012-04-03,9.77,9.79,9.48,9.72,9.26351,770700
2012-04-04,9.52,9.6,9.3,9.36,8.920415,384900
2012-04-05,9.28,9.41,9.15,9.2,8.76793,342600
2012-04-09,8.89,9.15,8.82,9.07,8.644034,520200
2012-04-10,9.06,9.07,8.73,8.81,8.396247,534100
2012-04-11,8.95,9.06,8.85,8.97,8.548733,542400
2012-04-12,8.98,9.43,8.93,9.37,8.929946,416500
2012-04-13,9.28,9.28,8.9,9.03,8.605914,431500
2012-04-16,8.77,8.83,8.5,8.6,8.196109,1167500
2012-04-17,8.72,8.74,8.25,8.29,7.900667,3754600
2012-04-18,8.26,8.37,8.12,8.13,7.748182,1653700
2012-04-19,8.17,8.25,8.0,8.04,7.662408,953600
2012-04-20,8.19,8.29,7.81,7.87,7.500392,1158200
2012-04-23,7.7,8.19,7.57,8.15,7.767242,837800
2012-04-24,8.2,8.59,8.09,8.5,8.100805,738800
2012-04-25,8.62,8.73,8.5,8.69,8.281881,493700
2012-04-26,8.65,8.86,8.63,8.78,8.367655,372400
2012-04-27,8.82,8.87,8.66,8.69,8.281881,524200
2012-04-30,8.64,8.75,8.61,8.71,8.300942,581700
2012-05-01,8.73,9.06,8.68,8.73,8.320003,561600
2012-05-02,8.67,8.74,8.53,8.62,8.21517,361400
2012-05-03,8.63,8.73,8.34,8.35,7.95785,375700
2012-05-04,8.26,8.28,7.94,8.09,7.710061,668700
2012-05-07,8.04,8.24,7.82,8.21,7.824424,669300
2012-05-08,8.1,8.21,7.89,8.2,7.814894,557100
2012-05-09,7.84,7.96,6.8,7.34,6.995284,1824200
2012-05-10,7.46,7.59,7.26,7.37,7.023874,683500
2012-05-11,7.24,7.32,7.12,7.2,6.861858,713300
2012-05-14,7.07,7.07,6.87,6.92,6.595008,782000
2012-05-15,6.9,6.93,6.61,6.68,6.36628,979500
2012-05-16,6.71,6.94,6.59,6.59,6.280507,593700
2012-05-17,6.59,6.62,6.27,6.35,6.051778,710200
2012-05-18,6.41,6.97,6.41,6.81,6.490174,1434100
2012-05-21,6.84,7.01,6.72,6.98,6.652191,623500
2012-05-22,6.98,7.03,6.75,6.81,6.490174,601300
2012-05-23,6.74,6.87,6.54,6.86,6.537826,405000
2012-05-24,6.88,6.97,6.64,6.77,6.452053,380100
2012-05-25,6.78,6.78,6.58,6.63,6.318628,344200
2012-05-29,6.74,7.09,6.72,6.97,6.64266,523300
2012-05-30,6.84,6.84,6.51,6.55,6.242385,437300
2012-05-31,6.55,6.57,6.22,6.39,6.089899,595000
2012-06-01,6.18,6.3,6.14,6.17,5.880231,799600
2012-06-04,6.21,6.29,6.09,6.17,5.880231,643000
2012-06-05,6.14,6.39,6.12,6.34,6.042247,556800
2012-06-06,6.47,6.73,6.44,6.62,6.309098,578600
2012-06-07,6.78,6.99,6.6,6.67,6.356749,749800
2012-06-08,6.6,6.6,6.38,6.56,6.251915,546000
2012-06-11,6.67,6.85,6.38,6.38,6.080369,693400
2012-06-12,6.43,6.46,6.2,6.45,6.147081,482000
2012-06-13,6.41,6.45,6.19,6.28,5.985065,673900
2012-06-14,6.35,6.62,6.29,6.59,6.280507,700400
