Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,11.553333,11.62,11.01,11.34,10.229878,434100
2012-02-07,11.336667,11.473333,11.223333,11.23,10.130647,156900
2012-02-08,11.26,11.373333,11.006667,11.243333,10.142674,221700
2012-02-09,11.31,11.31,10.846667,11.156667,10.06449,192300
2012-02-10,11.01,11.07,10.723333,10.766667,9.712672,310200
2012-02-13,10.933333,11.036667,10.846667,11.013333,9.935192,213900
2012-02-14,10.946667,11.023333,10.646667,10.936667,9.86603,218400
2012-02-15,10.98,11.11,10.533333,10.833333,9.77281,257700
2012-02-16,11.636667,12.533333,11.626667,12.283333,11.080863,963600
2012-02-17,12.32,12.443333,11.866667,11.873333,10.711001,375900
2012-02-21,11.96,12.033333,11.386667,11.44,10.320086,199200
2012-02-22,11.443333,11.483333,11.036667,11.07,9.986309,300300
2012-02-23,11.12,11.346667,10.883333,11.323333,10.214841,257400
2012-02-24,11.33,11.426667,10.82,10.866667,9.80288,243000
2012-02-27,10.866667,11.13,10.666667,11.026667,9.947219,312900
2012-02-28,11.053333,11.176667,10.72,10.886667,9.820923,226500
2012-02-29,10.913333,11.07,10.696667,10.713333,9.664557,281100
2012-03-01,10.81,10.97,10.6,10.61,9.571341,376800
2012-03-02,10.586667,10.593333,10.16,10.166667,9.171405,306600
2012-03-05,10.136667,10.283333,9.986667,10.156667,9.162386,208500
2012-03-06,9.98,10.163333,9.796667,9.84,8.876719,285000
2012-03-07,9.906667,10.163333,9.826667,10.133333,9.141335,214800
2012-03-08,10.22,10.876667,10.203333,10.733333,9.682598,370800
2012-03-09,10.72,10.886667,10.626667,10.77,9.715678,447000
2012-03-12,10.74,11.036667,10.733333,10.956667,9.88407,199200
2012-03-13,11.043333,11.443333,10.986667,11.42,10.302047,340500
2012-03-14,11.423333,11.546667,11.353333,11.383333,10.268967,242700
2012-03-15,11.413333,11.733333,11.06,11.723333,10.575685,453000
2012-03-16,11.76,11.76,11.416667,11.47,10.347151,830100
2012-03-19,11.436667,11.873333,11.41,11.65,10.50953,264300
2012-03-20,11.506667,11.693333,11.42,11.56,10.428341,223200
2012-03-21,11.586667,11.806667,11.55,11.67,10.527573,343200
2012-03-22,11.496667,11.63,11.223333,11.486667,10.362185,268500
2012-03-23,11.406667,11.406667,10.92,11.306667,10.199807,255900
2012-03-26,11.47,11.673333,11.33,11.653333,10.512536,148200
2012-03-27,11.633333,11.896667,11.463333,11.47,10.347151,192600
2012-03-28,11.466667,11.71,11.376667,11.65,10.50953,300000
2012-03-29,11.513333,11.766667,11.326667,11.73,10.5817,143700
2012-03-30,11.836667,11.94,11.493333,11.493333,10.3682,266700
2012-04-02,11.433333,11.556667,11.233333,11.55,10.419321,288600
2012-04-03,11.493333,11.526667,11.233333,11.313333,10.205821,258000
2012-04-04,11.13,11.226667,10.93,11.15,10.058475,200400
2012-04-05,11.08,11.326667,11.046667,11.186667,10.091558,229800
2012-04-09,10.926667,11.023333,10.733333,10.843333,9.781831,206100
2012-04-10,10.8,10.87,10.306667,10.503333,9.475115,347400
2012-04-11,10.636667,10.693333,10.5,10.683333,9.637497,200700
2012-04-12,10.656667,11.22,10.65,11.123333,10.034421,309000
2012-04-13,11.056667,11.056667,10.64,10.706667,9.658546,294300
2012-04-16,10.783333,10.9,10.48,10.766667,9.712672,133800
2012-04-17,10.906667,11.02,10.78,10.803333,9.745746,199800
2012-04-18,10.72,10.86,10.56,10.776667,9.721692,237300
2012-04-19,11.98,12.49,11.55,11.66,10.518553,1074900
2012-04-20,11.85,11.95,11.61,11.666667,10.524565,827400
2012-04-23,11.43,11.446667,11.246667,11.44,10.320086,500400
2012-04-24,11.48,11.936667,11.356667,11.93,10.76212,433500
2012-04-25,12.1,12.416667,11.91,12.166667,10.97562,339000
2012-04-26,12.17,12.45,11.966667,12.413333,11.198139,429000
2012-04-27,12.45,12.85,12.35,12.81,11.555972,397500
2012-04-30,12.766667,12.876667,12.326667,12.466667,11.24625,396000
2012-05-01,12.543333,12.586667,12.303333,12.383333,11.171073,483000
2012-05-02,12.286667,12.52,12.266667,12.483333,11.261286,544800
2012-05-03,12.483333,12.483333,11.963333,12.316667,11.110933,291000
2012-05-04,12.216667,12.346667,12.07,12.103333,10.918483,222600
2012-05-07,12.013333,12.35,12.003333,12.246667,11.047787,165000
2012-05-08,12.066667,12.376667,11.9,12.33,11.122959,258000
2012-05-09,12.12,12.42,11.983333,12.306667,11.101914,207000
2012-05-10,12.456667,12.55,12.3,12.403333,11.189116,222000
2012-05-11,12.25,12.793333,12.24,12.486667,11.264293,388500
2012-05-14,12.346667,12.796667,12.203333,12.743333,11.495831,467700
2012-05-15,12.72,12.84,12.613333,12.693333,11.450727,702000
2012-05-16,12.796667,12.826667,12.493333,12.523333,11.297368,213600
