Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,10.7,10.79,10.6,10.75,5.943372,17700
2012-02-07,10.75,10.76,10.65,10.7,5.91573,11500
2012-02-08,10.74,11.06,10.64,11.04,6.103706,44100
2012-02-09,11.01,11.05,10.92,10.99,6.076062,18800
2012-02-10,10.83,10.93,10.75,10.76,5.948901,70100
2012-02-13,10.51,10.71,10.51,10.63,5.977015,21000
2012-02-14,10.53,10.56,10.28,10.42,5.858938,19300
2012-02-15,10.36,10.36,10.08,10.31,5.797087,34200
2012-02-16,10.35,10.55,10.31,10.55,5.932034,34800
2012-02-17,10.54,10.62,10.49,10.57,5.943279,17500
2012-02-21,10.56,10.6,10.38,10.43,5.86456,18100
2012-02-22,10.42,10.42,10.23,10.26,5.768972,15500
2012-02-23,10.25,10.37,10.25,10.37,5.830822,13500
2012-02-24,10.33,10.4,10.33,10.35,5.819577,14400
2012-02-27,11.35,11.35,10.26,10.32,5.80271,10400
2012-02-28,10.28,10.33,10.22,10.22,5.74648,12100
2012-02-29,10.26,10.28,9.93,10.1,5.679008,36900
2012-03-01,10.1,10.2,10.06,10.12,5.690253,27200
2012-03-02,10.15,10.17,9.85,9.86,5.544061,25400
2012-03-05,9.89,10.35,9.85,10.16,5.712744,22900
2012-03-06,10.14,10.18,10.02,10.05,5.650893,22100
2012-03-07,10.1,10.16,10.02,10.15,5.707123,20600
2012-03-08,10.16,10.18,10.0,10.17,5.718367,13700
2012-03-09,10.11,10.28,10.09,10.24,5.757729,31400
2012-03-12,10.17,10.22,10.05,10.13,5.695876,15200
2012-03-13,10.14,10.34,10.08,10.34,5.813954,30600
2012-03-14,10.32,10.32,10.15,10.21,5.740857,27100
2012-03-15,10.22,10.35,10.03,10.17,5.718367,31000
2012-03-16,10.24,10.26,9.89,9.89,5.56093,73700
2012-03-19,9.96,10.24,9.9,10.22,5.74648,34800
2012-03-20,10.1,10.21,10.06,10.13,5.695876,24600
2012-03-21,10.1,10.18,10.02,10.14,5.7015,26400
2012-03-22,10.17,10.18,10.06,10.1,5.679008,51400
2012-03-23,10.1,10.24,10.1,10.24,5.757729,22900
2012-03-26,10.26,10.74,10.24,10.73,6.033245,121800
2012-03-27,10.73,10.73,10.52,10.7,6.016375,36400
2012-03-28,10.7,11.33,10.7,11.08,6.230041,70800
2012-03-29,10.96,11.1,10.93,11.03,6.201924,15800
2012-03-30,11.13,11.13,10.96,10.96,6.162566,23800
2012-04-02,10.98,11.25,10.98,11.25,6.325628,39500
2012-04-03,11.15,11.81,11.09,11.61,6.528048,82700
2012-04-04,11.53,11.68,11.45,11.46,6.443707,38200
2012-04-05,11.43,11.6,11.43,11.5,6.466197,20600
2012-04-09,11.5,11.64,11.44,11.44,6.432459,27900
2012-04-10,11.41,11.51,11.26,11.27,6.336874,60900
2012-04-11,11.23,11.55,11.12,11.55,6.494313,59600
2012-04-12,11.51,11.58,11.32,11.45,6.438085,24800
2012-04-13,11.37,11.37,11.07,11.24,6.320004,23500
2012-04-16,11.24,11.45,11.07,11.42,6.421213,75500
2012-04-17,11.45,11.57,11.38,11.53,6.483067,45700
2012-04-18,11.53,11.57,11.42,11.51,6.471819,37600
2012-04-19,11.54,11.56,11.36,11.49,6.460573,25100
2012-04-20,11.61,11.82,11.51,11.58,6.511179,41300
2012-04-23,11.5,11.64,11.5,11.51,6.471819,44500
2012-04-24,11.53,11.71,11.53,11.7,6.578652,26400
2012-04-25,11.79,11.82,11.63,11.71,6.584274,30700
2012-04-26,11.65,11.66,11.47,11.58,6.511179,13100
2012-04-27,11.58,11.7,11.5,11.69,6.57303,20200
2012-04-30,11.66,11.79,11.55,11.79,6.629258,68000
2012-05-01,11.75,11.8,11.4,11.5,6.466197,49900
2012-05-02,11.47,11.62,11.45,11.6,6.522427,29000
2012-05-03,11.57,11.57,11.34,11.48,6.454951,18000
2012-05-04,11.4,11.48,11.19,11.23,6.314382,32900
2012-05-07,11.17,11.44,10.95,11.43,6.426837,30000
2012-05-08,11.25,11.62,11.25,11.58,6.511179,31100
2012-05-09,11.48,11.73,11.19,11.3,6.35374,41000
2012-05-10,11.3,11.37,11.17,11.34,6.376232,47400
2012-05-11,11.13,11.18,10.97,11.09,6.33624,26200
2012-05-14,10.88,11.0,10.81,10.93,6.244822,46900
2012-05-15,10.87,10.97,10.78,10.82,6.181974,32000
2012-05-16,10.84,10.9,10.8,10.87,6.210542,14300
2012-05-17,10.85,10.87,10.74,10.75,6.141981,26000
2012-05-18,10.75,10.79,10.7,10.71,6.119127,32100
2012-05-21,10.71,10.75,10.68,10.68,6.101986,33300
2012-05-22,10.68,10.68,10.05,10.15,5.799173,43000
2012-05-23,10.2,10.31,10.01,10.15,5.799173,38000
2012-05-24,10.17,10.3,10.1,10.29,5.879161,17400
2012-05-25,10.25,10.3,10.2,10.28,5.873447,15300
2012-05-29,10.32,10.52,10.32,10.5,5.999144,20300
2012-05-30,10.42,10.42,10.27,10.31,5.890588,20700
2012-05-31,10.3,10.35,10.12,10.13,5.787745,58700
2012-06-01,10.01,10.28,10.01,10.14,5.793459,38600
2012-06-04,10.16,10.4,10.16,10.38,5.930583,45200
2012-06-05,10.3,10.5,10.3,10.44,5.964863,22700
2012-06-06,10.49,10.49,10.22,10.42,5.953436,31100
2012-06-07,10.45,10.45,10.16,10.29,5.879161,31400
2012-06-08,10.3,10.41,10.25,10.39,5.936296,20700
2012-06-11,10.43,10.43,10.05,10.06,5.747751,25700
2012-06-12,10.07,10.22,10.03,10.2,5.827738,27300
2012-06-13,10.16,10.17,9.98,10.06,5.747751,35000
2012-06-14,10.03,10.1,9.97,10.07,5.753464,30900
