Date,Open,High,Low,Close,Adj Close,Volume
2015-04-20,28.0,30.030001,27.0,30.030001,16.576452,35100
2015-04-21,30.42,30.9,29.049999,30.049999,16.58749,49400
2015-04-22,31.549999,34.630001,29.549999,30.27,16.708929,218300
2015-04-23,30.0,30.549999,29.950001,30.15,16.642687,307900
2015-04-24,30.02,30.309999,28.6,28.6,15.787096,1920500
2015-04-27,28.469999,29.5,27.5,27.51,15.18542,3688300
2015-04-28,27.23,29.889999,27.09,29.48,16.27285,6802300
2015-04-29,29.780001,30.719999,29.610001,30.32,16.736526,2839800
2015-04-30,30.18,30.32,29.700001,30.08,16.604053,2204900
2015-05-01,30.01,30.32,29.549999,29.969999,16.543331,1281900
2015-05-04,29.389999,30.389999,29.26,30.16,16.648211,1716800
2015-05-05,29.75,30.65,29.75,30.24,16.692373,1280400
2015-05-06,30.15,30.299999,28.43,28.559999,15.765016,1775600
2015-05-07,28.219999,28.700001,27.5,27.620001,15.24614,2251900
2015-05-08,27.75,27.99,27.065001,27.65,15.262701,1405600
2015-05-11,27.41,27.6,26.85,27.41,15.130224,1376600
2015-05-12,26.84,28.219999,26.799999,28.110001,15.516618,1140600
2015-05-13,27.959999,28.1,27.58,27.799999,15.345503,1052900
2015-05-14,27.66,27.959999,27.51,27.809999,15.35102,1047000
2015-05-15,27.700001,27.85,27.5,27.530001,15.196462,553300
2015-05-18,27.129999,27.5,26.790001,26.860001,14.826624,866100
2015-05-19,26.76,26.860001,26.17,26.219999,14.473345,1405300
2015-05-20,26.09,26.417999,25.65,25.690001,14.180787,834500
2015-05-21,25.530001,26.549999,25.34,26.5,14.627907,1425900
2015-05-22,26.16,26.92,26.09,26.780001,14.782464,923500
2015-05-26,26.49,27.0,26.23,26.49,14.622386,685300
2015-05-27,26.01,26.41,25.91,26.129999,14.423666,872900
2015-05-28,26.15,26.24,25.879999,25.98,14.340867,627500
2015-05-29,25.85,26.120001,25.75,26.049999,14.379508,941300
2015-06-01,25.799999,26.200001,25.65,25.860001,14.274627,634100
2015-06-02,25.77,26.82,25.68,26.42,14.583746,1034900
