Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,21.92,22.18,21.65,21.67,19.294125,16600
2012-02-07,21.51,21.59,21.08,21.200001,18.875656,17600
2012-02-08,21.139999,21.26,20.950001,21.049999,18.742094,26200
2012-02-09,21.08,21.51,20.870001,20.870001,18.581835,12600
2012-02-10,20.610001,20.84,20.24,20.26,18.038713,23700
2012-02-13,20.52,20.74,20.25,20.41,18.172266,52800
2012-02-14,20.26,20.58,19.93,20.120001,17.914061,63800
2012-02-15,20.280001,20.280001,19.709999,19.790001,17.620243,19400
2012-02-16,19.83,21.16,19.83,21.01,18.706484,45600
2012-02-17,20.799999,21.360001,20.610001,21.16,18.840036,69800
2012-02-21,21.120001,21.129999,20.5,20.51,18.261305,20600
2012-02-22,20.379999,21.280001,20.35,20.35,18.118845,15500
2012-02-23,20.459999,20.65,19.85,20.620001,18.359234,21400
2012-02-24,20.530001,20.639999,20.379999,20.540001,18.288017,13000
2012-02-27,20.4,20.450001,20.049999,20.09,17.887354,28500
2012-02-28,20.139999,20.290001,19.16,19.379999,17.255194,209300
2012-02-29,19.4,19.98,18.83,19.01,16.925756,115600
2012-03-01,19.139999,19.389999,18.799999,18.799999,16.738783,53600
2012-03-02,18.790001,19.26,18.75,19.0,16.916855,75600
2012-03-05,18.940001,19.24,18.91,19.139999,17.041508,34000
2012-03-06,18.9,19.09,18.799999,18.879999,16.810017,22900
2012-03-07,19.0,19.76,19.0,19.51,17.370941,22700
2012-03-08,20.77,20.77,18.66,19.85,17.673666,80100
2012-03-09,19.83,20.25,19.5,19.9,17.718185,59900
2012-03-12,19.84,19.940001,19.530001,19.809999,17.638054,36900
2012-03-13,19.950001,20.549999,19.799999,20.43,18.273094,67800
2012-03-14,20.309999,20.469999,19.91,20.08,17.960047,44300
2012-03-15,20.15,20.700001,20.049999,20.58,18.407259,40800
2012-03-16,20.58,20.9,20.450001,20.719999,18.532473,65900
2012-03-19,20.530001,21.57,20.360001,21.040001,18.818691,66900
2012-03-20,20.84,21.120001,20.530001,20.790001,18.595081,33200
2012-03-21,20.93,21.51,20.799999,21.27,19.024406,33100
2012-03-22,21.110001,21.34,20.85,21.24,18.997578,56500
2012-03-23,21.120001,21.950001,21.120001,21.780001,19.480566,43800
2012-03-26,21.969999,22.879999,21.9,22.799999,20.392878,68300
2012-03-27,22.790001,23.389999,22.65,23.01,20.580704,77100
2012-03-28,23.059999,23.23,22.85,23.190001,20.741703,70800
2012-03-29,23.1,23.309999,22.4,22.99,20.562826,50800
2012-03-30,23.219999,23.35,22.870001,23.049999,20.616486,60600
2012-04-02,22.91,23.549999,22.91,23.540001,21.054754,75700
2012-04-03,23.25,23.709999,22.969999,23.209999,20.759598,121100
2012-04-04,23.0,23.309999,22.84,23.18,20.732758,62700
2012-04-05,23.15,23.870001,23.030001,23.200001,20.750647,35300
2012-04-09,22.790001,23.1,22.790001,22.959999,20.535986,98100
2012-04-10,22.959999,23.25,22.85,22.9,20.482321,69200
2012-04-11,23.07,23.219999,22.870001,23.209999,20.759598,38000
2012-04-12,23.120001,23.799999,23.120001,23.66,21.162083,137900
2012-04-13,23.559999,23.559999,22.52,22.719999,20.321327,38300
2012-04-16,22.75,23.379999,22.74,23.24,20.786425,37400
2012-04-17,23.51,23.530001,22.879999,23.1,20.661203,51500
2012-04-18,23.02,23.110001,22.83,23.02,20.589651,42500
2012-04-19,23.040001,23.190001,22.92,22.950001,20.527046,62000
2012-04-20,23.51,23.59,23.209999,23.370001,20.902704,93100
2012-04-23,22.93,24.0,22.889999,23.780001,21.269413,65600
2012-04-24,23.77,24.379999,23.48,24.23,21.671904,80400
2012-04-25,24.639999,24.76,23.92,24.049999,21.510906,41200
