Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,11.53,11.59,11.26,11.31,7.567369,4800
2012-02-07,11.35,11.47,11.35,11.35,7.59413,1700
2012-02-08,11.43,11.55,11.39,11.55,7.72795,1600
2012-02-09,11.6,11.6,11.37,11.52,7.707878,4200
2012-02-10,11.36,11.59,11.35,11.57,7.741328,7200
2012-02-13,11.39,11.56,11.39,11.48,7.68111,1300
2012-02-14,11.58,11.6,11.5,11.51,7.701183,3500
2012-02-15,11.6,11.6,11.36,11.39,7.620896,800
2012-02-16,11.38,11.91,11.38,11.91,7.968818,3400
2012-02-17,11.91,11.93,11.91,11.91,7.968818,800
2012-02-21,11.91,12.0,11.91,11.95,7.995581,1800
2012-02-22,11.91,11.91,11.41,11.45,7.661038,4600
2012-02-23,11.42,11.68,11.35,11.58,7.748021,9200
2012-02-24,11.56,11.85,11.49,11.65,7.794858,8800
2012-02-27,11.65,11.74,11.65,11.74,7.855075,1500
2012-02-28,11.7,11.7,11.31,11.34,7.587441,4200
2012-02-29,11.58,11.6,11.4,11.47,7.674423,4300
2012-03-01,11.51,11.58,11.27,11.27,7.540604,3400
2012-03-02,11.35,11.4,11.26,11.26,7.533911,1900
2012-03-05,11.26,11.26,11.26,11.26,7.533911,1200
2012-03-06,11.26,11.28,11.26,11.26,7.533911,3700
2012-03-07,11.45,11.45,11.35,11.41,7.634277,1900
2012-03-08,11.43,11.58,11.35,11.4,7.627581,3900
2012-03-09,11.36,11.57,11.28,11.36,7.600822,6000
2012-03-12,11.33,11.5,11.33,11.35,7.59413,900
2012-03-13,11.44,11.44,11.26,11.29,7.553986,4800
2012-03-14,11.29,11.33,11.29,11.33,7.580748,1400
2012-03-15,11.39,11.47,11.39,11.42,7.64097,900
2012-03-16,11.32,11.48,11.31,11.4,7.627581,4400
2012-03-19,11.31,11.54,11.27,11.5,7.694495,5000
2012-03-20,11.5,12.31,11.49,12.16,8.136092,15400
2012-03-21,12.22,12.22,12.02,12.22,8.176238,8400
2012-03-22,12.2,12.3,12.11,12.3,8.229763,4000
2012-03-23,12.24,12.32,11.92,12.31,8.236453,2800
2012-03-26,12.49,12.5,12.28,12.48,8.350197,2800
2012-03-27,12.47,12.5,12.26,12.3,8.229763,2500
2012-03-28,12.45,12.49,12.39,12.39,8.28998,3900
2012-03-29,12.42,12.5,12.38,12.41,8.303364,1100
2012-03-30,12.49,12.49,12.28,12.28,8.216378,1200
2012-04-02,12.34,12.49,12.3,12.42,8.310052,2800
2012-04-03,12.49,12.5,12.23,12.33,8.249835,6300
2012-04-04,12.3,12.41,12.25,12.26,8.203001,12500
2012-04-05,12.22,12.37,12.2,12.31,8.236453,2600
2012-04-09,12.2,12.45,12.2,12.25,8.19631,3100
2012-04-10,12.32,12.5,12.3,12.47,8.343508,4600
2012-04-11,12.5,12.71,12.41,12.65,8.463943,4800
2012-04-12,12.55,12.92,12.55,12.91,8.637904,6000
2012-04-13,12.75,12.75,12.6,12.6,8.43049,600
2012-04-16,12.66,12.97,12.66,12.75,8.530851,1500
2012-04-17,12.92,13.0,12.77,12.84,8.59107,2200
2012-04-18,12.83,12.83,12.73,12.73,8.517469,1200
2012-04-19,12.79,12.79,12.57,12.66,8.470634,1000
2012-04-20,12.81,12.81,12.6,12.66,8.470634,2400
2012-04-23,12.6,12.6,12.6,12.6,8.43049,3900
2012-04-24,12.7,13.0,12.7,12.83,8.584378,1500
2012-04-25,12.71,12.75,12.71,12.75,8.530851,1200
2012-04-26,12.6,12.91,12.6,12.76,8.639181,3000
2012-04-27,12.77,12.78,12.06,12.5,8.463148,2000
2012-04-30,12.1,12.17,12.06,12.17,8.239721,2300
2012-05-01,12.2,12.48,12.1,12.41,8.40221,4400
2012-05-02,12.22,12.45,12.22,12.32,8.341275,3700
2012-05-03,12.3,12.51,12.3,12.5,8.463148,6200
2012-05-04,12.4,12.96,12.31,12.46,8.43606,2700
2012-05-07,12.94,12.96,12.55,12.79,8.659492,2500
2012-05-08,12.74,13.0,12.32,12.8,8.66626,2300
2012-05-09,12.76,12.89,12.31,12.89,8.727196,2100
2012-05-10,12.93,12.93,12.68,12.69,8.591785,700
2012-05-11,12.68,12.94,12.68,12.94,8.761048,400
2012-05-14,12.92,12.97,12.52,12.58,8.517313,1000
2012-05-15,12.66,12.75,12.55,12.61,8.537621,1100
2012-05-16,12.78,12.85,12.55,12.55,8.496999,700
2012-05-17,12.58,12.6,12.26,12.33,8.348046,1500
2012-05-18,12.36,12.9,12.2,12.3,8.327737,1600
2012-05-21,12.33,12.5,12.16,12.41,8.40221,2900
2012-05-22,12.44,12.49,12.07,12.25,8.293881,7000
2012-05-23,12.21,12.35,12.21,12.35,8.361587,11000
2012-05-24,12.35,12.57,12.35,12.57,8.510541,400
2012-05-25,12.59,12.59,12.4,12.46,8.43606,1800
2012-05-29,12.45,12.62,12.44,12.62,8.544393,1600
2012-05-30,12.46,12.6,12.17,12.17,8.239721,3800
2012-05-31,12.24,12.28,12.24,12.25,8.293881,10500
2012-06-01,12.06,12.06,12.06,12.06,8.165244,1400
2012-06-04,12.03,12.22,11.74,11.94,8.083995,5100
2012-06-05,11.91,12.4,11.8,11.86,8.029832,5700
2012-06-06,11.97,12.4,11.19,12.03,8.144932,2600
2012-06-07,11.97,12.49,11.4,12.03,8.144932,1800
2012-06-08,11.75,12.2,11.5,11.92,8.070458,2200
2012-06-11,12.12,12.12,12.12,12.12,8.205866,1300
2012-06-12,12.14,12.14,11.55,11.97,8.10431,4200
2012-06-13,11.95,12.02,11.89,11.9,8.056915,1600
2012-06-14,11.96,12.5,11.75,12.35,8.361587,3300
2012-06-15,12.32,12.8,12.0,12.17,8.239721,3000
2012-06-18,11.75,12.08,11.75,12.07,8.17201,6500
2012-06-19,12.1,12.48,12.1,12.48,8.449605,3300
2012-06-20,12.49,12.52,12.18,12.5,8.463148,2500
2012-06-21,12.51,12.94,12.41,12.54,8.490226,7300
2012-06-22,12.66,13.45,12.21,12.21,8.266801,19300
2012-06-25,12.27,12.6,12.02,12.15,8.226176,2600
2012-06-26,12.23,12.87,12.14,12.2,8.260033,5100
2012-06-27,12.2,12.5,12.1,12.4,8.395441,2600
2012-06-28,12.02,12.1,11.65,11.92,8.070458,5100
2012-06-29,12.02,12.03,11.77,11.89,8.050145,2300
2012-07-02,11.91,11.99,11.52,11.99,8.117851,5200
2012-07-03,11.85,12.11,11.85,12.11,8.199095,700
2012-07-05,12.23,12.23,11.48,12.1,8.192327,2800
2012-07-06,12.15,12.15,12.15,12.15,8.226176,200
2012-07-09,12.19,12.23,11.88,12.18,8.246489,2200
2012-07-10,12.23,12.23,11.91,11.92,8.070458,1000
2012-07-11,12.19,12.19,11.82,12.02,8.138161,600
2012-07-12,12.06,12.08,12.03,12.03,8.144932,800
2012-07-13,12.39,12.39,12.3,12.3,8.327737,900
2012-07-16,12.33,12.33,12.1,12.29,8.320965,9300
2012-07-17,12.18,12.29,12.09,12.09,8.185557,2300
2012-07-18,12.14,12.3,12.09,12.3,8.327737,1000
2012-07-19,12.28,12.28,11.95,11.95,8.090767,1700
2012-07-20,11.89,11.96,11.85,11.85,8.023065,2700
2012-07-23,11.85,12.18,11.85,11.92,8.070458,2900
2012-07-24,12.0,12.34,12.0,12.02,8.138161,3100
2012-07-25,12.15,12.34,12.15,12.25,8.293881,2100
2012-07-26,12.39,12.55,12.39,12.54,8.490226,1400
2012-07-27,12.24,12.54,11.7,12.54,8.593014,4600
2012-07-30,11.9,12.22,11.9,12.22,8.373737,1700
2012-07-31,11.88,11.91,11.86,11.86,8.12705,2000
2012-08-01,11.89,12.2,11.89,11.9,8.154454,4000
2012-08-02,11.94,12.22,11.93,12.15,8.325768,10200
2012-08-03,12.13,12.89,12.01,12.89,8.832853,8600
2012-08-06,12.89,13.69,12.89,12.98,8.894522,15000
2012-08-07,12.82,13.25,12.4,12.67,8.682096,6900
2012-08-08,12.56,12.56,12.2,12.31,8.43541,2100
2012-08-09,12.25,12.43,12.15,12.21,8.366884,2800
2012-08-10,12.29,12.29,12.17,12.25,8.39429,400
2012-08-13,12.26,12.31,12.11,12.11,8.298355,1100
2012-08-14,12.21,12.21,12.19,12.19,8.35318,800
2012-08-15,12.3,12.6,12.0,12.6,8.634133,2000
2012-08-16,12.25,12.3,12.02,12.26,8.401144,2600
2012-08-17,12.16,12.16,11.95,11.97,8.202425,40000
2012-08-20,11.99,11.99,11.75,11.82,8.099637,7900
2012-08-21,11.82,11.91,11.75,11.79,8.079079,1500
2012-08-22,11.8,11.8,11.8,11.8,8.085933,500
2012-08-23,11.81,11.81,10.85,11.22,7.688487,1500
2012-08-24,11.2,11.55,11.0,11.55,7.914621,1000
2012-08-27,11.37,11.37,11.2,11.21,7.681635,1700
2012-08-28,11.21,11.21,11.21,11.21,7.681635,0
2012-08-29,11.2,12.02,11.2,11.99,8.216129,49600
2012-08-30,11.71,11.73,11.2,11.73,8.037963,1100
2012-08-31,11.22,11.38,11.21,11.25,7.709042,5800
2012-09-04,11.11,11.25,10.75,10.97,7.517175,6000
2012-09-05,10.95,11.25,10.87,10.87,7.448654,1300
2012-09-06,10.94,11.0,10.77,10.97,7.517175,3600
2012-09-07,10.66,10.72,10.66,10.72,7.345866,2400
2012-09-10,10.7,10.7,10.58,10.69,7.325307,2200
2012-09-11,10.65,10.65,10.17,10.17,6.968976,6400
2012-09-12,10.17,10.17,9.57,9.7,6.646909,8300
2012-09-13,9.62,9.99,9.28,9.86,6.75655,6900
2012-09-14,9.81,9.82,9.44,9.69,6.640056,5200
2012-09-17,9.7,9.84,9.11,9.26,6.3454,21400
2012-09-18,9.26,9.39,8.4,8.7,5.96166,21800
2012-09-19,8.61,8.78,8.42,8.58,5.879431,12500
2012-09-20,8.59,9.0,8.51,8.76,6.002777,8700
2012-09-21,8.85,9.45,8.85,9.45,6.475597,5400
2012-09-24,9.4,9.47,9.0,9.3,6.372812,6300
2012-09-25,9.37,9.83,9.23,9.23,6.324841,4300
2012-09-26,9.49,9.57,9.34,9.34,6.400221,5000
2012-09-27,9.38,10.1,9.35,9.88,6.770256,15500
2012-09-28,9.89,9.99,9.76,9.76,6.688025,9100
2012-10-01,9.77,9.77,9.5,9.6,6.578385,3400
2012-10-02,9.66,9.66,9.27,9.28,6.359105,1100
2012-10-03,9.27,9.77,9.27,9.52,6.523564,1700
2012-10-04,9.35,9.77,9.31,9.69,6.640056,7200
2012-10-05,9.5,9.53,9.5,9.5,6.509862,1100
2012-10-08,9.56,9.79,9.56,9.68,6.633206,7000
2012-10-09,9.64,9.76,9.4,9.46,6.482451,2300
2012-10-10,9.4,9.73,9.4,9.54,6.537272,5700
2012-10-11,9.46,9.65,9.46,9.46,6.482451,4100
2012-10-12,9.48,9.65,9.48,9.48,6.496155,19500
2012-10-15,9.49,9.65,9.43,9.6,6.578385,1900
2012-10-16,9.61,9.65,9.34,9.34,6.400221,8000
2012-10-17,9.5,9.5,9.42,9.49,6.503008,1000
2012-10-18,9.5,9.5,9.4,9.4,6.441337,11600
2012-10-19,9.49,9.49,9.35,9.4,6.441337,5700
2012-10-22,9.38,9.63,9.38,9.41,6.448185,4500
2012-10-23,9.37,10.1,9.33,9.9,6.783958,12900
2012-10-24,10.0,10.14,9.81,9.82,6.729141,9800
2012-10-25,9.81,9.87,9.81,9.84,6.847439,1400
2012-10-26,9.87,9.99,9.82,9.91,6.89615,7400
2012-10-31,9.88,9.95,9.88,9.95,6.923984,1600
2012-11-01,9.95,9.95,9.61,9.94,6.917027,1200
2012-11-02,9.99,9.99,9.61,9.84,6.847439,3500
2012-11-05,9.81,9.9,9.57,9.57,6.65955,5300
2012-11-06,9.63,9.88,9.31,9.43,6.562131,3300
2012-11-07,9.33,9.49,9.25,9.25,6.436871,7400
2012-11-08,9.29,9.29,8.75,8.98,6.248984,14900
2012-11-09,9.01,9.36,8.82,9.36,6.513417,2700
2012-11-12,9.26,9.28,8.89,9.05,6.297695,5800
2012-11-13,8.91,9.69,8.9,9.24,6.429914,6300
2012-11-14,9.1,9.28,8.76,8.8,6.123727,13900
2012-11-15,8.9,9.43,8.8,8.89,6.186355,2600
2012-11-16,8.87,9.09,8.81,8.85,6.15852,3500
2012-11-19,8.96,9.66,8.79,8.9,6.193314,9100
2012-11-20,9.06,9.08,8.83,8.88,6.179397,3000
2012-11-21,8.86,8.99,8.86,8.97,6.242023,5700
2012-11-23,8.97,8.97,8.95,8.95,6.228107,900
2012-11-26,8.99,9.21,8.92,9.13,6.353365,7700
2012-11-27,9.25,9.35,9.1,9.24,6.429914,8400
2012-11-28,9.0,9.35,9.0,9.35,6.50646,1600
2012-11-29,9.37,9.37,9.0,9.23,6.422952,5000
2012-11-30,9.12,9.43,8.96,9.12,6.346405,4600
2012-12-03,9.1,9.46,9.1,9.14,6.360325,1300
2012-12-04,9.0,9.26,9.0,9.18,6.388161,2900
2012-12-05,9.21,9.38,9.0,9.07,6.311614,4600
2012-12-06,9.17,9.32,9.05,9.32,6.485583,700
2012-12-07,9.24,9.4,9.14,9.34,6.499499,2800
2012-12-10,9.36,9.36,9.17,9.26,6.443829,1400
2012-12-11,9.26,9.34,9.26,9.34,6.499499,700
2012-12-12,9.17,9.2,9.17,9.2,6.402077,1400
2012-12-13,9.05,9.3,9.01,9.15,6.367282,2600
2012-12-14,9.11,9.11,8.94,9.0,6.2629,3500
2012-12-17,8.98,9.33,8.8,9.14,6.360325,10200
2012-12-18,9.04,9.35,8.85,9.1,6.332489,4400
2012-12-19,9.04,9.36,8.84,9.22,6.415994,1400
2012-12-20,9.11,9.11,8.81,9.06,6.304654,3000
2012-12-21,9.17,9.25,8.94,9.25,6.436871,32200
2012-12-24,9.0,9.33,9.0,9.29,6.464708,4600
2012-12-26,9.2,9.2,8.8,8.93,6.214192,9600
2012-12-27,8.99,9.0,8.92,8.92,6.207231,2500
2012-12-28,8.91,9.29,8.91,9.0,6.2629,8900
2012-12-31,8.91,9.18,8.82,8.97,6.242023,7800
2013-01-02,8.95,9.5,8.95,9.48,6.596922,9700
2013-01-03,9.43,9.88,9.02,9.22,6.415994,2800
2013-01-04,9.04,9.85,9.0,9.44,6.569088,3800
2013-01-07,9.37,9.4,9.13,9.36,6.513417,2100
2013-01-08,9.36,9.98,9.36,9.84,6.847439,4300
2013-01-09,9.68,9.68,9.36,9.5,6.610841,1400
2013-01-10,9.62,9.7,9.5,9.7,6.750014,7900
2013-01-11,9.7,9.7,9.7,9.7,6.750014,0
2013-01-14,9.75,9.99,9.72,9.72,6.763936,3800
2013-01-15,9.61,9.8,9.5,9.52,6.624758,3000
2013-01-16,9.6,9.79,9.45,9.77,6.798728,3700
2013-01-17,9.45,9.69,9.45,9.69,6.743056,400
2013-01-18,9.56,9.8,9.56,9.64,6.708265,3900
2013-01-22,9.64,9.8,9.64,9.8,6.819604,600
2013-01-23,9.84,9.84,9.55,9.8,6.819604,2600
2013-01-24,9.71,9.89,9.71,9.89,6.882234,400
2013-01-25,9.56,9.89,9.56,9.75,6.784809,3100
2013-01-28,9.69,9.89,9.69,9.83,6.947363,1400
2013-01-29,9.84,9.85,9.68,9.69,6.848416,2700
2013-01-30,9.59,9.59,9.45,9.56,6.756539,900
2013-01-31,9.45,9.68,9.43,9.68,6.841352,1600
2013-02-01,9.68,9.68,9.52,9.67,6.834282,800
2013-02-04,9.68,9.68,9.58,9.58,6.770675,500
2013-02-05,9.64,9.68,9.45,9.68,6.841352,1100
2013-02-06,9.68,9.79,9.66,9.76,6.89789,4800
2013-02-07,9.77,9.77,9.45,9.73,6.876687,1600
2013-02-08,9.7,9.73,9.68,9.73,6.876687,1000
2013-02-11,9.74,9.81,9.68,9.77,6.904959,1600
2013-02-12,9.65,9.71,9.65,9.7,6.855484,6900
2013-02-13,9.59,9.64,9.59,9.59,6.777743,1900
2013-02-14,9.73,10.0,9.7,9.95,7.032171,16000
2013-02-15,9.99,10.02,9.85,9.85,6.961499,6000
2013-02-19,9.85,9.9,9.85,9.9,6.996835,1200
2013-02-20,9.9,9.9,9.6,9.62,6.798944,11200
2013-02-21,9.82,9.85,9.45,9.71,6.862552,4900
2013-02-22,9.73,9.85,9.58,9.78,6.912024,4600
2013-02-25,9.78,9.78,9.42,9.47,6.692933,3400
2013-02-26,9.62,9.78,9.62,9.78,6.912024,300
2013-02-27,9.54,9.73,9.54,9.62,6.798944,1200
2013-02-28,9.69,9.69,9.45,9.45,6.678797,1100
2013-03-01,9.73,9.75,9.69,9.69,6.848416,600
2013-03-04,9.68,9.69,9.42,9.66,6.827214,1500
2013-03-05,9.64,9.85,9.56,9.77,6.904959,7600
2013-03-06,9.77,9.78,9.51,9.75,6.890822,900
2013-03-07,9.74,9.74,9.74,9.74,6.883756,200
