Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,2.61,2.63,2.55,2.58,2.58,1099900
2012-02-07,2.58,2.61,2.46,2.6,2.6,2887800
2012-02-08,2.61,2.78,2.58,2.75,2.75,4068100
2012-02-09,2.77,2.96,2.76,2.92,2.92,3878400
2012-02-10,2.92,3.13,2.89,3.07,3.07,4467100
2012-02-13,3.14,3.16,2.86,2.94,2.94,3342500
2012-02-14,2.93,2.93,2.71,2.73,2.73,3956700
2012-02-15,2.48,2.5,2.26,2.4,2.4,15937100
2012-02-16,2.44,2.5,2.35,2.44,2.44,2575600
2012-02-17,2.43,2.47,2.41,2.45,2.45,2576500
2012-02-21,2.47,2.54,2.45,2.51,2.51,4456900
2012-02-22,2.5,2.55,2.46,2.48,2.48,2431400
2012-02-23,2.48,2.49,2.45,2.46,2.46,1854600
2012-02-24,2.46,2.5,2.46,2.48,2.48,1840800
2012-02-27,2.47,2.49,2.46,2.47,2.47,1238200
2012-02-28,2.46,2.5,2.4,2.49,2.49,3485100
2012-02-29,2.51,2.52,2.39,2.39,2.39,2644200
2012-03-01,2.4,2.41,2.35,2.36,2.36,1813500
2012-03-02,2.35,2.37,2.31,2.32,2.32,1601000
2012-03-05,2.31,2.32,2.25,2.25,2.25,3457800
2012-03-06,2.23,2.25,2.15,2.15,2.15,3638300
2012-03-07,2.18,2.23,2.16,2.2,2.2,1695400
2012-03-08,2.25,2.28,2.21,2.24,2.24,2133400
2012-03-09,2.25,2.26,2.19,2.19,2.19,1968900
2012-03-12,2.19,2.21,2.14,2.16,2.16,2373700
2012-03-13,2.19,2.19,2.14,2.16,2.16,3726200
2012-03-14,2.16,2.25,2.16,2.23,2.23,2804500
2012-03-15,2.25,2.36,2.24,2.35,2.35,2761800
2012-03-16,2.33,2.34,2.25,2.3,2.3,2367800
2012-03-19,2.31,2.32,2.25,2.29,2.29,2187300
2012-03-20,2.26,2.33,2.24,2.26,2.26,1490300
2012-03-21,2.26,2.3,2.22,2.27,2.27,1441200
2012-03-22,2.25,2.28,2.21,2.22,2.22,1452500
2012-03-23,2.21,2.22,2.19,2.22,2.22,1109900
2012-03-26,2.24,2.27,2.21,2.21,2.21,1773700
2012-03-27,2.21,2.25,2.21,2.21,2.21,931000
2012-03-28,2.21,2.22,2.15,2.18,2.18,1863100
2012-03-29,2.16,2.18,2.15,2.16,2.16,1577100
2012-03-30,2.19,2.23,2.16,2.21,2.21,1384200
2012-04-02,2.21,2.25,2.16,2.25,2.25,2355700
2012-04-03,2.24,2.27,2.21,2.23,2.23,874700
2012-04-04,2.2,2.21,2.15,2.16,2.16,1769200
2012-04-05,2.17,2.17,2.1,2.15,2.15,1396100
2012-04-09,2.1,2.13,2.1,2.11,2.11,993100
2012-04-10,2.12,2.15,1.98,1.99,1.99,4940800
2012-04-11,2.0,2.11,1.96,2.11,2.11,3331500
2012-04-12,2.12,2.15,2.07,2.14,2.14,1498200
2012-04-13,2.12,2.12,2.03,2.04,2.04,1051600
2012-04-16,2.05,2.1,1.98,1.99,1.99,3498800
2012-04-17,2.02,2.18,2.01,2.12,2.12,5879100
2012-04-18,2.12,2.2,2.08,2.11,2.11,1539200
2012-04-19,2.12,2.14,2.05,2.07,2.07,1398200
2012-04-20,2.13,2.13,2.04,2.06,2.06,1168600
2012-04-23,2.02,2.08,2.0,2.05,2.05,1386100
