Date,Open,High,Low,Close,Adj Close,Volume
2014-07-29,9.0,9.19,8.835,8.935,5.408114,5296400
2014-07-30,8.86,8.895,8.65,8.655,5.238637,371400
2014-07-31,8.575,8.7415,8.405,8.565,5.184162,179400
2014-08-01,8.725,8.725,8.45,8.595,5.20232,122600
2014-08-04,8.875,8.895,8.575,8.75,5.296136,117200
2014-08-05,8.68,8.71,8.525,8.615,5.214426,46600
2014-08-06,8.75,8.85,8.651,8.85,5.356665,74800
2014-08-07,8.875,8.875,8.75,8.805,5.329427,39800
2014-08-08,8.675,8.85,8.675,8.825,5.341532,40600
2014-08-11,8.955,8.955,8.75,8.87,5.368769,36800
2014-08-12,8.795,8.825,8.7,8.775,5.311269,45800
2014-08-13,8.705,8.845,8.575,8.6,5.205346,51400
2014-08-14,8.73,8.875,8.73,8.83,5.344557,19200
2014-08-15,8.795,8.875,8.75,8.75,5.296136,51200
2014-08-18,8.865,8.875,8.755,8.87,5.368769,15400
2014-08-19,8.72,8.925,8.72,8.825,5.341532,26800
2014-08-20,8.925,8.95,8.75,8.755,5.299163,46200
2014-08-21,8.8,8.95,8.775,8.84,5.350612,35000
2014-08-22,8.84,8.98,8.605,8.935,5.408114,47000
2014-08-25,8.935,8.95,8.63,8.715,5.274953,124400
2014-08-26,8.765,8.895,8.75,8.875,5.371796,35400
2014-08-27,8.755,8.9,8.755,8.85,5.356665,48000
2014-08-28,8.72,8.875,8.72,8.835,5.347584,45400
2014-08-29,8.75,8.87,8.705,8.765,5.305216,54400
2014-09-02,8.88,8.88,8.757,8.825,5.341532,67600
2014-09-03,8.725,8.87,8.635,8.735,5.287058,69600
2014-09-04,8.65,8.75,8.63,8.735,5.287058,51600
2014-09-05,8.68,8.745,8.625,8.7,5.265873,29400
2014-09-08,8.595,8.72,8.545,8.695,5.262847,32800
2014-09-09,8.73,8.73,8.64,8.71,5.271926,37400
2014-09-10,8.6,8.66,8.5,8.6,5.205346,49000
2014-09-11,8.565,8.73,8.5,8.55,5.175083,48800
2014-09-12,8.72,8.72,8.385,8.5,5.144819,48600
2014-09-15,8.435,8.5,8.25,8.335,5.04495,99400
2014-09-16,8.34,8.35,8.25,8.315,5.032843,52000
2014-09-17,8.325,8.55,8.25,8.285,5.014686,117000
2014-09-18,8.32,8.375,8.25,8.32,5.03587,76800
2014-09-19,8.265,8.35,8.25,8.34,5.047975,248200
2014-09-22,8.305,8.415,8.0,8.155,4.936,130200
2014-09-23,8.3,8.55,7.885,8.55,5.175083,186800
2014-09-24,8.425,8.87,8.425,8.695,5.262847,94600
2014-09-25,8.65,8.87,8.555,8.65,5.23561,67200
2014-09-26,8.54,8.855,8.54,8.69,5.25982,51200
2014-09-29,8.775,8.955,8.745,8.8675,5.367256,93000
2014-09-30,8.815,8.875,8.625,8.685,5.256794,553200
2014-10-01,8.7,8.85,8.435,8.545,5.172055,61000
2014-10-02,8.285,8.745,8.285,8.555,5.178109,40000
2014-10-03,8.655,8.845,8.445,8.685,5.256794,22600
2014-10-06,8.69,8.83,8.265,8.4,5.084292,73800
2014-10-07,8.4,8.685,8.3,8.325,5.038896,73400
2014-10-08,8.275,8.615,7.975,8.61,5.211399,46600
2014-10-09,8.62,8.62,8.4055,8.615,5.214426,38600
2014-10-10,8.54,8.605,8.295,8.6,5.205346,26800
2014-10-13,8.585,8.62,8.25,8.54,5.16903,64400
2014-10-14,8.5,8.6,8.27,8.565,5.184162,71600
2014-10-15,8.5,8.62,8.36,8.52,5.156924,114400
2014-10-16,8.545,8.545,8.215,8.26,4.999552,141400
2014-10-17,8.38,8.46,8.25,8.295,5.020737,22200
2014-10-20,8.255,8.4,8.255,8.35,5.054029,16000
2014-10-21,8.35,8.48,8.155,8.345,5.051002,64400
2014-10-22,8.35,8.38,8.085,8.25,4.993501,39200
2014-10-23,8.28,8.62,8.165,8.61,5.211399,64000
2014-10-24,8.555,8.555,8.15,8.19,4.957183,41000
2014-10-27,8.145,8.145,7.975,8.08,4.890604,32000
2014-10-28,8.125,8.125,7.95,8.07,4.884552,54800
2014-10-29,8.05,8.09,7.92,8.075,4.887578,41000
2014-10-30,8.0625,8.125,7.75,7.995,4.839155,47200
2014-10-31,8.11,8.325,8.075,8.1,4.902709,67400
2014-11-03,8.1,8.1,7.82,7.93,4.799812,38000
2014-11-04,7.935,8.0,7.715,7.805,4.724154,24400
2014-11-05,7.83,7.995,7.81,7.93,4.799812,24800
2014-11-06,8.0,8.375,7.75,8.27,5.005606,43600
2014-11-07,8.28,8.37,8.125,8.33,5.041923,23800
2014-11-10,8.3,8.3,7.965,8.165,4.942051,22000
2014-11-11,8.095,8.2,7.952,8.055,4.875472,24400
2014-11-12,8.065,8.37,8.065,8.35,5.054029,45600
2014-11-13,8.21,8.32,7.967,8.175,4.948105,38200
2014-11-14,8.24,8.33,7.95,8.12,4.914814,60200
2014-11-17,8.16,8.805,8.16,8.76,5.30219,82000
2014-11-18,8.73,8.86,8.455,8.58,5.19324,32200
2014-11-19,8.505,8.505,7.975,8.36,5.060081,69000
2014-11-20,8.275,8.5095,7.905,8.05,4.872446,54200
2014-11-21,8.135,8.135,7.8,7.89,4.775602,41200
2014-11-24,7.935,8.05,7.435,7.48,4.527441,100600
2014-11-25,7.39,7.54,6.99,7.06,4.342898,119400
2014-11-26,7.105,7.58,6.965,7.06,4.342898,59400
2014-11-28,7.055,7.4075,7.005,7.005,4.309065,10200
2014-12-01,7.085,7.4035,6.53,6.72,4.13375,72800
2014-12-02,6.58,6.99,6.58,6.72,4.13375,46600
2014-12-03,6.765,6.92,6.6,6.765,4.161431,60600
2014-12-04,6.87,6.995,6.805,6.865,4.222945,64400
2014-12-05,6.83,6.99,6.765,6.985,4.296762,36800
2014-12-08,6.92,7.0,6.75,6.905,4.247552,87400
2014-12-09,6.95,7.125,6.802,6.95,4.275232,45400
2014-12-10,6.81,6.975,6.81,6.925,4.259854,48800
2014-12-11,6.925,7.128,6.91,7.025,4.321368,54200
2014-12-12,6.96,7.435,6.96,7.365,4.530515,60600
