Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,18.629999,18.67,18.23,18.299999,14.002732,192900
2012-02-07,18.209999,18.209999,17.9,18.049999,13.811437,211100
2012-02-08,18.059999,18.219999,18.049999,18.219999,13.941518,218500
2012-02-09,18.25,18.25,17.809999,18.02,13.788481,192300
2012-02-10,17.790001,18.040001,17.450001,17.99,13.765526,291200
2012-02-13,18.15,18.389999,17.98,18.389999,14.071596,221500
2012-02-14,18.25,18.25,17.879999,17.940001,13.727268,234800
2012-02-15,17.99,18.16,17.629999,17.879999,13.681355,284400
2012-02-16,17.889999,18.18,17.790001,18.01,13.780831,279900
2012-02-17,18.0,18.040001,17.76,17.84,13.650745,201700
2012-02-21,17.950001,18.129999,17.950001,17.98,13.757874,285600
2012-02-22,17.99,18.09,17.940001,17.98,13.757874,220800
2012-02-23,18.0,18.35,17.83,18.139999,13.880301,344700
2012-02-24,18.129999,18.15,17.92,18.110001,13.857347,218100
2012-02-27,17.99,18.33,17.809999,18.040001,13.803785,389600
2012-02-28,18.110001,18.450001,18.08,18.200001,13.926213,210600
2012-02-29,18.24,18.49,17.889999,18.02,13.788481,426400
2012-03-01,18.1,18.24,17.85,17.889999,13.689007,282900
2012-03-02,17.889999,18.0,17.440001,17.459999,13.359982,288600
2012-03-05,17.450001,17.58,17.17,17.530001,13.413546,155900
2012-03-06,17.309999,17.540001,17.17,17.290001,13.229902,171000
2012-03-07,17.309999,17.629999,17.190001,17.52,13.405894,214600
2012-03-08,17.6,17.84,17.469999,17.77,13.597186,171200
2012-03-09,17.809999,18.16,17.68,17.93,13.719617,212300
2012-03-12,17.93,18.120001,17.719999,18.01,13.780831,188900
2012-03-13,18.219999,18.33,18.040001,18.33,14.025685,245700
2012-03-14,18.290001,18.34,17.75,17.780001,13.604843,267800
2012-03-15,17.809999,18.18,17.75,18.18,13.910911,208300
2012-03-16,18.25,18.27,17.92,18.18,13.910911,324000
2012-03-19,18.08,18.690001,17.99,18.41,14.0869,215900
2012-03-20,18.290001,18.57,18.280001,18.360001,14.04864,241700
2012-03-21,18.370001,18.5,18.1,18.120001,13.865,186600
2012-03-22,17.99,18.27,17.92,18.27,13.979774,244500
2012-03-23,18.24,18.75,18.190001,18.58,14.216978,305500
2012-03-26,18.709999,19.17,18.709999,19.1,14.614874,212100
2012-03-27,19.18,19.389999,19.01,19.27,14.744954,159500
2012-03-28,19.290001,19.549999,19.17,19.280001,14.752604,172000
2012-03-29,19.08,19.389999,18.940001,19.290001,14.760254,164900
2012-03-30,19.440001,19.450001,19.24,19.379999,14.829118,170700
2012-04-02,19.299999,19.68,19.200001,19.65,15.035722,287800
2012-04-03,19.65,19.690001,19.26,19.389999,14.836768,169200
2012-04-04,19.17,19.17,18.75,18.92,14.477136,170100
2012-04-05,18.879999,18.93,18.75,18.799999,14.385321,124000
2012-04-09,18.459999,18.68,18.33,18.530001,14.178722,137800
2012-04-10,18.43,18.49,18.059999,18.09,13.842043,169500
2012-04-11,18.32,18.35,18.02,18.209999,13.933864,142300
2012-04-12,18.209999,18.690001,18.209999,18.52,14.171071,122300
2012-04-13,18.4,18.43,18.309999,18.360001,14.04864,273300
2012-04-16,18.42,18.459999,18.110001,18.15,13.887955,451800
2012-04-17,18.27,18.610001,18.219999,18.57,14.20933,332900
2012-04-18,18.49,18.82,18.42,18.75,14.347059,193400
2012-04-19,18.77,18.969999,18.32,18.4,14.079249,282600
2012-04-20,18.77,19.16,18.57,18.98,14.523049,358000
2012-04-23,18.67,18.75,18.35,18.549999,14.194024,224600
2012-04-24,18.530001,19.01,18.5,18.719999,14.324105,239800
2012-04-25,19.02,19.18,18.879999,18.969999,14.515399,234500
