Date,Open,High,Low,Close,Adj Close,Volume
2018-02-08,21.1,21.84,19.860001,20.25,19.668528,14956100
2018-02-09,20.360001,21.1,19.18,20.4,19.814219,1350600
2018-02-12,20.42,21.48,20.42,20.9,20.299862,529500
2018-02-13,20.5,22.58,20.5,21.43,20.814644,717800
2018-02-14,20.629999,23.74,20.620001,22.0,21.368275,1418000
2018-02-15,22.02,23.610001,21.917999,23.41,22.737785,568300
2018-02-16,23.370001,24.790001,23.024,24.57,23.864479,566800
2018-02-20,24.57,25.0,24.51,24.84,24.126724,637700
2018-02-21,24.790001,25.75,24.174999,24.68,23.971321,592900
2018-02-22,24.27,25.200001,23.790001,25.190001,24.466677,607000
2018-02-23,25.190001,25.25,24.709999,25.200001,24.476389,461900
2018-02-26,25.0,25.5,24.690001,25.219999,24.495815,446600
2018-02-27,25.030001,25.43,24.780001,25.24,24.51524,248000
2018-02-28,25.25,25.4,23.6,24.610001,23.90333,537100
2018-03-01,24.549999,24.58,23.76,24.540001,23.835344,580100
2018-03-02,24.59,24.719999,23.690001,24.66,23.951895,323500
2018-03-05,24.610001,25.219999,23.809999,24.93,24.21414,749000
2018-03-06,25.139999,26.27,25.0,25.610001,24.874617,553900
2018-03-07,25.469999,25.940001,24.84,25.48,24.74835,340900
2018-03-08,25.530001,26.030001,25.17,26.030001,25.282555,264500
2018-03-09,26.24,26.993999,25.51,26.33,25.57394,375700
2018-03-12,26.379999,27.49,26.160999,26.85,26.079008,319600
2018-03-13,27.139999,27.790001,26.629999,26.68,25.913889,434000
2018-03-14,26.76,27.77,26.0,27.309999,26.525801,376900
2018-03-15,27.25,27.959999,25.955,26.27,25.515663,417300
2018-03-16,26.290001,26.5,25.65,26.43,25.67107,3311300
2018-03-19,26.530001,27.200001,26.355,27.16,26.380108,281600
2018-03-20,27.299999,27.309999,26.66,27.190001,26.409245,158200
2018-03-21,27.24,27.469999,27.09,27.370001,26.584078,98700
2018-03-22,27.200001,27.370001,26.792,27.1,26.321833,93500
2018-03-23,27.25,27.370001,26.610001,26.620001,25.855614,297400
2018-03-26,26.84,27.48,26.745001,27.200001,26.418959,630000
2018-03-27,27.290001,27.49,26.15,26.389999,25.632215,146600
2018-03-28,26.33,26.709999,25.77,26.559999,25.797337,278700
2018-03-29,26.68,27.0,26.559999,26.93,26.15671,393700
2018-04-02,26.9,27.499001,26.18,26.34,25.583651,267100
2018-04-03,26.48,26.541,25.6,26.059999,25.311695,294300
2018-04-04,25.790001,26.9,25.58,26.66,25.894464,125900
2018-04-05,26.76,27.5,26.4,27.15,26.370392,419600
2018-04-06,27.23,27.75,25.65,26.049999,25.301979,399400
2018-04-09,26.120001,26.940001,25.615,26.66,25.894464,307000
2018-04-10,26.82,27.599001,26.711,27.360001,26.574366,249500
2018-04-11,27.35,28.799999,27.35,27.799999,27.001728,726100
2018-04-12,27.92,28.780001,26.990999,27.139999,26.36068,274000
2018-04-13,27.27,27.73,25.370001,26.92,26.146999,417200
2018-04-16,27.01,28.110001,27.0,27.389999,26.6035,322600
2018-04-17,27.49,28.0,26.9,27.9,27.098856,369600
2018-04-18,28.059999,29.129999,28.059999,28.709999,27.885597,390500
2018-04-19,28.76,29.85,27.58,28.120001,27.312542,356100
2018-04-20,28.040001,29.219999,27.73,29.190001,28.351814,133000
2018-04-23,29.18,29.959999,28.833,29.799999,28.944298,289700
2018-04-24,29.780001,29.809999,28.440001,28.51,27.691341,172900
2018-04-25,28.42,28.73,27.4,27.85,27.050295,260800
2018-04-26,27.860001,29.139999,27.35,28.4,27.584501,171600
2018-04-27,28.4,29.02,27.549999,28.959999,28.128422,298900
2018-04-30,28.9,29.450001,28.379999,28.709999,27.885597,166200
2018-05-01,28.57,28.809999,27.23,28.639999,27.817608,181500
