Date,Open,High,Low,Close,Adj Close,Volume
2020-09-04,3.25,9.0,3.25,5.52,5.52,364400
2020-09-08,5.6,5.6,4.01,4.95,4.95,283000
2020-09-09,3.7,4.9,3.1,4.0,4.0,104100
2020-09-10,3.5,4.1,3.5,3.75,3.75,76400
2020-09-11,3.5,4.15,3.5,3.97,3.97,203400
2020-09-14,3.7,4.8,3.6,4.8,4.8,139200
2020-09-15,4.3,4.9,3.81,4.1,4.1,171600
2020-09-16,3.6,4.2,3.6,4.0,4.0,69100
2020-09-17,4.0,4.0,3.55,3.9,3.9,70100
2020-09-18,3.425,4.0,3.425,3.8,3.8,110600
2020-09-21,3.65,3.8,3.39,3.55,3.55,94600
2020-09-22,3.8,4.0,3.445,3.6,3.6,50200
2020-09-23,3.6,4.1,3.55,3.75,3.75,75700
2020-09-24,3.66,3.98,3.5,3.6,3.6,18000
2020-09-25,3.5,3.77,3.5,3.75,3.75,15600
2020-09-28,3.45,3.75,3.45,3.5,3.5,30100
2020-09-29,3.45,3.69,3.1,3.1,3.1,31600
2020-09-30,3.19,3.19,2.35,2.35,2.35,98500
2020-10-01,2.35,2.35,1.81,2.0,2.0,106700
2020-10-02,2.0,2.0,1.8,1.81,1.81,38100
2020-10-05,1.9,2.05,1.7,1.92,1.92,28600
2020-10-06,1.7,2.04,1.7,2.0,2.0,21300
2020-10-07,2.0,2.2,2.0,2.1,2.1,43300
2020-10-08,2.0,3.1,2.0,3.0,3.0,82000
2020-10-09,3.05,3.25,2.8,3.043,3.043,17600
2020-10-12,2.91,3.2,2.91,3.1,3.1,22000
2020-10-13,1.4,3.16,1.4,3.0,3.0,14700
2020-10-14,3.0,3.39,2.95,3.39,3.39,28700
2020-10-15,2.75,3.3,2.75,3.2,3.2,22500
2020-10-16,3.2,3.45,3.2,3.45,3.45,13900
2020-10-19,2.04,4.15,2.04,3.8,3.8,20400
2020-10-20,3.8,3.8,3.5,3.79,3.79,9300
2020-10-21,4.9,4.9,3.5,3.55,3.55,16800
2020-10-22,3.5,4.0,3.21,3.68,3.68,32200
2020-10-23,3.2,3.8,3.11,3.59,3.59,13000
2020-10-26,3.1,3.59,3.1,3.15,3.15,18500
2020-10-27,3.1,3.79,3.1,3.14,3.14,8700
2020-10-28,3.14,3.45,2.9,3.39,3.39,11200
2020-10-29,3.0,3.43,2.93,3.0,3.0,24000
2020-10-30,2.635,3.4,2.635,2.97,2.97,10500
2020-11-02,2.46,3.28,2.46,3.0,3.0,54400
2020-11-03,3.05,3.15,2.95,3.02,3.02,31300
2020-11-04,3.02,3.1,2.98,3.1,3.1,5300
2020-11-05,3.0,3.25,3.0,3.05,3.05,9700
2020-11-06,3.0,3.06,3.0,3.01,3.01,5300
2020-11-09,2.975,3.15,2.95,3.15,3.15,19600
2020-11-10,3.04,3.3,3.04,3.25,3.25,28200
2020-11-11,2.96,3.32,2.96,3.32,3.32,5000
2020-11-12,3.35,3.4,3.09,3.2,3.2,12300
2020-11-13,3.15,3.2,3.14,3.2,3.2,12400
2020-11-16,3.24,3.35,3.24,3.3,3.3,13900
2020-11-17,2.95,3.3,2.95,3.3,3.3,12000
2020-11-18,3.25,3.45,3.16,3.25,3.25,26900
2020-11-19,2.85,3.34,2.85,3.16,3.16,8300
2020-11-20,3.15,3.16,2.86,3.1,3.1,25100
2020-11-23,2.96,3.15,2.96,3.15,3.15,17100
2020-11-24,3.25,3.34,3.15,3.25,3.25,15800
2020-11-25,3.15,3.4,3.1,3.4,3.4,9900
2020-11-27,3.4,3.5,3.37,3.4,3.4,9100
2020-11-30,3.05,3.48,3.05,3.33,3.33,19200
2020-12-01,3.47,3.5,3.3,3.37,3.37,20200
2020-12-02,3.125,3.49,3.125,3.31,3.31,5900
2020-12-03,3.1,3.65,3.0,3.65,3.65,9700
2020-12-04,3.2,3.75,3.2,3.56,3.56,25900
2020-12-07,3.05,3.615,3.05,3.52,3.52,8800
2020-12-08,3.55,3.6,3.4,3.43,3.43,22100
2020-12-09,3.4,3.54,3.2,3.4,3.4,15500
2020-12-10,3.3,3.5,3.28,3.32,3.32,30100
2020-12-11,3.32,3.4,3.1,3.4,3.4,8400
2020-12-14,3.12,3.21,3.12,3.18,3.18,4000
2020-12-15,3.18,3.49,3.0,3.1,3.1,15900
2020-12-16,3.07,3.2,3.07,3.1,3.1,21500
2020-12-17,3.1,3.235,3.01,3.02,3.02,8200
2020-12-18,3.0,3.09,1.51,2.52,2.52,65600
2020-12-21,2.5,2.59,2.0,2.36,2.36,17400
2020-12-22,2.325,2.5,2.08,2.29,2.29,8800
2020-12-23,2.5,2.79,2.29,2.56,2.56,11500
2020-12-24,2.4,2.74,2.4,2.48,2.48,3200
2020-12-28,2.01,2.52,2.01,2.32,2.32,9800
2020-12-29,2.32,2.45,2.11,2.43,2.43,7900
2020-12-30,2.115,2.3,2.115,2.25,2.25,16400
2020-12-31,2.16,2.18,1.81,1.9,1.9,38000
2021-01-04,1.9,2.24,1.82,2.0,2.0,9100
2021-01-05,2.0,2.22,2.0,2.15,2.15,14500
2021-01-06,2.03,2.15,2.03,2.15,2.15,6500
2021-01-07,2.02,2.04,2.01,2.03,2.03,7200
2021-01-08,2.03,3.84,2.0,2.02,2.02,26100
2021-01-11,2.02,2.25,1.96,2.12,2.12,18300
2021-01-12,1.8,2.16,1.8,1.97,1.97,6000
2021-01-13,1.97,2.08,1.95,2.08,2.08,6700
2021-01-14,2.1,2.15,1.98,1.98,1.98,6900
2021-01-15,1.96,2.0,1.96,1.98,1.98,2600
2021-01-19,2.16,2.16,1.81,2.0,2.0,11200
2021-01-20,2.25,2.25,1.85,1.88,1.88,6400
2021-01-21,1.8,1.87,1.8,1.87,1.87,4000
2021-01-22,1.85,1.87,1.85,1.85,1.85,9900
2021-01-25,1.84,1.92,1.8,1.92,1.92,12100
2021-01-26,1.8,1.8,1.79,1.8,1.8,18300
2021-01-27,1.66,1.98,1.6,1.75,1.75,19000
2021-01-28,1.65,1.91,1.5,1.55,1.55,10400
2021-01-29,1.5,1.6,1.5,1.54,1.54,5700
2021-02-01,1.52,1.68,1.52,1.53,1.53,3800
2021-02-02,1.5,1.91,1.5,1.61,1.61,8000
2021-02-03,1.61,1.84,1.55,1.65,1.65,8100
2021-02-04,1.65,1.86,1.58,1.83,1.83,6900
2021-02-05,1.92,2.09,1.73,2.0,2.0,8700
2021-02-08,2.0,2.09,1.61,2.09,2.09,9000
2021-02-09,1.685,2.16,1.685,2.06,2.06,10400
2021-02-10,2.0,2.1,1.98,2.02,2.02,28200
2021-02-11,1.85,2.19,1.85,2.15,2.15,25200
2021-02-12,2.2,2.24,2.15,2.2,2.2,12300
2021-02-16,2.2,2.42,2.02,2.2,2.2,12400
2021-02-17,2.18,2.45,2.18,2.45,2.45,12200
2021-02-18,2.45,2.59,2.4,2.45,2.45,20200
2021-02-19,2.43,2.5,2.41,2.47,2.47,9700
2021-02-22,2.51,3.0,2.0,2.99,2.99,26400
2021-02-23,2.0,3.0,2.0,2.91,2.91,17000
2021-02-24,2.89,3.06,2.81,2.84,2.84,37900
2021-02-25,2.8,3.39,2.52,2.83,2.83,15100
2021-02-26,2.89,3.09,2.55,2.8,2.8,9100
2021-03-01,2.62,3.0,2.62,2.8,2.8,10100
2021-03-02,1.9,2.79,1.9,2.78,2.78,5500
2021-03-03,2.5,3.0,2.5,2.97,2.97,36800
2021-03-04,3.16,3.16,2.5,2.8,2.8,26300
2021-03-05,2.51,2.92,2.45,2.67,2.67,7400
2021-03-08,3.01,3.1,2.51,2.85,2.85,5300
2021-03-09,2.72,3.08,2.72,2.74,2.74,2400
2021-03-10,3.09,3.1,2.72,2.74,2.74,6800
2021-03-11,2.74,3.07,2.71,2.79,2.79,9100
2021-03-12,2.795,2.95,2.73,2.92,2.92,5200
2021-03-15,2.5,2.95,2.5,2.83,2.83,6400
2021-03-16,2.82,2.92,2.55,2.92,2.92,11900
2021-03-17,2.58,2.94,2.58,2.92,2.92,14100
2021-03-18,2.68,2.95,2.55,2.78,2.78,12600
2021-03-19,2.79,3.0,2.66,2.97,2.97,7700
2021-03-22,2.97,3.12,2.72,3.12,3.12,17800
2021-03-23,2.9,3.12,2.84,2.93,2.93,16800
2021-03-24,2.82,3.26,2.82,2.97,2.97,5100
2021-03-25,2.83,3.1,2.82,3.01,3.01,4400
2021-03-26,3.08,3.4,3.08,3.18,3.18,3100
