Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,18.129999,18.360001,18.110001,18.27,14.636473,11400
2012-02-07,18.190001,18.309999,18.0,18.190001,14.572388,26100
2012-02-08,18.17,18.25,18.0,18.15,14.540342,19400
2012-02-09,18.129999,18.17,17.85,17.99,14.412161,22200
2012-02-10,17.9,18.0,17.74,17.74,14.211881,12100
2012-02-13,17.959999,18.07,17.77,18.07,14.476253,13600
2012-02-14,17.93,18.0,17.85,17.92,14.356083,5400
2012-02-15,18.059999,18.059999,17.68,17.68,14.163818,14200
2012-02-16,17.67,18.07,17.65,18.049999,14.460229,10400
2012-02-17,18.09,18.09,17.82,18.0,14.420173,11500
2012-02-21,18.07,18.120001,17.940001,17.959999,14.388127,11700
2012-02-22,17.940001,18.139999,17.91,18.0,14.420173,6900
2012-02-23,18.02,18.209999,18.02,18.209999,14.588404,25200
2012-02-24,18.370001,18.43,18.1,18.16,14.548355,20800
2012-02-27,17.959999,18.26,17.799999,17.85,14.406307,20800
2012-02-28,17.809999,17.969999,17.700001,17.74,14.317528,8900
2012-02-29,17.74,17.809999,17.32,17.33,13.986625,23800
2012-03-01,17.440001,17.469999,17.18,17.18,13.865567,14600
2012-03-02,17.27,17.389999,17.0,17.0,13.72029,39900
2012-03-05,17.07,17.24,17.0,17.190001,13.873638,20300
2012-03-06,17.049999,17.26,17.0,17.02,13.736434,23700
2012-03-07,17.09,17.24,17.0,17.200001,13.881711,18800
2012-03-08,17.290001,17.290001,17.0,17.18,13.865567,13000
2012-03-09,17.129999,17.32,17.129999,17.25,13.92206,19300
2012-03-12,17.27,17.34,17.200001,17.290001,13.954346,8000
2012-03-13,17.360001,17.49,17.200001,17.49,14.115758,22500
2012-03-14,17.530001,17.530001,17.219999,17.26,13.930132,13600
2012-03-15,17.26,17.35,17.1,17.34,13.994701,17800
2012-03-16,17.4,17.450001,17.280001,17.299999,13.962418,37800
2012-03-19,17.299999,17.59,17.26,17.299999,13.962418,25400
2012-03-20,17.27,17.469999,17.209999,17.26,13.930132,11000
2012-03-21,17.360001,17.4,17.200001,17.209999,13.889776,11800
2012-03-22,17.18,17.27,17.02,17.09,13.792927,12600
2012-03-23,17.059999,17.440001,17.059999,17.41,14.051196,14300
2012-03-26,17.52,17.74,17.16,17.709999,14.293313,24500
2012-03-27,17.74,17.790001,17.440001,17.620001,14.220678,16100
2012-03-28,17.74,17.790001,17.469999,17.709999,14.293313,36100
2012-03-29,17.65,17.83,17.51,17.790001,14.357885,24800
2012-03-30,17.91,17.91,17.26,17.299999,13.962418,35200
2012-04-02,17.299999,17.5,17.299999,17.379999,14.026978,22300
2012-04-03,17.389999,17.389999,17.16,17.18,13.865567,17600
2012-04-04,17.139999,17.23,17.07,17.07,13.776787,25300
2012-04-05,17.16,17.360001,17.15,17.200001,13.881711,15000
2012-04-09,17.139999,17.209999,17.0,17.02,13.736434,37700
2012-04-10,17.049999,17.16,17.0,17.02,13.736434,35400
2012-04-11,17.200001,17.25,17.049999,17.24,13.913993,22300
2012-04-12,17.290001,17.459999,17.15,17.27,13.938205,24700
2012-04-13,17.26,17.309999,17.0,17.040001,13.752577,19700
2012-04-16,17.200001,17.24,17.129999,17.23,13.90592,13300
2012-04-17,17.389999,17.73,17.290001,17.370001,14.018909,71800
2012-04-18,17.360001,17.52,17.309999,17.4,14.043124,20000
2012-04-19,17.379999,17.379999,17.1,17.200001,13.881711,17200
2012-04-20,17.42,17.6,17.209999,17.52,14.139976,32700
2012-04-23,17.389999,17.469999,17.1,17.129999,13.825215,21700
2012-04-24,17.219999,17.43,17.219999,17.41,14.051196,8300
2012-04-25,17.540001,17.639999,17.459999,17.59,14.196466,13800
2012-04-26,17.610001,17.74,17.58,17.719999,14.30139,8000
2012-04-27,17.75,17.75,17.629999,17.75,14.325603,17000
2012-04-30,17.68,17.719999,17.450001,17.469999,14.099619,25000
2012-05-01,17.540001,17.66,17.139999,17.139999,13.833285,29000
2012-05-02,17.139999,17.370001,17.139999,17.219999,13.897848,21700
2012-05-03,17.219999,17.219999,17.01,17.110001,13.809075,31000
2012-05-04,17.129999,17.17,17.01,17.030001,13.744505,26100
2012-05-07,17.049999,17.299999,17.049999,17.18,13.865567,27000
2012-05-08,17.16,17.450001,17.16,17.35,14.002768,16500
2012-05-09,17.25,17.43,17.25,17.27,13.938205,15000
2012-05-10,17.35,17.370001,17.15,17.25,13.92206,19000
2012-05-11,17.15,17.24,17.1,17.15,13.841355,13400
2012-05-14,17.049999,17.24,17.049999,17.07,13.776787,24500
