Date,Open,High,Low,Close,Adj Close,Volume
2012-02-06,5.69,5.77,5.55,5.69,5.69,671081
2012-02-07,5.7,5.75,5.54,5.65,5.65,704558
2012-02-08,5.65,5.697,5.41,5.45,5.45,690841
2012-02-09,5.45,5.5399,5.3,5.32,5.32,452930
2012-02-10,5.27,5.44,5.25,5.28,5.28,641024
2012-02-13,5.5,5.559,5.12,5.35,5.35,1020771
2012-02-14,5.31,5.37,5.06,5.17,5.17,843131
2012-02-15,5.2,5.21,5.0,5.06,5.06,689658
2012-02-16,5.07,5.2,5.06,5.19,5.19,464460
2012-02-17,5.21,5.22,5.03,5.12,5.12,389508
2012-02-21,5.15,5.19,4.94,5.01,5.01,482191
2012-02-22,5.0,5.03,4.85,4.9,4.9,290120
2012-02-23,4.9,5.03,4.87,5.02,5.02,294737
2012-02-24,5.01,5.07,4.96,4.96,4.96,225539
2012-02-27,4.93,5.03,4.9,5.0,5.0,252218
2012-02-28,5.02,5.06,4.9,4.92,4.92,208439
2012-02-29,4.94,4.98,4.86,4.91,4.91,327300
2012-03-01,4.91,4.98,4.59,4.61,4.61,912622
2012-03-02,4.63,4.71,4.62,4.65,4.65,640942
2012-03-05,4.65,4.7,4.65,4.66,4.66,265844
2012-03-06,4.65,4.76,4.65,4.68,4.68,535257
2012-03-07,4.68,4.84,4.65,4.77,4.77,503266
2012-03-08,4.81,4.89,4.765,4.89,4.89,233919
2012-03-09,4.88,4.99,4.82,4.92,4.92,763659
2012-03-12,4.92,5.08,4.85,5.03,5.03,417040
2012-03-13,5.08,5.15,4.96,5.15,5.15,507122
2012-03-14,5.12,5.17,5.0,5.06,5.06,394908
2012-03-15,5.05,5.08,4.98,5.04,5.04,344151
2012-03-16,5.06,5.19,5.0,5.14,5.14,499126
2012-03-19,5.13,5.25,5.09,5.24,5.24,427258
2012-03-20,5.2,5.22,5.05,5.09,5.09,355580
2012-03-21,5.11,5.245,5.07,5.23,5.23,399628
2012-03-22,5.21,5.25,5.06,5.12,5.12,263444
2012-03-23,5.13,5.22,4.97,5.11,5.11,238190
2012-03-26,5.2,5.44,5.185,5.37,5.37,740185
2012-03-27,5.44,5.556,5.41,5.5,5.5,739156
2012-03-28,5.5,5.54,5.25,5.3,5.3,342721
2012-03-29,5.29,5.4,5.25,5.39,5.39,268569
2012-03-30,5.44,5.53,5.31,5.4,5.4,367023
2012-04-02,5.57,5.64,5.44,5.54,5.54,825286
2012-04-03,5.55,5.62,5.39,5.45,5.45,445486
2012-04-04,5.38,5.43,5.25,5.28,5.28,341745
2012-04-05,5.28,5.44,5.27,5.3,5.3,223753
2012-04-09,5.25,5.29,5.11,5.11,5.11,440839
2012-04-10,5.06,5.14,4.85,4.9,4.9,656805
2012-04-11,4.97,5.0799,4.97,5.01,5.01,427473
2012-04-12,5.01,5.1,5.005,5.04,5.04,189035
2012-04-13,5.0,5.02,4.9,4.92,4.92,227064
2012-04-16,4.97,5.02,4.86,4.97,4.97,315820
2012-04-17,5.01,5.19,4.98,5.11,5.11,238918
2012-04-18,5.1,5.1,4.9,4.93,4.93,201291
2012-04-19,4.94,5.045,4.9,4.95,4.95,477610
2012-04-20,5.02,5.02,4.91,4.94,4.94,401459
2012-04-23,4.88,4.932,4.75,4.82,4.82,444180
2012-04-24,4.81,4.92,4.78,4.92,4.92,303219
2012-04-25,4.99,5.05,4.95,4.99,4.99,265264
2012-04-26,4.99,5.0192,4.85,4.9,4.9,285611
2012-04-27,4.9,4.92,4.81,4.87,4.87,293424
2012-04-30,4.87,4.8705,4.74,4.76,4.76,384488
2012-05-01,4.78,4.84,4.65,4.66,4.66,288199
2012-05-02,4.62,4.85,4.55,4.81,4.81,416653
2012-05-03,4.84,4.84,4.59,4.7,4.7,414688
2012-05-04,4.67,4.74,4.54,4.55,4.55,410589
2012-05-07,4.55,4.58,4.48,4.51,4.51,427546
2012-05-08,4.53,4.54,4.33,4.5,4.5,405482
2012-05-09,4.46,4.51,4.38,4.48,4.48,253710
