Date,Open,High,Low,Close,Adj Close,Volume
2021-07-22,12.5,14.0,11.88,13.65,13.65,4666600
2021-07-23,13.28,14.39,13.252,13.77,13.77,1099400
2021-07-26,14.0,14.38,13.6,13.77,13.77,435600
2021-07-27,13.83,13.99,12.3,13.16,13.16,390500
2021-07-28,13.0,13.504,13.0,13.01,13.01,224600
2021-07-29,13.35,13.605,13.0,13.47,13.47,203400
2021-07-30,13.4,13.76,13.088,13.31,13.31,186600
2021-08-02,13.76,13.8,13.28,13.63,13.63,173400
2021-08-03,13.65,13.945,13.522,13.83,13.83,194200
2021-08-04,13.78,14.17,13.618,14.02,14.02,158300
2021-08-05,14.0,14.08,13.61,13.68,13.68,282400
2021-08-06,13.67,14.61,13.5,14.1,14.1,363300
2021-08-09,14.11,14.5,13.87,13.98,13.98,211000
2021-08-10,14.0,14.27,13.8,13.93,13.93,277800
2021-08-11,13.81,14.198,13.34,14.11,14.11,236700
2021-08-12,13.89,14.15,13.82,13.97,13.97,180400
2021-08-13,13.84,13.85,12.53,12.79,12.79,468100
2021-08-16,13.1,13.11,10.81,11.01,11.01,761000
2021-08-17,11.07,12.86,11.06,12.3,12.3,845600
2021-08-18,12.19,12.466,11.65,12.02,12.02,469100
2021-08-19,11.81,13.33,11.81,13.14,13.14,469900
2021-08-20,13.32,14.05,13.31,13.6,13.6,401300
2021-08-23,13.51,13.565,12.77,12.97,12.97,250800
2021-08-24,12.94,15.0,12.89,14.09,14.09,394500
2021-08-25,14.08,14.397,13.53,13.84,13.84,211100
2021-08-26,13.66,15.25,13.608,14.87,14.87,289400
2021-08-27,14.87,16.07,14.4,16.040001,16.040001,323700
2021-08-30,16.059999,16.15,14.31,14.31,14.31,474100
2021-08-31,14.53,15.48,13.8,13.82,13.82,261600
2021-09-01,13.85,14.745,13.85,14.29,14.29,160300
2021-09-02,14.9,15.98,14.57,15.38,15.38,413400
2021-09-03,15.68,17.33,15.28,16.91,16.91,342500
2021-09-07,17.0,17.5,15.61,16.120001,16.120001,315900
2021-09-08,16.200001,16.882,14.11,14.21,14.21,334900
2021-09-09,14.16,14.83,13.91,13.95,13.95,317600
2021-09-10,14.22,14.34,13.12,13.45,13.45,288700
2021-09-13,13.87,13.92,12.7,12.92,12.92,404700
2021-09-14,12.89,13.08,12.53,12.69,12.69,184600
2021-09-15,12.62,12.93,11.95,12.09,12.09,385800
2021-09-16,11.95,12.33,11.66,12.08,12.08,578100
2021-09-17,12.08,12.15,11.05,11.08,11.08,1790500
2021-09-20,10.86,10.882,10.28,10.85,10.85,570900
2021-09-21,10.93,11.26,10.6,11.2,11.2,346300
2021-09-22,11.28,11.64,11.0,11.53,11.53,314500
2021-09-23,11.59,13.1,11.54,12.68,12.68,419700
2021-09-24,12.48,12.83,12.23,12.66,12.66,219000
2021-09-27,12.85,12.85,11.42,11.52,11.52,344700
2021-09-28,11.36,11.56,10.69,11.18,11.18,407300
2021-09-29,11.45,11.6,10.93,11.01,11.01,265000
2021-09-30,11.28,11.55,10.84,11.51,11.51,245800
2021-10-01,11.58,12.19,11.365,12.19,12.19,402900
2021-10-04,12.38,12.409,11.96,12.11,12.11,290600
2021-10-05,12.26,12.95,11.78,12.71,12.71,234300
2021-10-06,12.85,13.47,12.51,13.35,13.35,334000
2021-10-07,13.23,13.92,13.04,13.4,13.4,303500
2021-10-08,13.46,13.46,12.7,12.79,12.79,153100
2021-10-11,12.77,12.77,11.86,11.92,11.92,137200
2021-10-12,11.92,12.1,11.55,11.98,11.98,129400
2021-10-13,12.1,12.665,11.91,12.57,12.57,267500
2021-10-14,12.5,12.81,12.17,12.47,12.47,158200
2021-10-15,12.45,12.87,12.39,12.44,12.44,258400
2021-10-18,12.75,12.75,11.9,12.25,12.25,168700
2021-10-19,12.17,12.31,11.34,11.73,11.73,299200
2021-10-20,11.74,12.05,11.31,11.69,11.69,186600
2021-10-21,11.56,11.86,11.36,11.6,11.6,157300
2021-10-22,11.6,11.67,11.31,11.65,11.65,165400
2021-10-25,11.87,12.08,11.51,11.74,11.74,366800
